School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
Gause Academy Of Leadership,https://www.schooldigger.com/go/FL/schools/0159001781/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,1395 Polk St W,Bartow,https://www.schooldigger.com/go/FL/city/Bartow/search.aspx,33830,Polk County,(863) 534-7425,6,12,Yes,No,No,No,82,16,5.1,89.00%,36.60%,0.00%,0.00%,37.80%,0.00%,2.40%,23.20%,13.1
Chamberlain High School,https://www.schooldigger.com/go/FL/schools/0087000930/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,9401 N Boulevard,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33612,Hillsborough County,(813) 975-7677,9,12,Yes,No,No,No,1234,57.5,21.4,67.80%,27.60%,0.00%,2.20%,54.90%,0.20%,3.20%,12.00%,12.6
Santa Rosa High School,https://www.schooldigger.com/go/FL/schools/0165002408/school.aspx,Santa Rosa,https://www.schooldigger.com/go/FL/district/01650/search.aspx,5332 Berryhill Rd,Milton,https://www.schooldigger.com/go/FL/city/Milton/search.aspx,32570,Santa Rosa County,(850) 983-5710,9,12,Yes,No,No,No,169,10,16.9,70.40%,6.50%,0.60%,0.00%,5.90%,0.00%,7.70%,79.30%,12.6
Escambia County Acceleration Academy,https://www.schooldigger.com/go/FL/schools/0051009008/school.aspx,Escambia,https://www.schooldigger.com/go/FL/district/00510/search.aspx,6601 North Davis Highway,Pensacola,https://www.schooldigger.com/go/FL/city/Pensacola/search.aspx,32504,Escambia County,(850) 517-4111,8,12,No,No,No,No,216,5,43.2,60.20%,25.90%,0.00%,0.50%,6.00%,0.00%,10.20%,57.40%,12.1
Miami MacArthur Educational Center,https://www.schooldigger.com/go/FL/schools/0039000611/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,13990 SW 264th St,Naranja,https://www.schooldigger.com/go/FL/city/Naranja/search.aspx,33032,Miami-Dade County,(305) 258-7200,1,12,Yes,No,No,No,85,19,4.4,84.70%,44.70%,0.00%,0.00%,54.10%,0.00%,0.00%,1.20%,12.1
Hospital And Homebound,https://www.schooldigger.com/go/FL/schools/0048000720/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,1128 Barber St,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32209,Duval County,(904) 348-5191,KG,12,No,No,No,No,88,10,8.8,23.90%,33.00%,0.00%,1.10%,5.70%,0.00%,11.40%,48.90%,12
Palm Acres Charter High School,https://www.schooldigger.com/go/FL/schools/0108008375/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,507 Sunshine Blvd N,Lehigh Acres,https://www.schooldigger.com/go/FL/city/Lehigh+Acres/search.aspx,33971,Lee County,(239) 333-3300,9,12,No,Yes,No,No,280,5,56,26.40%,17.10%,0.40%,0.00%,63.60%,0.00%,2.50%,16.40%,11.9
Whispering Pines Exceptional Education Center,https://www.schooldigger.com/go/FL/schools/0018002801/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,3609 SW 89th Ave,Miramar,https://www.schooldigger.com/go/FL/city/Miramar/search.aspx,33025,Broward County,(754) 321-7650,PK,12,No,No,No,No,186,22,8.4,59.70%,41.90%,0.00%,0.00%,23.10%,0.00%,2.70%,32.30%,10.2
Florida Futures Academy,https://www.schooldigger.com/go/FL/schools/0150008496/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,1760 N Congress Ave,West Palm Beach,https://www.schooldigger.com/go/FL/city/West+Palm+Beach/search.aspx,33409,Palm Beach County,(561) 215-0933,9,12,Yes,Yes,No,No,113,4.5,25.1,27.40%,59.30%,0.00%,0.90%,27.40%,0.00%,0.90%,11.50%,9.9
Ascend Career Academy,https://www.schooldigger.com/go/FL/schools/0018008473/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,5251 Coconut Creek Pkwy,Margate,https://www.schooldigger.com/go/FL/city/Margate/search.aspx,33063,Broward County,(954) 978-4555,9,12,No,Yes,No,No,222,0,,100.00%,48.20%,0.50%,0.90%,37.40%,0.50%,2.70%,9.90%,9.9
Polk State Lakeland Gateway To College Collegiate High School,https://www.schooldigger.com/go/FL/schools/0159008246/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,3425 Winter Lake Rd,Lakeland,https://www.schooldigger.com/go/FL/city/Lakeland/search.aspx,33803,Polk County,(863) 669-2322,11,12,No,Yes,No,No,254,7,36.2,,37.80%,0.00%,1.60%,27.20%,0.00%,4.70%,28.70%,9.8
The Academy At Youth Care Lane,https://www.schooldigger.com/go/FL/schools/0084003853/school.aspx,Highlands,https://www.schooldigger.com/go/FL/district/00840/search.aspx,4121 Youth Care Ln,Sebring,https://www.schooldigger.com/go/FL/city/Sebring/search.aspx,33870,Highlands County,(863) 471-5457,4,12,No,No,No,No,70,0,,88.60%,25.70%,0.00%,0.00%,38.60%,0.00%,10.00%,25.70%,9.4
Virtual Preparatory Academy Of Florida,https://www.schooldigger.com/go/FL/schools/0147010691/school.aspx,Osceola,https://www.schooldigger.com/go/FL/district/01470/search.aspx,10891 Hackney Drive,Riverview,https://www.schooldigger.com/go/FL/city/Riverview/search.aspx,33578,Hillsborough County,(407) 392-0685,KG,12,(n/a),Yes,(n/a),Yes,777,21,37,2.60%,28.10%,1.00%,1.80%,32.40%,0.30%,0.60%,35.80%,9.3
Desoto Secondary School,https://www.schooldigger.com/go/FL/schools/0042006813/school.aspx,Desoto,https://www.schooldigger.com/go/FL/district/00420/search.aspx,318 N Wilson Ave,Arcadia,https://www.schooldigger.com/go/FL/city/Arcadia/search.aspx,34266,DeSoto County,(863) 494-9303,KG,12,No,No,No,No,68,0,,80.90%,14.70%,0.00%,0.00%,47.10%,0.00%,10.30%,27.90%,9.2
Acceleration Academies-Central Miami,https://www.schooldigger.com/go/FL/schools/0039008814/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,4719 NW 183rd St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33055,Miami-Dade County,(786) 629-1447,8,12,No,No,No,No,481,0,,8.10%,37.00%,0.20%,0.40%,56.10%,0.00%,1.00%,5.20%,9.1
The Phoenix Program Naples,https://www.schooldigger.com/go/FL/schools/0033003160/school.aspx,Collier,https://www.schooldigger.com/go/FL/district/00330/search.aspx,3706 Estey Ave,Naples,https://www.schooldigger.com/go/FL/city/Naples/search.aspx,34104,Collier County,(239) 377-1100,4,12,Yes,No,No,No,155,13,11.9,61.30%,18.70%,0.00%,0.60%,62.60%,0.00%,2.60%,15.50%,9.1
Siatech Mycroschool Inc.,https://www.schooldigger.com/go/FL/schools/0003004047/school.aspx,Alachua,https://www.schooldigger.com/go/FL/district/00030/search.aspx,7022 NW 10th Pl,Gainesville,https://www.schooldigger.com/go/FL/city/Gainesville/search.aspx,32605,Alachua County,(352) 333-7952,9,12,No,Yes,No,No,154,1,154,61.70%,58.40%,0.00%,1.90%,21.40%,0.60%,2.60%,14.90%,9.1
Sumter Prep Academy,https://www.schooldigger.com/go/FL/schools/0180004453/school.aspx,Sumter,https://www.schooldigger.com/go/FL/district/01800/search.aspx,709 N. West St,Bushnell,https://www.schooldigger.com/go/FL/city/Bushnell/search.aspx,33513,Sumter County,(352) 568-1113,1,12,Yes,No,No,No,90,6,15,53.30%,25.60%,1.10%,0.00%,14.40%,0.00%,5.60%,53.30%,8.4
Econ River High Charter,https://www.schooldigger.com/go/FL/schools/0144008508/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,5850 Tg Lee Blvd,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32822,Orange County,(407) 641-1062,7,12,No,Yes,No,No,290,7,41.4,,12.10%,0.30%,1.40%,62.10%,0.00%,2.40%,21.70%,8.2
R. C. Bannerman Learning Center,https://www.schooldigger.com/go/FL/schools/0030002728/school.aspx,Clay,https://www.schooldigger.com/go/FL/district/00300/search.aspx,608 Mill St,Green Cove Springs,https://www.schooldigger.com/go/FL/city/Green+Cove+Springs/search.aspx,32043,Clay County,(904) 336-4975,6,12,No,No,No,No,213,24,8.8,73.20%,24.90%,0.00%,0.50%,14.60%,0.00%,8.90%,51.20%,8.1
Roosevelt Academy,https://www.schooldigger.com/go/FL/schools/0159001777/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,115 E St,Lake Wales,https://www.schooldigger.com/go/FL/city/Lake+Wales/search.aspx,33853,Polk County,(863) 678-4252,6,12,Yes,No,No,No,277,21,13.1,74.00%,14.10%,0.00%,0.00%,46.90%,0.00%,1.40%,37.50%,8
Central High School,https://www.schooldigger.com/go/FL/schools/0009008471/school.aspx,Bay,https://www.schooldigger.com/go/FL/district/00090/search.aspx,1250 W. 17th St,Panama City,https://www.schooldigger.com/go/FL/city/Panama+City/search.aspx,32405,Bay County,(850) 215-0770,9,12,Yes,Yes,No,No,106,1,106,54.70%,14.20%,0.90%,0.00%,16.00%,0.00%,8.50%,60.40%,8
Coronado High School,https://www.schooldigger.com/go/FL/schools/0108007465/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,3057 Cleveland Ave,Fort Myers,https://www.schooldigger.com/go/FL/city/Fort+Myers/search.aspx,33901,Lee County,(239) 337-9140,7,12,No,Yes,No,No,320,3,106.6,39.70%,18.80%,0.00%,0.30%,58.80%,0.30%,2.20%,19.70%,8
The Academy,https://www.schooldigger.com/go/FL/schools/0024008540/school.aspx,Charlotte,https://www.schooldigger.com/go/FL/district/00240/search.aspx,18300 Cochran Blvd,Port Charlotte,https://www.schooldigger.com/go/FL/city/Port+Charlotte/search.aspx,33948,Charlotte County,(941) 255-7555,6,12,Yes,No,No,No,298,18,16.5,73.50%,12.10%,0.00%,0.70%,17.40%,0.30%,4.70%,64.80%,7.7
Zenith Accelerated Academy,https://www.schooldigger.com/go/FL/schools/0147000920/school.aspx,Osceola,https://www.schooldigger.com/go/FL/district/01470/search.aspx,2218 E Irlo Bronson Memorial,Kissimmee,https://www.schooldigger.com/go/FL/city/Kissimmee/search.aspx,34744,Osceola County,(407) 846-3976,8,12,Yes,No,No,No,570,33,17.2,66.50%,10.70%,0.20%,0.20%,74.00%,0.20%,2.10%,12.60%,7.6
The Bridge To Success Academy At W Jacksonville,https://www.schooldigger.com/go/FL/schools/0048008523/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,2115 Commonwealth Ave,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32209,Duval County,(904) 630-6952,4,12,Yes,No,No,No,164,14,11.7,29.90%,82.90%,0.00%,3.00%,2.40%,0.00%,3.00%,8.50%,7.6
St. Johns Technical High School,https://www.schooldigger.com/go/FL/schools/0174004194/school.aspx,St. Johns,https://www.schooldigger.com/go/FL/district/01740/search.aspx,2970 Collins Ave,St Augustine,https://www.schooldigger.com/go/FL/city/St+Augustine/search.aspx,32084,St. Johns County,(904) 547-8500,8,12,Yes,No,No,No,208,17,12.2,77.90%,33.70%,0.00%,0.50%,9.60%,0.00%,3.80%,52.40%,7.6
Ir Prep,https://www.schooldigger.com/go/FL/schools/0093003190/school.aspx,Indian River,https://www.schooldigger.com/go/FL/district/00930/search.aspx,1426 18th St,Vero Beach,https://www.schooldigger.com/go/FL/city/Vero+Beach/search.aspx,32960,Indian River County,(772) 564-6240,5,12,Yes,No,No,No,56,8,7,76.80%,46.40%,0.00%,0.00%,8.90%,0.00%,7.10%,37.50%,7.5
Wakulla Institute,https://www.schooldigger.com/go/FL/schools/0195003280/school.aspx,Wakulla,https://www.schooldigger.com/go/FL/district/01950/search.aspx,126 High Dr,Crawfordville,https://www.schooldigger.com/go/FL/city/Crawfordville/search.aspx,32327,Wakulla County,(850) 926-0100,KG,12,No,No,No,No,64,8,8,56.30%,21.90%,0.00%,0.00%,7.80%,0.00%,6.30%,64.10%,7.4
Simmons Career Center,https://www.schooldigger.com/go/FL/schools/0087003712/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,1202 W Grant St,Plant City,https://www.schooldigger.com/go/FL/city/Plant+City/search.aspx,33563,Hillsborough County,(813) 707-7430,PK,12,No,No,No,No,163,13,12.5,71.20%,7.40%,0.00%,0.00%,58.90%,0.00%,3.70%,30.10%,7.4
Sheeler High Charter,https://www.schooldigger.com/go/FL/schools/0144003884/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,871 E Semoran Blvd,Apopka,https://www.schooldigger.com/go/FL/city/Apopka/search.aspx,32703,Orange County,(407) 886-1825,7,12,No,Yes,No,No,316,9,35.1,0.90%,41.80%,0.30%,0.00%,40.20%,0.30%,1.90%,15.50%,7.2
City Of Palms Charter High School,https://www.schooldigger.com/go/FL/schools/0108004933/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,2830 Winkler Ave Ste 201,Fort Myers,https://www.schooldigger.com/go/FL/city/Fort+Myers/search.aspx,33916,Lee County,(239) 561-6611,9,12,No,Yes,No,No,136,4,34,48.50%,31.60%,0.00%,0.70%,55.90%,0.00%,0.70%,11.00%,7.2
Bill Duncan Opportunity Center,https://www.schooldigger.com/go/FL/schools/0159001989/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,3333 Winter Lake Rd,Lakeland,https://www.schooldigger.com/go/FL/city/Lakeland/search.aspx,33803,Polk County,(863) 499-2860,6,12,No,No,No,No,85,10,8.5,74.10%,43.50%,0.00%,0.00%,14.10%,0.00%,4.70%,37.60%,7.1
Pinellas Gulf Coast Academy,https://www.schooldigger.com/go/FL/schools/0156008410/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,2235 NE Coachman Rd,Clearwater,https://www.schooldigger.com/go/FL/city/Clearwater/search.aspx,33765,Pinellas County,(727) 474-8836,9,12,No,No,No,No,316,13,24.3,61.40%,12.70%,0.00%,0.90%,25.30%,0.30%,4.70%,56.00%,7
Acceleration Academies LLC Homestead,https://www.schooldigger.com/go/IL/schools/0039008738/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,910 Buren St,Chicago,https://www.schooldigger.com/go/IL/city/Chicago/search.aspx,60611,Cook County,(872) 240-2025,8,12,No,No,No,No,178,0,,10.10%,36.00%,0.00%,0.60%,56.70%,1.10%,0.60%,5.10%,6.9
Building Construction Academy At Bowers Whitley,https://www.schooldigger.com/go/FL/schools/0087004155/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,13609 N 22nd St,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33613,Hillsborough County,(813) 558-1750,9,12,No,No,No,No,81,6,13.5,66.70%,29.60%,0.00%,0.00%,40.70%,0.00%,7.40%,22.20%,6.8
Island Park High School,https://www.schooldigger.com/go/FL/schools/0108008392/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,16520 S Tamiami Trail,Fort Myers,https://www.schooldigger.com/go/FL/city/Fort+Myers/search.aspx,33908,Lee County,(239) 204-5965,9,12,No,Yes,No,No,276,6,46,23.90%,2.50%,0.40%,0.40%,66.30%,0.00%,2.50%,27.90%,6.6
Calvin A. Hunsinger School,https://www.schooldigger.com/go/FL/schools/0156002791/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,1863 N Betty Ln,Clearwater,https://www.schooldigger.com/go/FL/city/Clearwater/search.aspx,33755,Pinellas County,(727) 469-4260,KG,12,Yes,No,No,No,115,22,5.2,60.90%,39.10%,0.00%,0.90%,13.00%,0.00%,9.60%,37.40%,6.5
Jann Mann Educational Center,https://www.schooldigger.com/go/FL/schools/0039000616/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,16101 NW 44th Ct,Opa Locka,https://www.schooldigger.com/go/FL/city/Opa+Locka/search.aspx,33054,Miami-Dade County,(305) 625-0855,1,12,Yes,No,No,No,79,19,4.1,69.60%,48.10%,0.00%,0.00%,45.60%,0.00%,1.30%,5.10%,6.5
South Area Alternative Learning Center,https://www.schooldigger.com/go/FL/schools/0015002055/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,2175 N Wickham Rd,Melbourne,https://www.schooldigger.com/go/FL/city/Melbourne/search.aspx,32935,Brevard County,(321) 242-4770,6,12,No,No,No,No,100,7,14.2,69.00%,34.00%,0.00%,0.00%,20.00%,0.00%,15.00%,31.00%,6.3
Pioneer Career Academy,https://www.schooldigger.com/go/FL/schools/0075002245/school.aspx,Hardee,https://www.schooldigger.com/go/FL/district/00750/search.aspx,200 S Florida Ave,Wauchula,https://www.schooldigger.com/go/FL/city/Wauchula/search.aspx,33873,Hardee County,(863) 735-2300,5,12,No,No,No,No,44,1,44,90.90%,13.60%,0.00%,0.00%,72.70%,0.00%,0.00%,13.60%,6.3
Horizons Academy,https://www.schooldigger.com/go/FL/schools/0123003610/school.aspx,Manatee,https://www.schooldigger.com/go/FL/district/01230/search.aspx,1910 27th St E,Bradenton,https://www.schooldigger.com/go/FL/city/Bradenton/search.aspx,34208,Manatee County,(941) 714-7470,PK,12,No,No,No,No,571,22,25.9,70.80%,28.20%,0.00%,0.00%,50.60%,0.00%,1.90%,19.30%,5.9
Lee County Acceleration Academies,https://www.schooldigger.com/go/FL/schools/0108009019/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,12381 S Cleveland Ave,Fort Myers,https://www.schooldigger.com/go/FL/city/Fort+Myers/search.aspx,33907,Lee County,(872) 240-2025,8,12,(n/a),No,(n/a),No,144,0,,23.60%,20.10%,0.00%,0.70%,35.40%,0.00%,4.20%,39.60%,5.8
Everglades Preparatory Academy,https://www.schooldigger.com/go/FL/schools/0150003909/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,360 E Main St,Pahokee,https://www.schooldigger.com/go/FL/city/Pahokee/search.aspx,33476,Palm Beach County,(561) 924-3002,8,12,Yes,Yes,No,No,126,7,18,87.30%,61.10%,0.00%,0.00%,36.50%,0.80%,0.00%,1.60%,5.8
Lanier-James Education Center,https://www.schooldigger.com/go/FL/schools/0018002486/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,1050 NW 7th Ct,Hallandale Beach,https://www.schooldigger.com/go/FL/city/Hallandale+Beach/search.aspx,33009,Broward County,(754) 321-7350,1,12,No,No,No,No,127,12,10.5,72.40%,59.80%,0.80%,0.80%,29.10%,0.80%,2.40%,6.30%,5.8
Riverbend Academy,https://www.schooldigger.com/go/FL/schools/0129003615/school.aspx,Martin,https://www.schooldigger.com/go/FL/district/01290/search.aspx,11301 SE Tequesta Ter,Tequesta,https://www.schooldigger.com/go/FL/city/Tequesta/search.aspx,33469,Palm Beach County,(772) 219-1200,PK,12,No,No,No,No,46,11.5,4,,28.30%,0.00%,2.20%,19.60%,0.00%,2.20%,47.80%,5.8
Walton Initiative For Success In Education (Wise),https://www.schooldigger.com/go/FL/schools/0198007690/school.aspx,Walton,https://www.schooldigger.com/go/FL/district/01980/search.aspx,555 Walton Rd,Defuniak Springs,https://www.schooldigger.com/go/FL/city/Defuniak+Springs/search.aspx,32433,Walton County,(850) 892-1111,PK,12,No,No,No,No,247,26.5,9.3,81.80%,10.50%,0.40%,0.00%,15.40%,0.00%,7.30%,66.40%,5.7
South County Career Center,https://www.schooldigger.com/go/FL/schools/0087003863/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,2810 John Sherman Way,Ruskin,https://www.schooldigger.com/go/FL/city/Ruskin/search.aspx,33570,Hillsborough County,(813) 233-3335,PK,12,No,No,No,No,158,13,12.1,68.40%,20.30%,0.00%,0.60%,47.50%,0.00%,4.40%,27.20%,5.7
The Phoenix Program-Immokalee,https://www.schooldigger.com/go/FL/schools/0033003957/school.aspx,Collier,https://www.schooldigger.com/go/FL/district/00330/search.aspx,614 S 5th St,Immokalee,https://www.schooldigger.com/go/FL/city/Immokalee/search.aspx,34142,Collier County,(239) 377-1050,4,12,Yes,No,No,No,90,4,22.5,67.80%,7.80%,0.00%,0.00%,82.20%,0.00%,1.10%,8.90%,5.6
Beacon High School,https://www.schooldigger.com/go/FL/schools/0033003958/school.aspx,Collier,https://www.schooldigger.com/go/FL/district/00330/search.aspx,3710 Estey Ave,Naples,https://www.schooldigger.com/go/FL/city/Naples/search.aspx,34104,Collier County,(239) 377-1050,9,12,Yes,No,No,No,243,3,81,62.60%,15.20%,0.00%,0.00%,70.40%,0.00%,1.60%,12.80%,5.6
New Beginnings Education Center,https://www.schooldigger.com/go/FL/schools/0147003222/school.aspx,Osceola,https://www.schooldigger.com/go/FL/district/01470/search.aspx,2599 West Vine St,Kissimmee,https://www.schooldigger.com/go/FL/city/Kissimmee/search.aspx,34741,Osceola County,(407) 348-4466,KG,12,Yes,No,No,No,201,20,10,67.70%,21.90%,0.50%,0.00%,59.70%,0.50%,5.00%,12.40%,5.6
Academic Solutions Academy A,https://www.schooldigger.com/go/FL/schools/0018008534/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,10044 NW 31st Street,Coral Springs,https://www.schooldigger.com/go/FL/city/Coral+Springs/search.aspx,33065,Broward County,(954) 572-6600,9,12,No,Yes,No,No,246,0,,95.90%,39.80%,0.80%,0.80%,52.80%,0.00%,0.80%,4.90%,5.5
Pinellas Teleschool,https://www.schooldigger.com/go/FL/schools/0156007852/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,2235 NE Coachman Rd,Clearwater,https://www.schooldigger.com/go/FL/city/Clearwater/search.aspx,33765,Pinellas County,(727) 669-1220,6,12,No,No,No,No,98,4,24.5,86.70%,66.30%,1.00%,1.00%,15.30%,0.00%,2.00%,14.30%,5.4
Henry D Perry Education Center,https://www.schooldigger.com/go/FL/schools/0018005464/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,3400 Wildcat Way,Miramar,https://www.schooldigger.com/go/FL/city/Miramar/search.aspx,33023,Broward County,(754) 321-7050,PK,12,No,No,No,No,1058,19,55.6,16.00%,51.70%,0.20%,0.90%,34.50%,0.00%,1.60%,11.10%,5.2
Academic Solutions High School,https://www.schooldigger.com/go/FL/schools/0018008260/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,10044 NW 31st Street,Coral Springs,https://www.schooldigger.com/go/FL/city/Coral+Springs/search.aspx,33065,Broward County,(954) 572-6600,9,12,No,Yes,No,No,239,0,,96.20%,51.00%,0.80%,2.10%,33.50%,0.00%,2.10%,10.50%,5.1
Turning Points Academy,https://www.schooldigger.com/go/FL/schools/0150007154/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,1950 Benoist Farms Rd,West Palm Beach,https://www.schooldigger.com/go/FL/city/West+Palm+Beach/search.aspx,33411,Palm Beach County,(561) 681-3700,6,12,Yes,No,No,No,86,12,7.1,76.70%,62.80%,0.00%,0.00%,29.10%,0.00%,1.20%,7.00%,5.1
East Pasco Education Academy,https://www.schooldigger.com/go/FL/schools/0153003107/school.aspx,Pasco,https://www.schooldigger.com/go/FL/district/01530/search.aspx,35830 State Road 52,Dade City,https://www.schooldigger.com/go/FL/city/Dade+City/search.aspx,33525,Pasco County,(352) 524-5700,6,12,No,No,No,No,82,16,5.1,74.40%,34.10%,0.00%,0.00%,25.60%,1.20%,8.50%,30.50%,5
Kendall Greens High School,https://www.schooldigger.com/go/FL/schools/0039008919/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,8610 SW 107 Ave,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33176,Miami-Dade County,(305) 619-8129,9,12,No,Yes,No,No,525,6,87.5,9.70%,2.90%,0.00%,0.40%,92.60%,0.00%,0.40%,3.80%,5
Chambers High School,https://www.schooldigger.com/go/FL/schools/0039007617/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,698 N Homestead Blvd,Homestead,https://www.schooldigger.com/go/FL/city/Homestead/search.aspx,33030,Miami-Dade County,(305) 909-6307,6,12,No,Yes,No,No,361,0,,9.70%,25.80%,0.00%,0.60%,67.90%,0.00%,1.10%,4.70%,5
Endeavor Academy,https://www.schooldigger.com/go/FL/schools/0081003068/school.aspx,Hernando,https://www.schooldigger.com/go/FL/district/00810/search.aspx,14063 Ken Austin Pkwy,Brooksville,https://www.schooldigger.com/go/FL/city/Brooksville/search.aspx,34613,Hernando County,(352) 797-7013,4,12,No,No,No,No,185,18,10.2,73.50%,15.70%,0.50%,0.50%,25.40%,0.00%,7.60%,50.30%,4.6
Aloma High Charter,https://www.schooldigger.com/go/FL/schools/0144007455/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,495 N Semoran Blvd Ste 1,Winter Park,https://www.schooldigger.com/go/FL/city/Winter+Park/search.aspx,32792,Orange County,(407) 657-4343,7,12,No,Yes,No,No,425,14,30.3,1.20%,17.60%,0.20%,2.60%,62.80%,0.20%,3.10%,13.40%,4.6
Enterprise Charter High School,https://www.schooldigger.com/go/FL/schools/0156007482/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,2495 Enterprise Road,Clearwater,https://www.schooldigger.com/go/FL/city/Clearwater/search.aspx,33763,Pinellas County,(727) 474-1237,9,12,No,Yes,No,No,357,11,32.4,58.50%,18.20%,0.30%,0.80%,27.20%,0.60%,5.60%,47.30%,4.6
Srmi @ Renaissance Center,https://www.schooldigger.com/go/FL/schools/0027003158/school.aspx,Citrus,https://www.schooldigger.com/go/FL/district/00270/search.aspx,3630 W Educational Path,Lecanto,https://www.schooldigger.com/go/FL/city/Lecanto/search.aspx,34461,Citrus County,(352) 527-4567,4,12,Yes,No,No,No,90,4,22.5,73.30%,3.30%,0.00%,0.00%,12.20%,0.00%,6.70%,77.80%,4.6
Sunfire High School,https://www.schooldigger.com/go/FL/schools/0018008087/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,2360 W Oakland Park Blvd,Oakland Park,https://www.schooldigger.com/go/FL/city/Oakland+Park/search.aspx,33311,Broward County,(954) 678-3939,9,12,No,Yes,No,No,403,3,134.3,4.00%,83.40%,0.00%,0.50%,12.40%,0.00%,1.50%,2.20%,4.4
Pepin Academies,https://www.schooldigger.com/go/FL/schools/0087003589/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,3916 E Hillsborough Ave,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33610,Hillsborough County,(813) 236-1755,3,12,No,Yes,No,No,830,90,9.2,41.00%,26.40%,0.10%,1.70%,36.70%,0.00%,4.30%,30.70%,4.4
Lone Star High School,https://www.schooldigger.com/go/FL/schools/0048007825/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,8050-1 Lone Star Rd,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32211,Duval County,(904) 725-5998,9,12,Yes,Yes,No,No,258,0,,80.60%,62.00%,0.00%,2.70%,16.70%,0.00%,5.00%,13.60%,4.3
