School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student/Teacher_Ratio,Percent_Free/Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
Tacoma School of the Arts,https://www.schooldigger.com/go/WA/schools/0870002846/school.aspx,Tacoma School District,https://www.schooldigger.com/go/WA/district/08700/search.aspx,1102 A St,Tacoma,https://www.schooldigger.com/go/WA/city/Tacoma/search.aspx,98402,Pierce County,(253) 571-7900,No,No,No,No,633,33.8,18.7,41.2,15.5,1.1,3.8,17.1,0.6,11.5,47.6,48.5
Fife High School,https://www.schooldigger.com/go/WA/schools/0288000465/school.aspx,Fife School District,https://www.schooldigger.com/go/WA/district/02880/search.aspx,5616 20th St E,Tacoma,https://www.schooldigger.com/go/WA/city/Tacoma/search.aspx,98424,Pierce County,(253) 517-1100,No,No,No,No,852,40.3,21.1,43.4,5.3,0.9,10.7,20.4,7.6,10.4,44.5,48.2
Tenino High School,https://www.schooldigger.com/go/WA/schools/0882001522/school.aspx,Tenino School District,https://www.schooldigger.com/go/WA/district/08820/search.aspx,500 West Second Ave,Tenino,https://www.schooldigger.com/go/WA/city/Tenino/search.aspx,98589,Thurston County,(360) 264-3500,No,No,No,No,387,20.1,19.1,41.6,0.5,1.3,0.8,7,0.3,3.1,87.1,48.2
Student Link,https://www.schooldigger.com/go/WA/schools/0930003112/school.aspx,Vashon Island School District,https://www.schooldigger.com/go/WA/district/09300/search.aspx,9600 SW 204th St,Vashon,https://www.schooldigger.com/go/WA/city/Vashon/search.aspx,98070,King County,(206) 463-8686,No,No,No,No,42,1.6,26.2,66.7,0,2.4,0,7.1,0,4.8,85.7,48
Naches Valley High School,https://www.schooldigger.com/go/WA/schools/0546000825/school.aspx,Naches Valley School District,https://www.schooldigger.com/go/WA/district/05460/search.aspx,101 W. Fifth Street,Naches,https://www.schooldigger.com/go/WA/city/Naches/search.aspx,98937,Yakima County,(509) 653-2342,No,No,No,No,376,20.6,18.1,48.1,0.3,0.8,0.5,26.1,0,2.7,69.7,47.6
Kelso High School,https://www.schooldigger.com/go/WA/schools/0000300593/school.aspx,Kelso School District,https://www.schooldigger.com/go/WA/district/00003/search.aspx,1904 Allen St,Kelso,https://www.schooldigger.com/go/WA/city/Kelso/search.aspx,98626,Cowlitz County,(360) 501-1801,No,No,No,No,1285,70.7,18.1,56.8,0.3,1.5,1.2,22,1.1,6.8,67,47.6
Crescent School,https://www.schooldigger.com/go/WA/schools/0183000292/school.aspx,Crescent School District,https://www.schooldigger.com/go/WA/district/01830/search.aspx,50350 Hwy 112,Port Angeles,https://www.schooldigger.com/go/WA/city/Port+Angeles/search.aspx,98363,Clallam County,(360) 928-3311,Yes,No,No,No,203,18.9,10.7,58.1,0,8.4,0,5.9,0,12.8,72.9,47.5
Lincoln Hill High School,https://www.schooldigger.com/go/WA/schools/0834002594/school.aspx,Stanwood-Camano School District,https://www.schooldigger.com/go/WA/district/08340/search.aspx,7400 272nd St NW,Stanwood,https://www.schooldigger.com/go/WA/city/Stanwood/search.aspx,98292,Snohomish County,(360) 629-1340,No,No,No,No,148,5.8,25.5,38.5,0.7,0,1.4,8.1,0,11.5,78.4,47.5
Ephrata High School,https://www.schooldigger.com/go/WA/schools/0261000386/school.aspx,Ephrata School District,https://www.schooldigger.com/go/WA/district/02610/search.aspx,333 4th Ave NW,Ephrata,https://www.schooldigger.com/go/WA/city/Ephrata/search.aspx,98823,Grant County,(509) 754-5285,No,No,No,No,812,39.1,20.7,48.9,0.7,0.5,0.5,32.9,0,3.1,62.3,47.5
Mountain View High School,https://www.schooldigger.com/go/WA/schools/0270001834/school.aspx,Evergreen School District (Clark),https://www.schooldigger.com/go/WA/district/02700/search.aspx,1500 SE Blairmont Dr,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98683,Clark County,(360) 604-6100,No,No,No,No,1669,76.2,21.8,43.7,3,0.5,8.7,29.8,1.8,8.8,47.5,47.3
Darrington High School,https://www.schooldigger.com/go/WA/schools/0198000301/school.aspx,Darrington School District,https://www.schooldigger.com/go/WA/district/01980/search.aspx,1085 Fir Street,Darrington,https://www.schooldigger.com/go/WA/city/Darrington/search.aspx,98241,Snohomish County,(360) 436-1140,No,No,No,No,119,7.6,15.5,48.7,0,3.4,0,7.6,0,10.1,79,47
Monroe High School,https://www.schooldigger.com/go/WA/schools/0513002760/school.aspx,Monroe School District,https://www.schooldigger.com/go/WA/district/05130/search.aspx,17001 Tester Rd.,Monroe,https://www.schooldigger.com/go/WA/city/Monroe/search.aspx,98272,Snohomish County,(360) 804-4500,No,No,No,No,1580,71.3,22.1,30.1,0.8,0.9,2.6,25.5,0.1,4.7,65.2,46.9
Cascade High School,https://www.schooldigger.com/go/WA/schools/0267000391/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,801 E. Casino Rd.,Everett,https://www.schooldigger.com/go/WA/city/Everett/search.aspx,98203,Snohomish County,(425) 385-6000,No,No,No,No,1832,84.7,21.6,51.5,6.1,0.4,15.3,26.5,1.6,6.2,43.8,46.8
Summit Public School: Olympus,https://www.schooldigger.com/go/WA/schools/0033303541/school.aspx,Summit Public School: Olympus,https://www.schooldigger.com/go/WA/district/00333/search.aspx,409 Puyallup Ave,Tacoma,https://www.schooldigger.com/go/WA/city/Tacoma/search.aspx,98421,Pierce County,(253) 444-9781,Yes,Yes,No,No,194,12,16.1,55.7,21.6,2.1,2.1,26.8,4.6,16,26.3,46.3
Columbia High School,https://www.schooldigger.com/go/WA/schools/0159001758/school.aspx,Columbia (Walla Walla) School District,https://www.schooldigger.com/go/WA/district/01590/search.aspx,787 Maple Street,Burbank,https://www.schooldigger.com/go/WA/city/Burbank/search.aspx,99323,Walla Walla County,(509) 545-8573,No,No,No,No,210,12.5,16.8,51.4,1,0.5,0.5,43.3,0,4.3,50.5,46.2
Homelink River,https://www.schooldigger.com/go/WA/schools/0038002857/school.aspx,Battle Ground School District,https://www.schooldigger.com/go/WA/district/00380/search.aspx,610a SW Eaton Blvd.,Battle Ground,https://www.schooldigger.com/go/WA/city/Battle+Ground/search.aspx,98604,Clark County,(360) 334-8200,No,No,No,No,1289,60.9,21.1,25.3,0.3,0.9,1.2,7.7,0.1,6.8,82.9,46.1
Napavine Junior Senior High School,https://www.schooldigger.com/go/WA/schools/0549000827/school.aspx,Napavine School District,https://www.schooldigger.com/go/WA/district/05490/search.aspx,404 4th Ave NE,Napavine,https://www.schooldigger.com/go/WA/city/Napavine/search.aspx,98565,Lewis County,(360) 262-3301,No,No,No,No,396,22.1,17.8,41.4,0.8,0,0.5,16.4,0,5.1,77.3,46
Granite Falls High School,https://www.schooldigger.com/go/WA/schools/0321000506/school.aspx,Granite Falls School District,https://www.schooldigger.com/go/WA/district/03210/search.aspx,1401 100th St NE,Granite Falls,https://www.schooldigger.com/go/WA/city/Granite+Falls/search.aspx,98252,Snohomish County,(360) 691-7713,No,No,No,No,507,25.6,19.7,35.9,1.6,1.8,1.2,13,1,7.1,74.4,45.9
Gov John Rogers High School,https://www.schooldigger.com/go/WA/schools/0696001028/school.aspx,Puyallup School District,https://www.schooldigger.com/go/WA/district/06960/search.aspx,12801 86th Ave E,Puyallup,https://www.schooldigger.com/go/WA/city/Puyallup/search.aspx,98373,Pierce County,(253) 841-8717,No,No,No,No,1720,73.6,23.3,35.3,5.5,0.5,8.6,19.7,3,14.4,48.3,45.8
Onalaska High School,https://www.schooldigger.com/go/WA/schools/0624000942/school.aspx,Onalaska School District,https://www.schooldigger.com/go/WA/district/06240/search.aspx,540 Carlisle Ave.,Onalaska,https://www.schooldigger.com/go/WA/city/Onalaska/search.aspx,98570,Lewis County,(360) 978-4113,No,No,No,No,244,15.8,15.3,53.3,0,0.4,0.4,11.5,0,4.9,82.8,45.8
Skagit Academy,https://www.schooldigger.com/go/WA/schools/0540003006/school.aspx,Mount Vernon School District,https://www.schooldigger.com/go/WA/district/05400/search.aspx,2001 Cleveland Ave,Mount Vernon,https://www.schooldigger.com/go/WA/city/Mount+Vernon/search.aspx,98273,Skagit County,(360) 428-6206,No,No,No,No,346,12.6,27.4,15.9,0.6,1.2,0.9,8.1,0,0.9,88.4,45.3
Rochester High School,https://www.schooldigger.com/go/WA/schools/0747002267/school.aspx,Rochester School District,https://www.schooldigger.com/go/WA/district/07470/search.aspx,19800 Carper Rd SW,Rochester,https://www.schooldigger.com/go/WA/city/Rochester/search.aspx,98579,Thurston County,(360) 273-5534,No,No,No,No,633,27,23.3,45.2,0.5,3.3,0.8,21.8,0.2,9.2,64.3,44.5
Thorp Elementary & Junior Senior High,https://www.schooldigger.com/go/WA/schools/0885001525/school.aspx,Thorp School District,https://www.schooldigger.com/go/WA/district/08850/search.aspx,10831 N Thorp Hwy,Thorp,https://www.schooldigger.com/go/WA/city/Thorp/search.aspx,98946,Kittitas County,(509) 964-2107,Yes,No,No,No,225,20.5,10.9,33.8,0.9,0,1.8,10.2,0,2.2,84.4,44.3
Explorer Academy,https://www.schooldigger.com/go/WA/schools/0816002575/school.aspx,South Kitsap School District,https://www.schooldigger.com/go/WA/district/08160/search.aspx,1723 Wolves Dr,Port Orchard,https://www.schooldigger.com/go/WA/city/Port+Orchard/search.aspx,98366,Kitsap County,(360) 443-3605,No,No,No,No,273,9,30.2,24.5,0.4,1.8,1.1,10.6,2.2,12.1,71.4,44.1
Connell High School,https://www.schooldigger.com/go/WA/schools/0573000848/school.aspx,North Franklin School District,https://www.schooldigger.com/go/WA/district/05730/search.aspx,1100 W. Clark St.,Connell,https://www.schooldigger.com/go/WA/city/Connell/search.aspx,99326,Franklin County,(509) 234-2911,No,No,No,No,629,30.5,20.6,71.5,0.5,0,1.4,70.6,0,0.2,27.3,44.1
Yelm High School 12,https://www.schooldigger.com/go/WA/schools/1014001716/school.aspx,Yelm School District,https://www.schooldigger.com/go/WA/district/10140/search.aspx,1315 Yelm Ave. W,Yelm,https://www.schooldigger.com/go/WA/city/Yelm/search.aspx,98597,Thurston County,(360) 458-7777,No,No,No,No,1579,74.8,21.1,40.7,1.5,2.3,1.8,15.9,1.8,11.3,65.2,44
Elma High School,https://www.schooldigger.com/go/WA/schools/0249000372/school.aspx,Elma School District,https://www.schooldigger.com/go/WA/district/02490/search.aspx,1011 West Main,Elma,https://www.schooldigger.com/go/WA/city/Elma/search.aspx,98541,Grays Harbor County,(360) 482-3121,No,No,No,No,494,27,18.2,61.1,0.6,1.2,0.6,19.4,0,7.1,71.1,43.9
Hayes Freedom High School,https://www.schooldigger.com/go/WA/schools/0081003200/school.aspx,Camas School District,https://www.schooldigger.com/go/WA/district/00810/search.aspx,1919 NE Ione St,Camas,https://www.schooldigger.com/go/WA/city/Camas/search.aspx,98607,Clark County,(360) 833-5602,No,No,No,No,120,9.8,12.2,34.2,0,0.8,0,15,0,4.2,80,43.8
Spanaway Lake High School,https://www.schooldigger.com/go/WA/schools/0048001821/school.aspx,Bethel School District,https://www.schooldigger.com/go/WA/district/00480/search.aspx,1305 168th Street East,Spanaway,https://www.schooldigger.com/go/WA/city/Spanaway/search.aspx,98387,Pierce County,(253) 800-5600,No,No,No,No,1540,71.6,21.4,55.7,13.5,1.2,6.4,22.1,6.9,15.5,34.4,43.6
Franklin High School,https://www.schooldigger.com/go/WA/schools/0771001168/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,3013 S Mt Baker Bv,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98144,King County,(206) 252-6150,No,No,No,No,1239,63.7,19.4,61.7,27.4,0.5,41.2,14.9,0.3,5.5,9.9,43.3
Sultan Senior High School,https://www.schooldigger.com/go/WA/schools/0855002168/school.aspx,Sultan School District,https://www.schooldigger.com/go/WA/district/08550/search.aspx,1000 Turk Drive,Sultan,https://www.schooldigger.com/go/WA/city/Sultan/search.aspx,98294,Snohomish County,(360) 793-9860,No,No,No,No,523,30.6,17,38.6,1.9,1.7,2.7,25.6,0,5,63.1,43.2
Graham Kapowsin High School,https://www.schooldigger.com/go/WA/schools/0048003003/school.aspx,Bethel School District,https://www.schooldigger.com/go/WA/district/00480/search.aspx,22100 108th Ave E,Graham,https://www.schooldigger.com/go/WA/city/Graham/search.aspx,98338,Pierce County,(253) 800-6100,No,No,No,No,1850,79.4,23.2,37.8,5.6,0.8,3.9,17.5,3.5,14.1,54.5,43.2
Ferndale Virtual Academy,https://www.schooldigger.com/go/WA/schools/0285003703/school.aspx,Ferndale School District,https://www.schooldigger.com/go/WA/district/02850/search.aspx,5830 Golden Eagle Drive,Ferndale,https://www.schooldigger.com/go/WA/city/Ferndale/search.aspx,98248,Whatcom County,(360) 383-9210,No,No,No,No,30,,,40,0,10,0,20,0,6.7,63.3,43
Montesano Junior-Senior High,https://www.schooldigger.com/go/WA/schools/0516000780/school.aspx,Montesano School District,https://www.schooldigger.com/go/WA/district/05160/search.aspx,303 North Church,Montesano,https://www.schooldigger.com/go/WA/city/Montesano/search.aspx,98563,Grays Harbor County,(360) 249-4041,No,No,No,No,692,36.1,19.1,33.2,0.7,1.7,0.9,12.4,0,7.1,77.2,43
Mark Morris High School,https://www.schooldigger.com/go/WA/schools/0447000703/school.aspx,Longview School District,https://www.schooldigger.com/go/WA/district/04470/search.aspx,1602 Mark Morris Court,Longview,https://www.schooldigger.com/go/WA/city/Longview/search.aspx,98632,Cowlitz County,(360) 575-7663,No,No,No,No,877,44.4,19.7,46.1,0.3,1.5,1.9,20.5,0.2,7.9,67.6,42.8
Emerald Ridge High School,https://www.schooldigger.com/go/WA/schools/0696002809/school.aspx,Puyallup School District,https://www.schooldigger.com/go/WA/district/06960/search.aspx,12405 184th St E,Puyallup,https://www.schooldigger.com/go/WA/city/Puyallup/search.aspx,98374,Pierce County,(253) 435-6300,No,No,No,No,1432,57.6,24.8,33.8,5.8,0.7,5.5,17.9,1.5,11.9,56.7,42.7
Mount Rainier High School,https://www.schooldigger.com/go/WA/schools/0354000538/school.aspx,Highline School District,https://www.schooldigger.com/go/WA/district/03540/search.aspx,22450 19th Ave S,Des Moines,https://www.schooldigger.com/go/WA/city/Des+Moines/search.aspx,98198,King County,(206) 631-7000,Yes,No,No,No,1767,75.4,23.4,58.3,13.8,1,13.4,34,4,9.5,24.3,42.2
Lind-Ritzville High School,https://www.schooldigger.com/go/WA/schools/0441000696/school.aspx,Lind School District,https://www.schooldigger.com/go/WA/district/04410/search.aspx,209 E Wellsandt Rd,Ritzville,https://www.schooldigger.com/go/WA/city/Ritzville/search.aspx,99169,Adams County,(509) 659-1720,No,No,No,No,50,2.9,16.7,70,2,0,2,34,0,0,62,42.2
Woodinville High School,https://www.schooldigger.com/go/WA/schools/0591001994/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,19819 136 NE,Woodinville,https://www.schooldigger.com/go/WA/city/Woodinville/search.aspx,98072,King County,(425) 408-7400,No,No,No,No,1708,79.2,21.5,6.9,1.1,0.1,9.3,10.1,0.1,7.8,71.3,42.2
Summit View High School,https://www.schooldigger.com/go/WA/schools/0038001069/school.aspx,Battle Ground School District,https://www.schooldigger.com/go/WA/district/00380/search.aspx,11104 NE 149th St,Brush Prairie,https://www.schooldigger.com/go/WA/city/Brush+Prairie/search.aspx,98606,Clark County,(360) 885-5331,No,No,No,No,393,12.8,30.6,38.2,0.5,0.5,0.3,5.6,0,3.8,89.3,42.1
Kamiakin High School,https://www.schooldigger.com/go/WA/schools/0393000604/school.aspx,Kennewick School District,https://www.schooldigger.com/go/WA/district/03930/search.aspx,600 North Arthur Street,Kennewick,https://www.schooldigger.com/go/WA/city/Kennewick/search.aspx,99336,Benton County,(509) 734-3500,No,No,No,No,1831,78.4,23.3,41.3,2.9,0.5,2,26.7,0.1,4.9,62.8,42.1
Morton Junior-Senior High,https://www.schooldigger.com/go/WA/schools/0519000784/school.aspx,Morton School District,https://www.schooldigger.com/go/WA/district/05190/search.aspx,152 Westlake Ave,Morton,https://www.schooldigger.com/go/WA/city/Morton/search.aspx,98356,Lewis County,(360) 496-5137,No,No,No,No,152,12.4,12.2,50.7,0,0.7,2,16.4,0,8.6,72.4,42.1
Cleveland High School STEM,https://www.schooldigger.com/go/WA/schools/0771001150/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,5511 15 Ave S,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98108,King County,(206) 252-7800,No,No,No,No,921,48.4,19,51.9,23.8,0.4,45.2,11.7,0.2,8.5,10,41.5
Discovery,https://www.schooldigger.com/go/WA/schools/0816001355/school.aspx,South Kitsap School District,https://www.schooldigger.com/go/WA/district/08160/search.aspx,2150 Fircrest Dr SE,Port Orchard,https://www.schooldigger.com/go/WA/city/Port+Orchard/search.aspx,98366,Kitsap County,(360) 443-3680,No,No,No,No,137,10,13.7,62.8,1.5,4.4,0.7,10.2,2.2,8,73,41.5
Lyle High School,https://www.schooldigger.com/go/WA/schools/0459000718/school.aspx,Lyle School District,https://www.schooldigger.com/go/WA/district/04590/search.aspx,625 Keasey Avenue,Lyle,https://www.schooldigger.com/go/WA/city/Lyle/search.aspx,98635,Klickitat County,(509) 365-2211,Yes,No,No,No,67,5.6,11.8,47.8,0,4.5,0,14.9,0,10.4,70.1,41.5
La Center Home School Academy,https://www.schooldigger.com/go/WA/schools/0417003451/school.aspx,La Center School District,https://www.schooldigger.com/go/WA/district/04170/search.aspx,725 NE Highland Rd,La Center,https://www.schooldigger.com/go/WA/city/La+Center/search.aspx,98629,Clark County,(360) 263-2131,No,No,No,No,90,1,90,10,0,0,0,5.6,0,0,94.4,41.2
Lindbergh Senior High School,https://www.schooldigger.com/go/WA/schools/0723001077/school.aspx,Renton School District,https://www.schooldigger.com/go/WA/district/07230/search.aspx,16426 128th Ave SE,Renton,https://www.schooldigger.com/go/WA/city/Renton/search.aspx,98058,King County,(425) 204-3200,No,No,No,No,1209,53.9,22.4,49.6,16.1,0.2,25.9,22.6,1.2,8.7,25,41.2
Eatonville High School,https://www.schooldigger.com/go/WA/schools/0237000327/school.aspx,Eatonville School District,https://www.schooldigger.com/go/WA/district/02370/search.aspx,302 Mashell Ave N,Eatonville,https://www.schooldigger.com/go/WA/city/Eatonville/search.aspx,98328,Pierce County,(360) 879-1200,No,No,No,No,547,27.4,19.9,33.1,0.2,0.5,0.5,8.8,0.2,7.3,82.1,40.8
Bethel High School,https://www.schooldigger.com/go/WA/schools/0048000119/school.aspx,Bethel School District,https://www.schooldigger.com/go/WA/district/00480/search.aspx,22215 38th Avenue East,Spanaway,https://www.schooldigger.com/go/WA/city/Spanaway/search.aspx,98387,Pierce County,(253) 800-7000,No,No,No,No,1679,75.7,22.1,46,6.3,1,3.6,19,4.8,12.5,52.9,40.3
Wahkiakum High School,https://www.schooldigger.com/go/WA/schools/0933001594/school.aspx,Wahkiakum School District,https://www.schooldigger.com/go/WA/district/09330/search.aspx,500 South 3rd Street,Cathlamet,https://www.schooldigger.com/go/WA/city/Cathlamet/search.aspx,98612,Wahkiakum County,(360) 795-3271,Yes,No,No,No,202,9.6,20.9,55.4,1,1.5,1.5,8.9,0.5,5.4,81.2,40
R A Long High School,https://www.schooldigger.com/go/WA/schools/0447000709/school.aspx,Longview School District,https://www.schooldigger.com/go/WA/district/04470/search.aspx,2903 Nichols Blvd.,Longview,https://www.schooldigger.com/go/WA/city/Longview/search.aspx,98632,Cowlitz County,(360) 575-7225,No,No,No,No,899,42.1,21.3,64.4,1.4,2.1,2.7,24.8,1.8,6.5,60.7,40
Tonasket High School,https://www.schooldigger.com/go/WA/schools/0894001530/school.aspx,Tonasket School District,https://www.schooldigger.com/go/WA/district/08940/search.aspx,35hs Highway 20,Tonasket,https://www.schooldigger.com/go/WA/city/Tonasket/search.aspx,98855,Okanogan County,(509) 486-2161,Yes,No,No,No,342,19.7,17.2,73.1,0.3,0.6,0.6,43.9,0.3,5,49.4,39.8
College Place High School,https://www.schooldigger.com/go/WA/schools/0147003489/school.aspx,College Place School District,https://www.schooldigger.com/go/WA/district/01470/search.aspx,1755 S. College Avenue,College Place,https://www.schooldigger.com/go/WA/city/College+Place/search.aspx,99362,Walla Walla County,(509) 525-4827,No,No,No,No,507,26.6,19,50.3,0.4,0.6,0.4,42.8,0.2,5.5,49.9,39.5
South Whidbey Academy,https://www.schooldigger.com/go/WA/schools/0819002050/school.aspx,South Whidbey School District,https://www.schooldigger.com/go/WA/district/08190/search.aspx,5675 Maxwelton Road,Langley,https://www.schooldigger.com/go/WA/city/Langley/search.aspx,98260,Island County,(360) 221-4300,No,No,No,No,37,,,56.8,0,2.7,0,10.8,2.7,2.7,81.1,39.4
Cascadia High School,https://www.schooldigger.com/go/WA/schools/0910002688/school.aspx,Tumwater School District,https://www.schooldigger.com/go/WA/district/09100/search.aspx,7741 Littlerock Road SW,Olympia,https://www.schooldigger.com/go/WA/city/Olympia/search.aspx,98512,Thurston County,(360) 709-7760,No,No,No,No,82,4.1,20,46.3,0,0,0,13.4,3.7,12.2,69.5,39.1
Kittitas High School,https://www.schooldigger.com/go/WA/schools/0405000643/school.aspx,Kittitas School District,https://www.schooldigger.com/go/WA/district/04050/search.aspx,7571 Kittitas Highway,Kittitas,https://www.schooldigger.com/go/WA/city/Kittitas/search.aspx,98934,Kittitas County,(855) 380-8848,No,No,No,No,377,21.3,17.6,48.3,0.5,0,0.8,25.5,0,0.8,72.4,39
PRIDE Prep School,https://www.schooldigger.com/go/WA/schools/0033903495/school.aspx,PRIDE Prep Charter School District,https://www.schooldigger.com/go/WA/district/00339/search.aspx,811 E. Sprague,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99202,Spokane County,(509) 389-4848,Yes,Yes,Yes,No,718,40.2,17.8,57.7,5.3,3.5,1.5,11.8,0.4,8.2,68,38.9
Crossroads High School,https://www.schooldigger.com/go/WA/schools/0321003300/school.aspx,Granite Falls School District,https://www.schooldigger.com/go/WA/district/03210/search.aspx,205 North Alder Avenue,Granite Falls,https://www.schooldigger.com/go/WA/city/Granite+Falls/search.aspx,98252,Snohomish County,(360) 283-4407,No,No,No,No,122,8.7,14,64.8,0.8,5.7,0,13.1,0,5.7,74.6,38.7
Nathan Hale High School,https://www.schooldigger.com/go/WA/schools/0771001222/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,10750 30 Av NE,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98125,King County,(206) 252-3680,No,No,No,No,1143,57.9,19.7,30,12.6,1,10.2,14.6,0.3,9.5,51.1,38.6
Castle Rock High School,https://www.schooldigger.com/go/WA/schools/0099000172/school.aspx,Castle Rock School District,https://www.schooldigger.com/go/WA/district/00990/search.aspx,5180 Westside Hwy,Castle Rock,https://www.schooldigger.com/go/WA/city/Castle+Rock/search.aspx,98611,Cowlitz County,(360) 501-2930,No,No,No,No,437,22.5,19.4,49.9,0.2,0.7,0.7,9.2,0.5,3.2,85.6,38.6
Glenwood Secondary,https://www.schooldigger.com/go/WA/schools/0303000489/school.aspx,Glenwood School District,https://www.schooldigger.com/go/WA/district/03030/search.aspx,320 Bunnell St.,Glenwood,https://www.schooldigger.com/go/WA/city/Glenwood/search.aspx,98619,Klickitat County,(509) 364-3438,No,No,No,No,37,5.4,6.8,40.5,0,8.1,0,8.1,0,21.6,62.2,38.3
Kelso Virtual Academy,https://www.schooldigger.com/go/WA/schools/0000303314/school.aspx,Kelso School District,https://www.schooldigger.com/go/WA/district/00003/search.aspx,2001 Allen St,Kelso,https://www.schooldigger.com/go/WA/city/Kelso/search.aspx,98626,Cowlitz County,(360) 501-1959,No,No,No,Yes,873,,,49.5,0.8,0.9,0.7,10.4,0.2,5.5,81.4,38.2
AIM High School,https://www.schooldigger.com/go/WA/schools/0802002068/school.aspx,Snohomish School District,https://www.schooldigger.com/go/WA/district/08020/search.aspx,525  13th St,Snohomish,https://www.schooldigger.com/go/WA/city/Snohomish/search.aspx,98290,Snohomish County,(360) 563-3401,No,No,No,Yes,158,6,26.3,26.6,0.6,1.3,0,10.8,0,7.6,79.1,38.2
Sedro Woolley Senior High School,https://www.schooldigger.com/go/WA/schools/0774001279/school.aspx,Sedro-Woolley School District,https://www.schooldigger.com/go/WA/district/07740/search.aspx,1235 Third Street,Sedro Woolley,https://www.schooldigger.com/go/WA/city/Sedro+Woolley/search.aspx,98284,Skagit County,(360) 855-3510,No,No,No,No,1234,58.2,21.1,46.8,0.4,2.2,0.8,22.6,0.2,3.6,70.1,38.1
Walla Walla Online,https://www.schooldigger.com/go/WA/schools/0945003774/school.aspx,Walla Walla Public Schools,https://www.schooldigger.com/go/WA/district/09450/search.aspx,1917 E Isaacs Ave.,Walla Walla,https://www.schooldigger.com/go/WA/city/Walla+Walla/search.aspx,99362,Walla Walla County,(509) 526-2050,No,No,No,Yes,390,14.1,27.6,42.6,0.8,0.8,1.5,27.9,0,4.6,63.6,38.1
Sequoia High School,https://www.schooldigger.com/go/WA/schools/0267001765/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,3516 Rucker Ave.,Everett,https://www.schooldigger.com/go/WA/city/Everett/search.aspx,98201,Snohomish County,(425) 385-5100,No,No,No,No,161,20.5,7.8,66.5,6.2,1.9,1.2,29.8,2.5,8.7,49.1,37.3
Mead Education Partnership Prog,https://www.schooldigger.com/go/WA/schools/0492002844/school.aspx,Mead School District,https://www.schooldigger.com/go/WA/district/04920/search.aspx,8621 N Five Mile Road,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99208,Spokane County,(509) 465-7700,No,No,No,No,481,15.4,31.1,20.2,0.6,0,0.4,6.9,0.2,5,86.9,36.8
Scriber Lake High School,https://www.schooldigger.com/go/WA/schools/0240000338/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,23200 100th AVE W,Edmonds,https://www.schooldigger.com/go/WA/city/Edmonds/search.aspx,98020,Snohomish County,(425) 431-7270,No,No,No,No,194,13.3,14.5,56.7,4.6,2.1,4.1,22.2,0.5,6.2,58.2,36.8
Squalicum High School,https://www.schooldigger.com/go/WA/schools/0042002693/school.aspx,Bellingham School District,https://www.schooldigger.com/go/WA/district/00420/search.aspx,3773 E McLeod Rd,Bellingham,https://www.schooldigger.com/go/WA/city/Bellingham/search.aspx,98226,Whatcom County,(360) 676-6471,No,No,No,No,1291,62.4,20.6,34.4,1.4,1,10.5,20,0.2,8.5,57.9,36.7
Southridge High School,https://www.schooldigger.com/go/WA/schools/0393002009/school.aspx,Kennewick School District,https://www.schooldigger.com/go/WA/district/03930/search.aspx,3320 Southridge Boulevard,Kennewick,https://www.schooldigger.com/go/WA/city/Kennewick/search.aspx,99338,Benton County,(509) 734-3800,No,No,No,No,1764,73.4,24,52,2.3,0.3,2.4,31.9,0.7,5,57.2,36.6
Washington Virtual Academy Omak High School,https://www.schooldigger.com/go/WA/schools/0622003304/school.aspx,Omak School District,https://www.schooldigger.com/go/WA/district/06220/search.aspx,619 West Bartlett Ave.,Omak,https://www.schooldigger.com/go/WA/city/Omak/search.aspx,98841,Okanogan County,(509) 826-8681,No,No,No,Yes,1822,64.9,28,49.3,5,0.9,3.9,8.9,0.8,4,76.4,36.4
