 Number of team members, Deadline in Days, Task complexity, Project type, Skill level, Communication frequency, Number of tasks, Team motivation, Number of stakeholders, Number of meetings, Decision making, Team experience in years, Number of changes, Project duration  in days, Project complexity,Project Completion Time
12,32, High, Mobile app, Advanced, Daily,12, Medium,4,2, Slow,10,2,48, High,35
4,38, Low, Web development, Expert, Weekly,14, High,4,1, Fast,8,1,55, Low,39
8,63, Medium, Desktop app, Beginner, Daily,5, Low,2,1, Moderate,8,2,31, Medium,70
12,54, Low, Mobile app, Expert, Weekly,6, High,3,2, Fast,9,3,59, Low,65
14,40, High, Web development, Advanced, Daily,14, Medium,5,1, Slow,7,1,36, High,72
14,30, Medium, Mobile app, Beginner, Weekly,13, Low,2,2, Moderate,6,1,45, Medium,37
9,40, High, Desktop app, Expert, Daily,5, High,3,1, Fast,10,2,58, High,74
12,49, Low, Web development, Advanced, Weekly,5, Medium,4,2, Slow,7,2,59, Low,41
8,43, Medium, Desktop app, Beginner, Daily,7, Low,3,2, Moderate,6,1,30, Medium,53
12,54, High, Web development, Expert, Weekly,11, High,4,1, Fast,7,3,48, High,33
8,60, Medium, Desktop app, Beginner, Weekly,8, Low,3,2, Moderate,6,1,40, Medium,63
4,43, High, Mobile app, Advanced, Daily,6, Medium,3,2, Slow,9,1,39, High,74
4,30, Low, Web development, Expert, Weekly,11, High,4,1, Fast,7,3,40, Low,62
13,79, Medium, Desktop app, Beginner, Daily,12, Low,4,2, Moderate,7,0,35, Medium,53
13,45, Low, Mobile app, Expert, Weekly,6, High,4,1, Fast,10,3,53, Low,58
7,52, High, Web development, Advanced, Daily,5, Medium,4,2, Slow,6,0,42, High,53
4,31, Medium, Mobile app, Beginner, Weekly,6, Low,4,2, Moderate,9,1,46, Medium,74
14,37, High, Desktop app, Expert, Daily,5, High,3,1, Fast,10,1,30, High,59
10,60, Low, Web development, Advanced, Weekly,8, Medium,2,1, Slow,9,0,58, Low,69
12,51, Medium, Desktop app, Beginner, Daily,9, Low,2,0, Moderate,8,3,33, Medium,43
10,46, High, Web development, Expert, Weekly,9, High,5,1, Fast,5,2,31, High,43
7,52, Low, Web development, Expert, Daily,6, High,5,2, Fast,5,1,47, Low,61
7,80, High, Mobile app, Advanced, Weekly,10, Medium,4,2, Slow,5,3,30, High,53
11,55, Medium, Desktop app, Beginner, Daily,4, Low,5,1, Moderate,9,1,54, Medium,45
5,62, High, Web development, Expert, Weekly,11, High,3,0, Fast,10,3,51, High,65
6,31, Low, Mobile app, Advanced, Daily,13, Medium,3,1, Slow,7,2,33, Low,69
13,31, High, Desktop app, Beginner, Weekly,14, Low,4,1, Moderate,8,1,60, High,56
6,72, Low, Web development, Expert, Daily,5, High,4,0, Fast,5,3,33, Low,44
7,36, Medium, Mobile app, Advanced, Weekly,11, Medium,2,1, Slow,7,2,51, Medium,61
9,34, Low, Web development, Expert, Daily,6, High,2,1, Fast,10,1,45, Low,48
14,77, High, Mobile app, Advanced, Weekly,6, Medium,3,0, Slow,6,0,54, High,37
7,44, Medium, Desktop app, Beginner, Daily,7, Low,3,0, Moderate,9,0,51, Medium,44
11,70, High, Web development, Expert, Weekly,9, High,5,0, Fast,10,0,33, High,69
13,65, Low, Mobile app, Advanced, Daily,7, Medium,5,0, Slow,7,3,51, Low,69
14,64, High, Desktop app, Beginner, Weekly,7, Low,4,1, Moderate,10,0,57, High,73
7,44, Low, Web development, Expert, Daily,6, High,3,1, Fast,6,3,36, Low,74
12,75, Medium, Mobile app, Advanced, Weekly,7, Medium,4,2, Slow,9,2,42, Medium,61
5,74, Low, Web development, Expert, Daily,9, High,3,2, Fast,5,2,51, Low,74
11,65, Medium, Desktop app, Beginner, Weekly,6, Low,2,1, Moderate,7,1,60, Medium,36
8,54, High, Mobile app, Advanced, Daily,13, Medium,3,2, Slow,6,1,57, High,52
13,61, Low, Web development, Expert, Weekly,4, High,5,0, Fast,5,1,48, Low,39
6,74, Medium, Desktop app, Beginner, Daily,7, Low,5,1, Moderate,5,3,49, Medium,69
13,56, Low, Mobile app, Expert, Weekly,10, High,4,2, Fast,8,1,56, Low,63
7,50, High, Web development, Advanced, Daily,7, Medium,4,0, Slow,5,1,58, High,70
9,50, Medium, Mobile app, Beginner, Weekly,11, Low,5,1, Moderate,8,0,52, Medium,50
5,62, High, Desktop app, Expert, Daily,13, High,4,0, Fast,6,3,40, High,67
7,74, Low, Web development, Advanced, Weekly,4, Medium,3,1, Slow,5,1,34, Low,55
6,45, Medium, Desktop app, Beginner, Daily,6, Low,4,0, Moderate,7,3,30, Medium,63
13,58, High, Web development, Expert, Weekly,10, High,5,0, Fast,5,1,59, High,48
13,65, Low, Web development, Expert, Daily,13, High,3,0, Fast,10,1,34, Low,49
11,77, High, Mobile app, Advanced, Weekly,9, Medium,2,1, Slow,7,0,34, High,67
8,75, Medium, Desktop app, Beginner, Daily,12, Low,4,0, Moderate,9,0,43, Medium,57
13,30, High, Web development, Expert, Weekly,10, High,2,1, Fast,8,1,50, High,47
14,52, Low, Mobile app, Advanced, Daily,14, Medium,2,2, Slow,7,1,40, Low,59
7,65, High, Desktop app, Beginner, Weekly,8, Low,5,1, Moderate,5,2,60, High,58
9,51, Low, Web development, Expert, Daily,13, High,2,0, Fast,9,1,38, Low,48
7,36, Medium, Mobile app, Advanced, Weekly,7, Medium,2,0, Slow,5,3,37, Medium,58
9,38, Low, Web development, Expert, Daily,10, High,2,1, Fast,5,3,44, Low,50
5,32, Medium, Desktop app, Beginner, Weekly,7, Low,4,2, Moderate,8,2,43, Medium,46
11,47, High, Mobile app, Advanced, Daily,4, Medium,2,1, Slow,6,3,49, High,58
6,76, Low, Web development, Expert, Weekly,9, High,4,1, Fast,7,0,32, Low,61
6,36, Medium, Desktop app, Beginner, Daily,10, Low,5,1, Moderate,7,0,44, Medium,59
6,74, Low, Mobile app, Expert, Weekly,12, High,5,1, Fast,6,2,34, Low,69
12,42, High, Web development, Advanced, Daily,14, Medium,2,0, Slow,9,1,44, High,57
13,57, Medium, Mobile app, Beginner, Weekly,11, Low,2,0, Moderate,7,0,45, Medium,36
5,42, High, Desktop app, Expert, Daily,8, High,4,2, Fast,8,2,39, High,34
9,39, Low, Web development, Advanced, Weekly,7, Medium,5,2, Slow,5,0,50, Low,72
9,36, Medium, Desktop app, Beginner, Daily,13, Low,3,0, Moderate,10,0,46, Medium,71
4,31, High, Web development, Expert, Weekly,8, High,2,1, Fast,10,3,48, High,65
5,67, Low, Web development, Expert, Daily,11, High,4,1, Fast,5,1,32, Low,36
13,79, High, Mobile app, Advanced, Weekly,9, Medium,3,0, Slow,10,1,56, High,40
7,62, Medium, Desktop app, Beginner, Daily,13, Low,2,0, Moderate,5,1,55, Medium,62
14,55, High, Web development, Expert, Weekly,10, High,4,1, Fast,8,0,47, High,67
10,36, Low, Mobile app, Advanced, Daily,14, Medium,3,0, Slow,6,1,43, Low,34
12,75, High, Desktop app, Beginner, Weekly,10, Low,2,0, Moderate,6,3,53, High,42
10,63, Low, Web development, Expert, Daily,11, High,4,2, Fast,8,2,33, Low,69
5,30, Medium, Mobile app, Advanced, Weekly,14, Medium,5,1, Slow,6,0,36, Medium,47
14,77, Low, Web development, Expert, Daily,8, High,2,2, Fast,10,3,46, Low,62
13,70, Medium, Desktop app, Beginner, Weekly,10, Low,3,1, Moderate,8,2,53, Medium,62
12,61, High, Mobile app, Advanced, Daily,13, Medium,5,2, Slow,7,3,46, High,55
10,70, Low, Web development, Expert, Weekly,8, High,5,1, Fast,10,3,58, Low,54
11,62, Medium, Desktop app, Beginner, Daily,4, Low,2,2, Moderate,10,3,56, Medium,44
9,67, Low, Mobile app, Expert, Weekly,5, High,5,1, Fast,6,1,60, Low,61
4,70, High, Web development, Advanced, Daily,11, Medium,3,1, Slow,8,2,38, High,56
5,54, Medium, Mobile app, Beginner, Weekly,4, Low,3,0, Moderate,6,3,57, Medium,53
10,50, High, Desktop app, Expert, Daily,6, High,5,2, Fast,10,2,33, High,59
4,46, Low, Web development, Advanced, Weekly,13, Medium,2,2, Slow,5,3,36, Low,73
4,66, Medium, Desktop app, Beginner, Daily,12, Low,3,2, Moderate,5,3,48, Medium,66
14,31, High, Web development, Expert, Weekly,6, High,4,1, Fast,7,2,37, High,43
13,59, Low, Web development, Expert, Daily,11, High,2,2, Fast,10,1,54, Low,51
5,63, High, Mobile app, Advanced, Weekly,13, Medium,5,2, Slow,5,1,57, High,64
10,75, Medium, Desktop app, Beginner, Daily,7, Low,5,1, Moderate,9,2,36, Medium,47
5,53, High, Web development, Expert, Weekly,11, High,3,1, Fast,5,1,44, High,65
5,47, Low, Mobile app, Advanced, Daily,6, Medium,5,1, Slow,6,0,53, Low,48
13,42, High, Desktop app, Beginner, Weekly,14, Low,3,2, Moderate,10,1,52, High,43
6,69, Low, Web development, Expert, Daily,11, High,3,2, Fast,10,3,40, Low,61
5,63, Medium, Mobile app, Advanced, Weekly,8, Medium,4,0, Slow,9,0,39, Medium,44
8,67, Low, Web development, Expert, Daily,14, High,4,2, Fast,10,0,46, Low,68
4,62, Medium, Desktop app, Beginner, Weekly,14, Low,3,2, Moderate,9,3,37, Medium,43
13,34, High, Mobile app, Advanced, Daily,10, Medium,3,2, Slow,10,2,60, High,66
4,37, Low, Web development, Expert, Weekly,14, High,3,0, Fast,5,2,36, Low,69
12,33, Medium, Desktop app, Beginner, Daily,6, Low,5,1, Moderate,10,1,39, Medium,65
13,35, Low, Mobile app, Expert, Weekly,4, High,4,2, Fast,10,3,39, Low,34
9,78, High, Web development, Advanced, Daily,12, Medium,4,2, Slow,6,3,50, High,64
13,70, Medium, Mobile app, Beginner, Weekly,7, Low,5,2, Moderate,7,0,32, Medium,69
4,33, High, Desktop app, Expert, Daily,10, High,3,0, Fast,6,1,40, High,33
13,64, Low, Web development, Advanced, Weekly,9, Medium,3,1, Slow,10,0,52, Low,44
4,37, Medium, Desktop app, Beginner, Daily,9, Low,2,1, Moderate,10,2,39, Medium,36
14,31, High, Web development, Expert, Weekly,5, High,3,2, Fast,8,1,42, High,47
9,73, Low, Web development, Expert, Daily,9, High,3,1, Fast,5,1,39, Low,65
13,42, High, Mobile app, Advanced, Weekly,6, Medium,2,2, Slow,10,1,54, High,66
11,72, Medium, Desktop app, Beginner, Daily,11, Low,5,0, Moderate,8,1,39, Medium,39
9,38, High, Web development, Expert, Weekly,5, High,2,0, Fast,6,3,47, High,64
8,72, Low, Mobile app, Advanced, Daily,8, Medium,5,2, Slow,9,2,60, Low,64
6,56, High, Desktop app, Beginner, Weekly,11, Low,2,1, Moderate,8,3,34, High,72
10,69, Low, Web development, Expert, Daily,10, High,2,0, Fast,9,1,56, Low,46
4,45, Medium, Mobile app, Advanced, Weekly,9, Medium,2,1, Slow,5,3,45, Medium,70
5,37, Low, Web development, Expert, Daily,13, High,4,0, Fast,7,3,60, Low,38
9,54, Medium, Desktop app, Beginner, Weekly,11, Low,5,1, Moderate,5,3,56, Medium,71
8,78, High, Mobile app, Advanced, Daily,12, Medium,5,0, Slow,8,0,43, High,48
14,69, Low, Web development, Expert, Weekly,12, High,2,2, Fast,5,2,56, Low,52
4,50, Medium, Desktop app, Beginner, Daily,6, Low,3,0, Moderate,7,1,47, Medium,54
14,56, Low, Mobile app, Expert, Weekly,14, High,3,2, Fast,7,0,31, Low,71
11,55, High, Web development, Advanced, Daily,10, Medium,2,0, Slow,5,0,30, High,62
8,50, Medium, Mobile app, Beginner, Weekly,10, Low,4,1, Moderate,8,3,52, Medium,69
7,34, High, Desktop app, Expert, Daily,8, High,2,2, Fast,9,0,36, High,69
11,59, Low, Web development, Advanced, Weekly,13, Medium,2,1, Slow,7,0,41, Low,43
8,62, Medium, Desktop app, Beginner, Daily,11, Low,3,0, Moderate,9,2,38, Medium,71
11,39, High, Web development, Expert, Weekly,4, High,3,1, Fast,7,1,45, High,57
8,51, Low, Web development, Expert, Daily,6, High,2,1, Fast,9,0,36, Low,42
5,74, High, Mobile app, Advanced, Weekly,10, Medium,2,1, Slow,10,3,45, High,74
6,44, Medium, Desktop app, Beginner, Daily,4, Low,4,2, Moderate,8,3,46, Medium,61
8,75, High, Web development, Expert, Weekly,12, High,3,2, Fast,7,1,35, High,56
11,49, Low, Mobile app, Advanced, Daily,9, Medium,5,2, Slow,9,1,40, Low,59
10,45, High, Desktop app, Beginner, Weekly,13, Low,5,2, Moderate,7,2,33, High,61
10,34, Low, Web development, Expert, Daily,7, High,2,2, Fast,6,1,40, Low,58
9,51, Medium, Mobile app, Advanced, Weekly,5, Medium,2,1, Slow,10,2,56, Medium,45
9,62, Low, Web development, Expert, Daily,4, High,2,1, Fast,5,2,38, Low,72
13,39, Medium, Desktop app, Beginner, Weekly,8, Low,2,0, Moderate,8,0,43, Medium,48
9,72, High, Mobile app, Advanced, Daily,14, Medium,3,2, Slow,6,0,38, High,67
6,70, Low, Web development, Expert, Weekly,13, High,5,0, Fast,6,0,40, Low,59
14,52, Medium, Desktop app, Beginner, Daily,9, Low,2,0, Moderate,7,0,46, Medium,69
8,59, Low, Mobile app, Expert, Weekly,12, High,3,2, Fast,8,3,34, Low,68
4,48, High, Web development, Advanced, Daily,13, Medium,5,0, Slow,8,1,55, High,74
14,63, Medium, Mobile app, Beginner, Weekly,14, Low,3,0, Moderate,6,1,55, Medium,42
10,47, High, Desktop app, Expert, Daily,14, High,4,1, Fast,9,1,48, High,66
12,55, Low, Web development, Advanced, Weekly,7, Medium,2,1, Slow,7,0,36, Low,63
13,44, Medium, Desktop app, Beginner, Daily,14, Low,3,1, Moderate,6,0,50, Medium,63
7,32, High, Web development, Expert, Weekly,4, High,5,0, Fast,8,3,30, High,60
10,53, Low, Web development, Expert, Daily,11, High,4,2, Fast,7,1,56, Low,46
6,66, High, Mobile app, Advanced, Weekly,7, Medium,3,1, Slow,8,3,43, High,38
7,41, Medium, Desktop app, Beginner, Daily,6, Low,3,1, Moderate,6,2,32, Medium,34
6,34, High, Web development, Expert, Weekly,12, High,3,1, Fast,10,2,57, High,69
9,71, Low, Mobile app, Advanced, Daily,14, Medium,2,0, Slow,10,1,46, Low,47
12,77, High, Desktop app, Beginner, Weekly,8, Low,5,0, Moderate,6,0,47, High,35
4,68, Low, Web development, Expert, Daily,8, High,3,0, Fast,7,2,47, Low,49
14,32, Medium, Mobile app, Advanced, Weekly,13, Medium,2,2, Slow,9,1,56, Medium,66
12,62, Low, Web development, Expert, Daily,4, High,5,1, Fast,6,2,56, Low,72
4,55, Medium, Desktop app, Beginner, Weekly,12, Low,3,2, Moderate,9,2,41, Medium,65
8,37, High, Mobile app, Advanced, Daily,8, Medium,4,0, Slow,9,3,54, High,51
6,70, Low, Web development, Expert, Weekly,8, High,3,2, Fast,5,0,41, Low,71
13,67, Medium, Desktop app, Beginner, Daily,7, Low,2,1, Moderate,5,2,38, Medium,51
13,63, Low, Mobile app, Expert, Weekly,12, High,3,2, Fast,9,1,55, Low,63
6,65, High, Web development, Advanced, Daily,6, Medium,5,2, Slow,7,0,58, High,32
9,46, Medium, Mobile app, Beginner, Weekly,5, Low,5,0, Moderate,7,0,31, Medium,40
8,56, High, Desktop app, Expert, Daily,6, High,4,1, Fast,5,2,60, High,52
13,37, Low, Web development, Advanced, Weekly,12, Medium,5,1, Slow,8,2,36, Low,44
7,40, Medium, Desktop app, Beginner, Daily,14, Low,2,2, Moderate,10,0,31, Medium,54
8,78, High, Web development, Expert, Weekly,12, High,2,1, Fast,6,0,42, High,52
7,34, Low, Web development, Expert, Daily,4, High,3,0, Fast,10,3,39, Low,40
7,48, High, Mobile app, Advanced, Weekly,12, Medium,2,0, Slow,8,3,43, High,51
11,64, Medium, Desktop app, Beginner, Daily,9, Low,4,1, Moderate,8,1,32, Medium,63
7,45, High, Web development, Expert, Weekly,7, High,3,2, Fast,8,2,54, High,58
13,54, Low, Mobile app, Advanced, Daily,7, Medium,5,1, Slow,7,3,41, Low,59
12,42, High, Desktop app, Beginner, Weekly,7, Low,2,0, Moderate,10,2,52, High,64
11,33, Low, Web development, Expert, Daily,4, High,3,1, Fast,5,2,30, Low,58
12,44, Medium, Mobile app, Advanced, Weekly,9, Medium,2,0, Slow,7,2,57, Medium,63
9,57, Low, Web development, Expert, Daily,10, High,2,0, Fast,8,3,37, Low,52
10,64, Medium, Desktop app, Beginner, Weekly,9, Low,2,0, Moderate,5,0,54, Medium,45
9,53, High, Mobile app, Advanced, Daily,5, Medium,5,2, Slow,10,2,60, High,62
12,33, Low, Web development, Expert, Weekly,5, High,4,1, Fast,6,2,57, Low,72
11,42, Medium, Desktop app, Beginner, Daily,7, Low,3,1, Moderate,8,1,58, Medium,52
12,64, Low, Mobile app, Expert, Weekly,10, High,3,1, Fast,10,1,41, Low,73
6,37, High, Web development, Advanced, Daily,6, Medium,3,1, Slow,6,0,36, High,36
5,68, Medium, Mobile app, Beginner, Weekly,9, Low,3,1, Moderate,9,3,51, Medium,48
9,53, High, Desktop app, Expert, Daily,13, High,5,2, Fast,10,2,31, High,43
13,69, Low, Web development, Advanced, Weekly,9, Medium,5,2, Slow,9,3,33, Low,72
12,31, Medium, Desktop app, Beginner, Daily,7, Low,2,0, Moderate,6,1,35, Medium,59
10,54, High, Web development, Expert, Weekly,13, High,3,1, Fast,8,1,30, High,70
4,60, Low, Web development, Expert, Daily,6, High,4,0, Fast,10,0,31, Low,61
10,56, High, Mobile app, Advanced, Weekly,6, Medium,2,1, Slow,7,2,39, High,36
10,66, Medium, Desktop app, Beginner, Daily,11, Low,3,0, Moderate,6,3,45, Medium,62
7,63, High, Web development, Expert, Weekly,11, High,2,0, Fast,7,0,43, High,41
6,67, Low, Mobile app, Advanced, Daily,9, Medium,4,0, Slow,9,3,34, Low,53
5,68, High, Desktop app, Beginner, Weekly,14, Low,5,2, Moderate,8,0,35, High,59
5,35, Low, Web development, Expert, Daily,11, High,2,2, Fast,7,0,38, Low,52
13,59, Medium, Mobile app, Advanced, Weekly,9, Medium,5,2, Slow,7,1,56, Medium,32
10,61, Low, Web development, Expert, Daily,4, High,4,1, Fast,10,1,58, Low,33
5,54, Medium, Desktop app, Beginner, Weekly,4, Low,5,2, Moderate,10,0,41, Medium,33
6,65, High, Mobile app, Advanced, Daily,7, Medium,2,2, Slow,5,1,32, High,63
13,75, Low, Web development, Expert, Weekly,14, High,3,1, Fast,9,0,42, Low,58
5,49, Medium, Desktop app, Beginner, Daily,5, Low,2,0, Moderate,6,2,60, Medium,58
8,36, Low, Mobile app, Expert, Weekly,8, High,5,2, Fast,10,0,41, Low,71
5,58, High, Web development, Advanced, Daily,5, Medium,2,2, Slow,6,2,37, High,59
10,79, Medium, Mobile app, Beginner, Weekly,4, Low,4,1, Moderate,8,1,30, Medium,71
11,31, High, Desktop app, Expert, Daily,10, High,5,2, Fast,9,2,52, High,50
12,46, Low, Web development, Advanced, Weekly,5, Medium,2,2, Slow,9,1,31, Low,57
14,48, Medium, Desktop app, Beginner, Daily,9, Low,3,0, Moderate,6,2,39, Medium,44
10,44, High, Web development, Expert, Weekly,11, High,5,0, Fast,5,1,50, High,37
14,43, Low, Web development, Expert, Daily,6, High,5,0, Fast,7,3,54, Low,63
11,46, High, Mobile app, Advanced, Weekly,14, Medium,5,0, Slow,8,3,52, High,58
5,72, Medium, Desktop app, Beginner, Daily,13, Low,5,1, Moderate,7,0,60, Medium,33
4,80, High, Web development, Expert, Weekly,9, High,5,1, Fast,9,2,37, High,48
5,32, Low, Mobile app, Advanced, Daily,7, Medium,2,2, Slow,8,3,45, Low,44
4,37, High, Desktop app, Beginner, Weekly,7, Low,2,0, Moderate,8,1,48, High,66
13,70, Low, Web development, Expert, Daily,10, High,3,0, Fast,5,0,59, Low,34
4,46, Medium, Mobile app, Advanced, Weekly,7, Medium,3,2, Slow,5,1,33, Medium,67
5,63, Low, Web development, Expert, Daily,11, High,3,2, Fast,5,2,53, Low,63
8,36, Medium, Desktop app, Beginner, Weekly,13, Low,3,2, Moderate,7,3,47, Medium,34
11,32, High, Mobile app, Advanced, Daily,7, Medium,5,2, Slow,7,2,30, High,40
11,70, Low, Web development, Expert, Weekly,11, High,3,2, Fast,7,1,46, Low,40
14,55, Medium, Desktop app, Beginner, Daily,10, Low,5,1, Moderate,10,0,45, Medium,57
8,43, Low, Mobile app, Expert, Weekly,5, High,2,2, Fast,7,1,31, Low,64
8,56, High, Web development, Advanced, Daily,5, Medium,4,0, Slow,6,2,52, High,35
6,80, Medium, Mobile app, Beginner, Weekly,4, Low,2,1, Moderate,10,3,51, Medium,46
13,65, High, Desktop app, Expert, Daily,5, High,5,2, Fast,10,1,56, High,45
6,56, Low, Web development, Advanced, Weekly,7, Medium,4,1, Slow,9,0,53, Low,73
13,45, Medium, Desktop app, Beginner, Daily,14, Low,4,1, Moderate,7,2,59, Medium,51
5,39, High, Web development, Expert, Weekly,10, High,5,0, Fast,10,1,45, High,61
5,67, Medium, Desktop app, Beginner, Weekly,6, Low,5,1, Moderate,5,0,46, Medium,51
14,46, High, Mobile app, Advanced, Daily,10, Medium,3,0, Slow,7,2,38, High,44
5,39, Low, Web development, Expert, Weekly,4, High,2,2, Fast,7,0,56, Low,68
12,65, Medium, Desktop app, Beginner, Daily,12, Low,4,0, Moderate,8,0,35, Medium,49
7,65, Low, Mobile app, Expert, Weekly,4, High,3,1, Fast,5,2,46, Low,49
14,30, High, Web development, Advanced, Daily,12, Medium,3,1, Slow,10,0,33, High,39
10,71, Medium, Mobile app, Beginner, Weekly,12, Low,3,2, Moderate,10,1,51, Medium,64
4,61, High, Desktop app, Expert, Daily,12, High,3,1, Fast,7,1,30, High,63
14,30, Low, Web development, Advanced, Weekly,4, Medium,2,1, Slow,5,3,31, Low,34
13,64, Medium, Desktop app, Beginner, Daily,12, Low,5,1, Moderate,5,3,35, Medium,49
13,30, High, Web development, Expert, Weekly,7, High,4,1, Fast,5,0,51, High,36
9,76, Low, Web development, Expert, Daily,7, High,3,2, Fast,5,0,51, Low,73
9,48, High, Mobile app, Advanced, Weekly,7, Medium,5,1, Slow,9,1,42, High,55
11,76, Medium, Desktop app, Beginner, Daily,5, Low,4,2, Moderate,7,0,52, Medium,48
10,58, High, Web development, Expert, Weekly,9, High,3,2, Fast,8,2,45, High,70
9,60, Low, Mobile app, Advanced, Daily,8, Medium,2,0, Slow,10,2,48, Low,62
13,44, High, Desktop app, Beginner, Weekly,10, Low,2,2, Moderate,5,1,37, High,45
12,79, Low, Web development, Expert, Daily,11, High,5,0, Fast,10,1,37, Low,41
10,75, Medium, Mobile app, Advanced, Weekly,6, Medium,2,1, Slow,10,1,44, Medium,69
11,74, High, Desktop app, Beginner, Weekly,6, Low,5,0, Moderate,5,0,45, High,39
9,62, Low, Web development, Expert, Daily,5, High,5,2, Fast,10,0,58, Low,35
12,66, Medium, Mobile app, Advanced, Weekly,10, Medium,5,0, Slow,7,2,33, Medium,66
9,32, Low, Web development, Expert, Daily,12, High,3,1, Fast,9,2,44, Low,40
12,48, Medium, Desktop app, Beginner, Weekly,7, Low,5,2, Moderate,5,3,30, Medium,49
7,64, High, Mobile app, Advanced, Daily,8, Medium,2,0, Slow,8,3,54, High,71
4,43, Low, Web development, Expert, Weekly,12, High,3,0, Fast,8,2,37, Low,61
6,62, Medium, Desktop app, Beginner, Daily,11, Low,5,2, Moderate,10,2,34, Medium,57
4,66, Low, Mobile app, Expert, Weekly,11, High,2,0, Fast,8,0,50, Low,37
11,65, High, Web development, Advanced, Daily,6, Medium,2,2, Slow,6,1,50, High,50
11,77, Medium, Mobile app, Beginner, Weekly,4, Low,5,2, Moderate,7,1,53, Medium,49
13,69, High, Desktop app, Expert, Daily,5, High,3,2, Fast,5,1,49, High,72
12,59, Low, Web development, Advanced, Weekly,8, Medium,2,0, Slow,10,0,34, Low,45
14,53, Medium, Desktop app, Beginner, Daily,7, Low,4,0, Moderate,8,3,50, Medium,40
8,78, High, Web development, Expert, Weekly,7, High,5,0, Fast,6,1,54, High,65
8,47, Medium, Desktop app, Beginner, Weekly,4, Low,2,1, Moderate,9,0,31, Medium,33
9,70, High, Mobile app, Advanced, Daily,5, Medium,4,0, Slow,5,2,42, High,71
12,66, Low, Web development, Expert, Weekly,9, High,5,1, Fast,6,3,33, Low,44
5,45, Medium, Desktop app, Beginner, Daily,8, Low,3,1, Moderate,9,0,31, Medium,71
7,49, Low, Mobile app, Expert, Weekly,14, High,2,2, Fast,6,0,39, Low,57
5,59, High, Web development, Advanced, Daily,4, Medium,4,2, Slow,8,1,52, High,54
4,38, Medium, Mobile app, Beginner, Weekly,11, Low,3,1, Moderate,10,3,40, Medium,46
4,63, High, Desktop app, Expert, Daily,5, High,5,1, Fast,10,3,60, High,62
14,34, Low, Web development, Advanced, Weekly,11, Medium,4,1, Slow,5,0,43, Low,54
13,46, Medium, Desktop app, Beginner, Daily,11, Low,3,2, Moderate,8,3,36, Medium,45
6,69, High, Web development, Expert, Weekly,8, High,4,1, Fast,7,0,41, High,39
8,70, Low, Web development, Expert, Daily,4, High,5,2, Fast,5,2,52, Low,48
12,66, High, Mobile app, Advanced, Weekly,5, Medium,2,1, Slow,7,3,31, High,62
10,42, Medium, Desktop app, Beginner, Daily,10, Low,3,2, Moderate,7,1,32, Medium,74
6,37, High, Web development, Expert, Weekly,8, High,5,0, Fast,10,0,57, High,69
6,31, Low, Mobile app, Advanced, Daily,6, Medium,4,2, Slow,7,3,32, Low,71
6,38, High, Desktop app, Beginner, Weekly,13, Low,2,0, Moderate,5,3,60, High,71
9,34, Low, Web development, Expert, Daily,12, High,2,0, Fast,7,2,35, Low,70
4,39, Medium, Mobile app, Advanced, Weekly,9, Medium,3,0, Slow,6,3,30, Medium,45
11,68, Medium, Mobile app, Beginner, Weekly,13, Low,5,0, Moderate,10,2,53, Medium,56
10,63, High, Desktop app, Expert, Daily,10, High,2,2, Fast,9,2,58, High,68
7,61, Low, Web development, Advanced, Weekly,4, Medium,4,2, Slow,5,1,35, Low,36
4,53, Medium, Desktop app, Beginner, Daily,5, Low,3,2, Moderate,9,1,48, Medium,49
4,77, High, Web development, Expert, Weekly,13, High,5,2, Fast,5,2,33, High,60
9,40, Medium, Desktop app, Beginner, Weekly,8, Low,3,0, Moderate,9,2,56, Medium,36
5,36, High, Mobile app, Advanced, Daily,12, Medium,5,1, Slow,9,2,50, High,45
6,36, Low, Web development, Expert, Weekly,7, High,3,1, Fast,6,1,34, Low,39
14,44, Medium, Desktop app, Beginner, Daily,11, Low,5,2, Moderate,6,2,58, Medium,65
9,46, Low, Mobile app, Expert, Weekly,6, High,5,1, Fast,9,2,60, Low,68
14,77, High, Web development, Advanced, Daily,5, Medium,3,2, Slow,8,2,48, High,37
5,41, Medium, Mobile app, Beginner, Weekly,14, Low,5,2, Moderate,7,2,52, Medium,68
11,69, High, Desktop app, Expert, Daily,8, High,2,2, Fast,5,0,37, High,62
8,42, Low, Web development, Advanced, Weekly,10, Medium,4,1, Slow,9,2,56, Low,74
9,49, Medium, Desktop app, Beginner, Daily,6, Low,2,0, Moderate,5,0,50, Medium,32
13,66, High, Web development, Expert, Weekly,11, High,2,0, Fast,5,3,43, High,54
11,41, Low, Web development, Expert, Daily,10, High,5,1, Fast,6,3,36, Low,44
9,35, High, Mobile app, Advanced, Weekly,6, Medium,5,0, Slow,6,0,51, High,42
6,56, Medium, Desktop app, Beginner, Daily,8, Low,3,2, Moderate,9,2,57, Medium,36
13,68, High, Web development, Expert, Weekly,11, High,5,2, Fast,8,2,51, High,45
14,31, Low, Mobile app, Advanced, Daily,6, Medium,5,1, Slow,7,1,40, Low,53
8,61, High, Desktop app, Beginner, Weekly,4, Low,4,1, Moderate,10,1,39, High,48
12,74, Low, Web development, Expert, Daily,8, High,4,0, Fast,10,2,49, Low,58
