School,Standard Score,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
New Open World Academy K-12,23.1,Los Angeles Unified,Los Angeles,90010,Los Angeles County,Yes,No,No,No,1109,48.5,22.8,0.95,0.02,0,0.07,0.87,0,0
Independence Charter Academy,22.9,Helendale Elementary,Helendale,92342,San Bernardino County,No,Yes,No,No,92,3.6,25.2,0.53,0.1,0,0.01,0.42,0.01,0.01
Independence High (Alternative),22.9,Merced Union High,Merced,95340,Merced County,Yes,No,No,No,55,4,13.7,0.89,0.06,0,0.04,0.69,0,0.02
Carlsbad Village Academy,22.8,Carlsbad Unified,Carlsbad,92008,San Diego County,Yes,No,No,No,85,5,16.9,0.49,0,0.01,0,0.59,0.01,0.06
Butterfield Charter,22.8,Porterville Unified,Porterville,93257,Tulare County,Yes,Yes,No,No,311,6.8,45.2,0.8,0.01,0.04,0.02,0.69,0,0.02
Crescent View West Public Charter,22.7,Crescent View West Public Charter District,Fresno,93726,Fresno County,(n/a),Yes,No,No,1600,72.3,22.1,0.87,0.06,0.01,0.02,0.67,0,0.06
Olive Grove Charter - Orcutt/Santa Maria,22.6,Olive Grove Charter - Orcutt/Santa Maria District,Orcutt,93455,Santa Barbara County,Yes,Yes,No,No,204,12.2,16.7,0.68,0.01,0.01,0.02,0.73,0,0.06
Parlier High,22.5,Parlier Unified,Parlier,93648,Fresno County,Yes,No,No,No,920,43.6,21.1,0.95,0,0,0.01,0.98,0,0
SAVA - Sacramento Academic and Vocational Academy - EGUSD,22.5,Sava- Sacramento Academy and Vocational Academy- EGUSD Dist,Elk Grove,95758,Sacramento County,Yes,Yes,No,No,316,11.6,27,0.67,0.27,0.02,0.04,0.47,0.01,0.04
Elwood J. Keema High,22.5,Twin Rivers Unified,Sacramento,95838,Sacramento County,Yes,No,No,No,328,39.2,8.3,0.79,0.12,0.02,0.04,0.47,0.02,0.08
Delta Charter,22.4,Santa Cruz City High,Aptos,95003,Santa Cruz County,No,Yes,No,No,123,6.9,17.7,0.37,0.02,0,0.01,0.42,0.01,0.03
Victory High,22.4,Rocklin Unified,Rocklin,95765,Placer County,Yes,No,No,No,75,5.6,13.3,0.36,0.05,0.01,0.04,0.2,0,0.09
Roosevelt High,22.3,Fresno Unified,Fresno,93702,Fresno County,Yes,No,Yes,No,2196,96,22.8,0.91,0.05,0.01,0.08,0.82,0,0.01
Summit Leadership Academy-High Desert,22.1,Summit Leadership Academy-High Desert District,Hesperia,92345,San Bernardino County,Yes,Yes,No,No,304,22.7,13.3,0.78,0.11,0.01,0,0.7,0,0.05
Soledad High,22.1,Soledad Unified,Soledad,93960,Monterey County,Yes,No,No,No,1492,65.6,22.7,0.88,0.01,0,0.02,0.94,0,0.01
Taylion High Desert Academy/Adelanto,22.1,Taylion High Desert Academy/Adelanto District,Adelanto,92301,San Bernardino County,(n/a),Yes,No,No,437,20.2,21.5,0.84,0.08,0.01,0.01,0.75,0,0.02
Summit High (Continuation),22.1,Desert Sands Unified,La Quinta,92253,Riverside County,Yes,No,No,No,304,12.3,24.7,0.7,0.03,0,0.01,0.75,0,0.02
Jordan High,22,Long Beach Unified,Long Beach,90805,Los Angeles County,Yes,No,Yes,No,2465,102.8,23.9,0.82,0.15,0,0.05,0.76,0.02,0.01
Sun Valley High,21.9,Los Angeles Unified,Sun Valley,91352,Los Angeles County,Yes,No,No,No,383,22.3,17.1,0.91,0.03,0,0.01,0.94,0,0.01
Antelope Valley Learning Academy,21.9,Antelope Valley Learning Academy District,Palmdale,93550,Los Angeles County,(n/a),Yes,No,No,1746,71.1,24.5,0.8,0.13,0.01,0,0.68,0,0.05
West Side Valley High (Continuation),21.8,Newman-Crows Landing Unified,Newman,95360,Stanislaus County,Yes,No,No,No,19,0.5,38,0.47,0,0,0,0.79,0,0
Crossroads Alternative Education Center,21.8,Los Banos Unified,Los Banos,93635,Merced County,Yes,No,No,Yes,112,6,18.6,0.59,0,0,0.02,0.77,0.01,0.01
El Cajon Valley High,21.7,Grossmont Union High,El Cajon,92021,San Diego County,Yes,No,No,No,1689,75.6,22.3,0.93,0.08,0,0.04,0.4,0,0.03
Capital City Independent Study,21.7,Sacramento City Unified,Sacramento,95823,Sacramento County,Yes,No,No,No,383,18,21.2,0.82,0.21,0.02,0.18,0.4,0.03,0.04
King-Chavez Community High,21.5,King-Chavez Community High District,San Diego,92101,San Diego County,Yes,Yes,No,No,360,18.8,19.1,0.97,0.01,0,0,0.99,0,0
Corona-Norco Alternative,21.5,Corona-Norco Unified,Corona,92879,Riverside County,No,No,No,No,134,4.5,29.7,0.46,0.06,0,0.05,0.55,0,0.01
New Opportunities Charter,21.5,New Opportunities Charter District,Inglewood,90301,Los Angeles County,(n/a),Yes,No,No,491,17.5,28,0.1,0.14,0.02,0.03,0.68,0.01,0.01
Round Valley High,21.5,Round Valley Unified,Covelo,95428,Mendocino County,Yes,No,No,No,104,10.7,9.6,0.96,0,0.64,0,0.26,0,0
Abraham Lincoln Alternative,21.4,Southern Kern Unified,Rosamond,93560,Kern County,No,No,No,No,101,5.8,17.4,0.72,0.12,0.01,0,0.57,0,0.01
Albert Powell Continuation,21.4,Yuba City Unified,Yuba City,95991,Sutter County,Yes,No,No,No,151,13.6,11,0.89,0.03,0.01,0.05,0.55,0.01,0.06
Portola-Butler Continuation High,21.4,South Monterey County Joint Union High,King City,93930,Monterey County,Yes,No,No,No,42,3,14,0.86,0,0,0,1,0,0
Five Keys Independence High School (SF Sheriff's),21.4,Five Keys Independence High School (SF Sheriff's) District,San Francisco,94107,San Francisco County,(n/a),Yes,No,No,3417,114.4,29.8,0.13,0.21,0.01,0.03,0.63,0.01,0.03
Black Rock Alternative/Continuation,21.3,Morongo Unified,Yucca Valley,92284,San Bernardino County,Yes,No,No,No,118,7.1,16.4,0.8,0.08,0.01,0.01,0.42,0.03,0.01
Robertson High (Continuation),21.3,Fremont Unified,Fremont,94538,Alameda County,Yes,No,No,No,176,16,11,0.58,0.09,0.01,0.21,0.48,0.01,0.03
Yuba City Charter,21.3,Yuba City Charter District,Yuba City,95991,Sutter County,Yes,Yes,No,No,245,17.6,13.8,0.91,0.01,0.02,0.06,0.56,0,0.04
Mountain Heights Academy,21.3,San Jacinto Unified,San Jacinto,92582,Riverside County,Yes,No,No,No,144,5.2,27.6,0.74,0.08,0.03,0.01,0.63,0.01,0.08
Mt. San Jacinto High,21.3,Palm Springs Unified,Cathedral City,92234,Riverside County,Yes,No,No,No,0,21,0,,,,,,,
Natural High (Continuation),21.2,Lakeport Unified,Lakeport,95453,Lake County,Yes,No,No,No,20,1,20,0.85,0,0.35,0,0.05,0,0.2
Empower Generations,21.2,Empower Generations District,Lancaster,93535,Los Angeles County,(n/a),Yes,No,Yes,63,1,63,0.92,0.4,0,0,0.49,0,0.03
Chautauqua High (Continuation),21.1,Bear Valley Unified,Big Bear Lake,92314,San Bernardino County,Yes,No,No,No,41,3,13.4,0.95,0.02,0,0,0.32,0,0.05
Albert Einstein Continuation,21.1,Los Angeles Unified,North Hills,91343,Los Angeles County,Yes,No,No,No,66,3.5,18.8,0.99,0,0,0.02,0.97,0,0
Eastside High,21.1,Antelope Valley Union High,Lancaster,93535,Los Angeles County,Yes,No,No,No,2439,99.9,24.4,0.81,0.24,0,0.02,0.63,0,0.05
Silver Springs High (Continuation),21.1,Nevada Joint Union High,Grass Valley,95945,Nevada County,Yes,No,No,No,152,8.4,18,0.7,0.01,0.01,0,0.09,0,0.05
San Pasqual Valley High,21.1,San Pasqual Valley Unified,Winterhaven,92283,Imperial County,Yes,No,No,No,190,14.1,13.3,0.94,0.01,0.45,0,0.48,0,0.04
Montecito High (Continuation),21.1,Ramona City Unified,Ramona,92065,San Diego County,Yes,No,No,No,137,6.8,20.1,0.5,0.03,0.01,0,0.45,0.01,0.04
Insight @ San Joaquin,21,Insight @ San Joaquin District,Simi Valley,93065,Ventura County,Yes,Yes,No,Yes,257,7.2,35.4,0.63,0.14,0.04,0.04,0.14,0,0.31
George Washington Preparatory High,21,Los Angeles Unified,Los Angeles,90047,Los Angeles County,Yes,No,Yes,No,814,49,16.6,0.9,0.44,0.01,0.01,0.54,0,0
Palmdale High,21,Antelope Valley Union High,Palmdale,93550,Los Angeles County,Yes,No,No,No,2523,107.8,23.3,0.81,0.16,0,0.01,0.77,0,0.02
Littlerock High,20.9,Antelope Valley Union High,Littlerock,93543,Los Angeles County,Yes,No,No,No,1483,60.4,24.5,0.81,0.06,0,0,0.8,0,0.02
Centennial High,20.9,Compton Unified,Compton,90222,Los Angeles County,Yes,No,No,No,968,45.3,21.3,0.84,0.26,0,0,0.72,0,0.01
Patricia Dreizler Continuation High,20.9,Redondo Beach Unified,Redondo Beach,90277,Los Angeles County,No,No,No,No,39,4.1,9.4,0.41,0,0,0,0.46,0,0.05
Tahquitz High,20.7,Hemet Unified,Hemet,92545,Riverside County,Yes,No,No,No,1671,74.9,22.3,0.85,0.11,0.01,0.02,0.67,0,0.02
Da Vinci RISE High,20.7,Da Vinci RISE High District,El Segundo,90245,Los Angeles County,Yes,Yes,No,Yes,132,9.1,14.5,0.7,0.29,0,0,0.61,0,0.06
Twain High,20.7,San Diego Unified,San Diego,92111,San Diego County,Yes,No,No,No,315,29.4,10.6,0.81,0.09,0.01,0.07,0.66,0,0.06
MetWest High,20.7,Oakland Unified,Oakland,94606,Alameda County,Yes,No,No,No,160,11.5,13.9,0.8,0.18,0,0.06,0.66,0.01,0.05
Elsie Allen High,20.7,Santa Rosa High,Santa Rosa,95407,Sonoma County,Yes,No,No,No,1042,49.6,20.9,0.67,0.01,0.01,0.07,0.8,0,0.03
SAVA - Sacramento Academic and Vocational Academy - SCUSD,20.6,Sava- Sacramento Academy and Vocational Academy- SCUSD Dist,Sacramento,95820,Sacramento County,Yes,Yes,No,No,534,25.4,20.9,0.91,0.21,0.02,0.04,0.57,0.02,0.03
Country High,20.6,Vacaville Unified,Vacaville,95688,Solano County,Yes,No,No,No,154,9.4,16.3,0.55,0.1,0.02,0.05,0.51,0.01,0.04
New Village Girls Academy,20.6,New Village Girls Academy District,Los Angeles,90026,Los Angeles County,Yes,Yes,No,No,87,7.5,11.6,0.97,0.09,0,0.02,0.85,0,0
Madison Park Academy 6-12,20.6,Oakland Unified,Oakland,94603,Alameda County,Yes,No,No,No,774,43.9,17.5,0.94,0.15,0,0.01,0.81,0.01,0.01
Summit View Independent Study,20.6,Riverside Unified,Riverside,92506,Riverside County,No,No,No,No,253,9.1,27.6,0.56,0.05,0,0.01,0.57,0,0.03
Valley Oak Continuation High,20.4,Live Oak Unified,Live Oak,95953,Sutter County,Yes,No,No,No,25,1.1,21.1,0.88,0.04,0.04,0.04,0.6,0.04,0
Central Unified Alternative/Opportunity,20.4,Central Unified,Fresno,93722,Fresno County,Yes,No,No,No,233,9,25.8,0.71,0.05,0.01,0.01,0.75,0,0
Monte Vista,20.3,Simi Valley Unified,Simi Valley,93065,Ventura County,No,No,No,No,282,13.2,21.3,0.32,0,0,0.02,0.32,0,0.03
Upper Lake High,20.3,Upper Lake Unified,Upper Lake,95485,Lake County,Yes,No,No,No,293,14.5,20.1,0.6,0.01,0.09,0.01,0.32,0,0.07
Don Pedro High,20.2,Big Oak Flat-Groveland Unified,La Grange,95329,Tuolumne County,Yes,No,No,No,51,5,10.2,0.55,0,0.02,0,0.22,0,0.06
Oasis Continuation High,20.2,Kingsburg Joint Union High,Kingsburg,93631,Fresno County,Yes,No,No,No,35,3.1,11,0.83,0.03,0,0,0.66,0,0.06
Crossroads High (Alternative),20.1,Newark Unified,Newark,94560,Alameda County,No,No,No,No,43,1.8,23.4,0.61,0.19,0,0.07,0.54,0,0.07
Delta Keys Charter,20.1,New Jerusalem Elementary,Lathrop,95330,San Joaquin County,Yes,Yes,No,Yes,201,3,67,0.62,0.04,0,0.05,0.56,0.01,0.07
ABC Secondary (Alternative),20.1,ABC Unified,Cerritos,90703,Los Angeles County,Yes,No,No,No,82,1,82,0.61,0.11,0,0.09,0.74,0,0.01
California School for the Deaf-Riverside,20.1,CA School for the Deaf-Riverside (State Special Schl),Riverside,92506,Riverside County,(n/a),No,No,No,348,66,5.2,0.33,0.06,0,0.05,0.6,0,0.04
Oakdale,20,Chico Unified,Chico,95926,Butte County,Yes,No,No,No,150,4,37.5,0.69,0.03,0.01,0.01,0.35,0,0.09
Mission High,19.9,San Francisco Unified,San Francisco,94114,San Francisco County,No,No,No,No,1099,65.4,16.7,0.59,0.15,0.01,0.13,0.52,0.01,0.07
Island High (Continuation),19.9,Alameda Unified,Alameda,94501,Alameda County,No,No,No,No,96,8.4,11.4,0.54,0.27,0.01,0.15,0.25,0.02,0.08
Briones (Alternative),19.9,Martinez Unified,Martinez,94553,Contra Costa County,No,No,No,No,63,2.1,30,0.44,0.03,0,0.03,0.32,0,0.08
Vista Real Charter High,19.8,Vista Real Charter High District,Oxnard,93030,Ventura County,(n/a),Yes,No,No,1135,63.7,17.7,0.76,0.01,0,0.01,0.76,0,0.03
O'Connell (John) High,19.8,San Francisco Unified,San Francisco,94110,San Francisco County,No,No,No,No,480,24.3,19.7,0.67,0.15,0,0.18,0.52,0.02,0.07
Whitcomb Continuation High,19.8,Glendora Unified,Glendora,91740,Los Angeles County,No,No,No,No,68,7.3,9.3,0.5,0.02,0,0.06,0.49,0,0.03
Animo College Preparatory Academy,19.7,Animo College Preparatory Academy District,Los Angeles,90002,Los Angeles County,Yes,Yes,No,No,469,25,18.7,0.96,0.12,0.01,0,0.85,0,0
Insight School of California,19.7,Insight School of California District,Simi Valley,93065,Ventura County,Yes,Yes,No,Yes,384,10.5,36.4,0.69,0.14,0.01,0.02,0.21,0.01,0.2
Diego Valley East Public Charter,19.7,Diego Valley East Public Charter District,El Cajon,92021,San Diego County,(n/a),Yes,No,No,552,22.5,24.5,0.83,0.06,0.01,0.01,0.51,0,0.07
Hillside High,19.7,Upland Unified,Upland,91786,San Bernardino County,Yes,No,No,No,160,12.5,12.8,0.86,0.11,0,0.02,0.66,0,0.01
College and Career Preparatory Academy,19.6,Orange County Department of Education,Santa Ana,92705,Orange County,No,Yes,No,No,241,7,34.4,0.97,0.02,0.01,0.01,0.78,0,0.03
Desert Oasis High (Continuation),19.6,Central Union High,El Centro,92243,Imperial County,Yes,No,No,No,144,9.7,14.8,0.83,0.01,0,0,0.98,0.01,0
Mojave River Academy - Gold Canyon,19.5,Mojave River Academy - Gold Canyon District,Fontana,92335,San Bernardino County,(n/a),Yes,No,No,111,8.2,13.5,0.89,0.09,0.02,0.01,0.74,0,0.05
Calaveras Hills,19.5,Milpitas Unified,Milpitas,95035,Santa Clara County,Yes,No,No,No,106,10.8,9.8,0.55,0.14,0.01,0.2,0.53,0.02,0.03
High Desert Premier Academy,19.4,Apple Valley Unified,Apple Valley,92308,San Bernardino County,Yes,No,No,No,259,12.5,20.7,0.84,0.14,0.01,0.01,0.48,0.01,0.02
Independence High (Continuation),19.4,Amador County Unified,Sutter Creek,95685,Amador County,Yes,No,No,No,44,3.1,14.1,0.57,0.02,0.07,0.02,0.11,0,0.09
Bowman (Jereann) High (Continuation),19.2,William S. Hart Union High,Santa Clarita,91350,Los Angeles County,Yes,No,No,No,399,21,19,0.58,0.06,0,0.02,0.72,0,0.02
Early College Academy-LA Trade Technical College,19.2,Los Angeles Unified,Los Angeles,90015,Los Angeles County,Yes,No,No,No,121,7,17.2,0.95,0.07,0,0,0.89,0,0
West Hollywood Opportunity,19.2,Los Angeles Unified,West Hollywood,90046,Los Angeles County,Yes,No,No,No,29,3.5,8.2,0.9,0.45,0,0,0.55,0,0
Pioneer Continuation High,19,Shasta Union High,Redding,96001,Shasta County,Yes,No,No,No,182,11.8,15.4,0.71,0.01,0.08,0.06,0.19,0,0.07
Angel's Gate (Continuation),19,Los Angeles Unified,San Pedro,90731,Los Angeles County,Yes,No,No,No,80,3.5,22.8,0.79,0.11,0.01,0,0.76,0,0
Vicente Martinez High,19,Martinez Unified,Martinez,94553,Contra Costa County,Yes,No,No,No,75,4.6,16.3,0.48,0.08,0,0.04,0.31,0.01,0.12
Magnolia Science Academy 4,18.9,Magnolia Science Academy 4 District,Los Angeles,90064,Los Angeles County,Yes,Yes,No,No,176,9.8,17.9,0.7,0.18,0,0.01,0.77,0,0
Butte Valley High,18.9,Butte Valley Unified,Dorris,96023,Siskiyou County,No,No,No,No,99,7.8,12.5,0.86,0,0.04,0.02,0.5,0,0.03
Village Oaks High,18.8,Lincoln Unified,Stockton,95207,San Joaquin County,Yes,No,No,No,266,16.1,16.5,0.79,0.14,0.01,0.06,0.52,0.02,0.03
Alpha Charter,18.8,Elverta Joint Elementary,Elverta,95626,Sacramento County,No,Yes,Yes,No,86,0.4,215,0.63,0.23,0.02,0,0.36,0,0.16
Laguna High,18.7,West Sonoma County Union High,Sebastopol,95472,Sonoma County,Yes,No,No,No,89,6.6,13.4,0.54,0.01,0.01,0.02,0.27,0,0.01
Family First Charter,18.7,Family First Charter District,Hawthorne,90250,Los Angeles County,(n/a),Yes,No,No,612,14.5,42.2,0.13,0.17,0.01,0.03,0.7,0,0.04
Rancho Vista High,18.6,Temecula Valley Unified,Temecula,92592,Riverside County,No,No,No,No,173,11.4,15.1,0.45,0.04,0.01,0.03,0.46,0.01,0.07
Del Amigo High (Continuation),18.5,San Ramon Valley Unified,Danville,94526,Contra Costa County,Yes,No,No,No,97,10.8,8.9,0.2,0.06,0,0.26,0.11,0,0.09
Olive Grove Charter - Lompoc,18.5,Olive Grove Charter - Lompoc District,Lompoc,93436,Santa Barbara County,Yes,Yes,No,No,117,8.6,13.6,0.74,0.01,0.02,0,0.74,0,0.08
Diego Hills Central Public Charter,18.4,Diego Hills Central Public Charter District,San Diego,92115,San Diego County,(n/a),Yes,No,No,748,34.1,21.9,0.82,0.14,0,0.03,0.63,0,0.06
Mojave River Academy - Silver Mountain,18.3,Mojave River Academy - Silver Mountain District,Barstow,92311,San Bernardino County,(n/a),Yes,No,No,363,15.3,23.5,0.75,0.09,0.02,0,0.44,0,0.06
Mountain High,18.3,Rim of the World Unified,Lake Arrowhead,92325,San Bernardino County,Yes,No,No,No,55,3,18.3,0.71,0,0,0,0.38,0,0.04
Elite Academic Academy - Lucerne,18.3,Elite Academic Academy - Lucerne District,Temecula,92590,Riverside County,Yes,Yes,No,Yes,107,8.5,12.5,0.7,0.07,0,0,0.73,0,0.07
Tracy (Wilbur) High (Continuation),18,ABC Unified,Cerritos,90703,Los Angeles County,Yes,No,No,No,239,15.4,15.5,0.67,0.11,0,0.07,0.72,0.01,0
Kaweah High,18,Exeter Unified,Exeter,93221,Tulare County,Yes,No,No,No,69,1.6,43.1,0.88,0.01,0,0,0.65,0,0
Discovery High,18,Yreka Union High,Yreka,96097,Siskiyou County,No,No,No,No,36,2,18,0.72,0,0.14,0,0.11,0,0.06
Wasco Independence High,17.9,Wasco Union High,Wasco,93280,Kern County,Yes,No,No,No,115,8,14.3,0.77,0.01,0,0,0.96,0,0
Pegasus High,17.9,East Side Union High,San Jose,95133,Santa Clara County,Yes,No,No,No,114,6,19,0.53,0.08,0.02,0.12,0.66,0.02,0.04
Jack London Continuation,17.9,Los Angeles Unified,Van Nuys,91401,Los Angeles County,Yes,No,No,No,120,6,20,0.98,0.06,0,0.01,0.87,0,0
Stockton High,17.9,Stockton Unified,Stockton,95202,San Joaquin County,Yes,No,No,No,205,4.3,47.2,0.82,0.12,0.06,0.03,0.71,0.01,0
Thurgood Marshall,17.9,Compton Unified,Compton,90221,Los Angeles County,Yes,No,No,No,90,1.5,60,0.79,0.19,0,0,0.81,0,0
San Diego Workforce Innovation High,17.8,San Diego Workforce Innovation High District,National City,91950,San Diego County,(n/a),Yes,No,No,2196,90.9,24.1,0.74,0.06,0.01,0.02,0.65,0.01,0.05
Puente Hills High,17.8,Hacienda la Puente Unified,Hacienda Heights,91746,Los Angeles County,Yes,No,No,No,115,12,9.5,0.83,0.03,0,0.09,0.84,0,0
Educational Partnership High,17.7,Long Beach Unified,Long Beach,90813,Los Angeles County,No,No,No,No,807,18,44.8,0.56,0.17,0,0.04,0.67,0.02,0.02
Furman (Duane E.) High (Independent Study Program),17.7,Madera Unified,Madera,93637,Madera County,Yes,No,No,No,177,7,25.2,0.92,0.02,0.01,0,0.87,0,0
Core Learning Academy at Conley-Caraballo High,17.7,New Haven Unified,Hayward,94544,Alameda County,Yes,No,No,No,127,8.6,14.7,0.42,0.06,0,0.12,0.69,0.02,0.03
Gateway College and Career Academy,17.6,Gateway College and Career Academy District,Riverside,92506,Riverside County,(n/a),Yes,No,No,172,5,34.4,0.65,0.11,0,0.02,0.73,0.01,0.06
La Entrada Continuation High,17.6,San Juan Unified,Fair Oaks,95628,Sacramento County,Yes,No,No,No,53,2,25.7,0.62,0.09,0.04,0.04,0.19,0.06,0.04
Prospects High (Alternative),17.6,Antioch Unified,Antioch,94509,Contra Costa County,No,No,No,No,348,14.8,23.4,0.62,0.31,0.02,0.04,0.33,0.01,0.08
Manual Arts Senior High,17.6,Los Angeles Unified,Los Angeles,90037,Los Angeles County,Yes,No,Yes,No,1339,66.8,20,0.9,0.15,0,0,0.83,0,0
College Bridge Academy,17.5,College Bridge Academy District,Los Angeles,90007,Los Angeles County,Yes,Yes,No,No,347,13.4,25.8,0.95,0.23,0,0,0.75,0,0.01
Odyssey Continuation,17.5,Los Angeles Unified,South Gate,90280,Los Angeles County,Yes,No,No,No,84,5,16.8,0.82,0,0,0,0.99,0,0
McClymonds High,17.4,Oakland Unified,Oakland,94607,Alameda County,Yes,No,No,No,383,24.8,15.4,0.86,0.8,0,0.05,0.07,0.01,0.03
Contreras Learning Center-Los Angeles School of Global Studies,17.4,Los Angeles Unified,Los Angeles,90017,Los Angeles County,Yes,No,No,No,371,19,19.5,0.94,0.01,0,0.02,0.95,0,0
Selma Independent,17.4,Selma Unified,Selma,93662,Fresno County,Yes,No,No,No,134,5,26.8,0.84,0,0,0.04,0.87,0,0
La Paloma High (Continuation),17.4,Liberty Union High,Brentwood,94513,Contra Costa County,Yes,No,No,No,169,11,15.3,0.47,0.18,0.01,0.04,0.45,0.02,0.04
Jane Frederick High,17.3,Stockton Unified,Stockton,95205,San Joaquin County,Yes,No,No,No,209,11,19,0.74,0.15,0.05,0.07,0.64,0,0.03
Insight @ San Diego,17.3,Insight @ San Diego District,Simi Valley,93065,Ventura County,Yes,Yes,No,Yes,232,6.5,35.6,0.65,0.08,0.01,0.03,0.14,0.01,0.26
Assurance Learning Academy,17.3,Assurance Learning Academy District,Lancaster,93535,Los Angeles County,(n/a),Yes,No,No,2964,139.8,21.1,0.88,0.11,0,0.01,0.81,0,0.02
Tulare County Community,17.3,Tulare County Office of Education,Visalia,93277,Tulare County,Yes,No,No,No,116,9,12.8,0.87,0.03,0,0,0.87,0,0.01
Sierra High,17.3,Fillmore Unified,Fillmore,93015,Ventura County,Yes,No,No,No,55,4.1,13.4,0.89,0,0,0,0.96,0,0
Orange County Workforce Innovation High,17.2,Orange County Workforce Innovation High District,Anaheim,92801,Orange County,(n/a),Yes,No,No,209,8.5,24.5,0.79,0.03,0.01,0.03,0.75,0,0.04
Silverado High,17.1,Saddleback Valley Unified,Mission Viejo,92691,Orange County,No,No,No,No,223,12.1,18.3,0.6,0.03,0,0.02,0.68,0,0.04
Banning Independent Study,17.1,Banning Unified,Banning,92220,Riverside County,Yes,No,No,No,228,8,28.5,0.71,0.08,0.07,0.02,0.66,0,0.03
NU Technical High,17.1,Nevada Joint Union High,Grass Valley,95945,Nevada County,No,No,No,No,32,2,16,0.38,0.03,0,0.03,0.03,0,0.03
Conejo Valley High (Continuation),17,Conejo Valley Unified,Thousand Oaks,91362,Ventura County,No,No,No,No,102,10,10.1,0.56,0.07,0,0.02,0.49,0.01,0.03
Junipero Serra High,17,Capistrano Unified,San Juan Capistrano,92675,Orange County,Yes,No,No,No,161,11.1,14.4,0.67,0.02,0,0.03,0.7,0,0.03
Lee V. Pollard High,17,Corona-Norco Unified,Corona,92879,Riverside County,Yes,No,No,No,596,27,22,0.66,0.06,0,0.03,0.74,0,0.01
APEX Academy,17,APEX Academy District,Los Angeles,90028,Los Angeles County,Yes,Yes,No,No,370,32,11.5,0.94,0.02,0,0.02,0.94,0,0
Mervyn M. Dymally High,16.9,Los Angeles Unified,Los Angeles,90003,Los Angeles County,Yes,No,No,No,736,33.8,21.7,0.91,0.27,0,0,0.73,0,0
Fremont High,16.9,Oakland Unified,Oakland,94601,Alameda County,Yes,No,No,No,771,51.2,15,0.94,0.2,0,0.05,0.67,0.04,0.03
Culver Park High,16.8,Culver City Unified,Culver City,90230,Los Angeles County,No,No,No,No,38,4.3,8.7,0.5,0.13,0,0.11,0.4,0,0.05
Canyon Ridge High,16.8,Hesperia Unified,Hesperia,92344,San Bernardino County,Yes,No,No,No,221,11.7,18.8,0.83,0.06,0,0.01,0.76,0.01,0.01
William J. Johnston Community Day,16.7,Los Angeles Unified,San Pedro,90731,Los Angeles County,Yes,No,No,No,119,10.5,11.3,0.97,0.23,0.01,0,0.66,0.02,0
Northern Summit Academy Shasta,16.7,Northern Summit Academy Shasta District,Anderson,96007,Shasta County,Yes,Yes,No,Yes,152,8.1,18.6,0.78,0,0.03,0.01,0.18,0,0.09
Yuba County Career Preparatory Charter,16.7,Yuba County Office of Education,Marysville,95901,Yuba County,(n/a),Yes,No,No,263,16.4,16,0.82,0.02,0.05,0.01,0.35,0,0.11
Prospect High (Continuation),16.7,Oroville Union High,Oroville,95965,Butte County,Yes,No,No,No,109,8.6,12.6,0.95,0.06,0.09,0.05,0.3,0,0.04
Abraham Lincoln Continuation,16.7,Riverside Unified,Riverside,92507,Riverside County,Yes,No,No,No,197,12.2,16.1,0.92,0.07,0.01,0.02,0.83,0,0.01
Harris Newmark Continuation,16.7,Los Angeles Unified,Los Angeles,90026,Los Angeles County,Yes,No,No,No,146,8.8,16.4,0.97,0.04,0,0.03,0.91,0,0
Vista Norte Public Charter,16.7,Vista Norte Public Charter District,Rialto,92376,San Bernardino County,(n/a),Yes,No,No,392,17.9,21.7,0.87,0.08,0.01,0.01,0.8,0,0.03
Alpaugh -Senior High,16.6,Alpaugh Unified,Alpaugh,93201,Tulare County,Yes,No,No,No,78,6.1,12.6,0.95,0,0,0,0.94,0,0
Sunset High,16.6,Del Norte County Unified,Crescent City,95531,Del Norte County,Yes,No,No,No,79,5,15.8,0.72,0.04,0.17,0.03,0.17,0,0.03
MERIT Academy,16.6,Grossmont Union High,El Cajon,92020,San Diego County,Yes,No,No,No,64,6.1,10.4,0.7,0.09,0,0,0.33,0,0.08
Boyle Heights Continuation,16.6,Los Angeles Unified,Los Angeles,90033,Los Angeles County,Yes,No,No,No,70,3.5,20,0.96,0,0,0,0.97,0,0
San Pasqual Academy,16.6,San Diego County Office of Education,Escondido,92025,San Diego County,Yes,No,No,No,70,7,10,0.96,0.34,0.03,0,0.41,0,0.06
Prepa Tec Los Angeles High,16.6,Prepa Tec Los Angeles High District,Bell,90201,Los Angeles County,Yes,Yes,No,No,288,7.5,38.4,0.83,0.01,0,0,0.98,0,0
Come Back Butte Charter,16.6,Butte County Office of Education,Oroville,95966,Butte County,Yes,Yes,No,Yes,61,3,20.3,0.89,0.03,0.08,0.03,0.21,0.02,0.1
Dr. Maya Angelou Community High,16.6,Los Angeles Unified,Los Angeles,90011,Los Angeles County,Yes,No,No,No,988,47.2,20.9,0.94,0.08,0,0,0.91,0,0
