Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
201,Mohawk Trail Regional School,https://www.schooldigger.com/go/MA/schools/0799001265/school.aspx,Mohawk Trail,https://www.schooldigger.com/go/MA/district/07990/search.aspx,26 Ashfield Road,Shelburne Falls,https://www.schooldigger.com/go/MA/city/Shelburne+Falls/search.aspx,1370,Franklin County,(413) 625-9811,7,12,Yes,No,No,No,271,38.6,7,,0.0%,0.0%,0.4%,5.5%,0.0%,4.4%,89.7%,44.6
202,KIPP Academy Lynn Charter School,https://www.schooldigger.com/go/MA/schools/0008201845/school.aspx,KIPP Academy Lynn Charter (District),https://www.schooldigger.com/go/MA/district/00082/search.aspx,90 High Rock Street,Lynn,https://www.schooldigger.com/go/MA/city/Lynn/search.aspx,1902,Essex County,(781) 598-1609,KG,12,Yes,Yes,No,No,1614,110.2,14.6,,17.5%,0.2%,3.3%,70.9%,0.1%,2.5%,5.4%,44
203,Rockland Senior High,https://www.schooldigger.com/go/MA/schools/1017001643/school.aspx,Rockland,https://www.schooldigger.com/go/MA/district/10170/search.aspx,52 MacKinlay Way,Rockland,https://www.schooldigger.com/go/MA/city/Rockland/search.aspx,2370,Plymouth County,(781) 871-0541,9,12,No,No,No,No,600,49.1,12.1,,6.5%,0.0%,1.3%,16.8%,0.0%,4.0%,71.3%,44
204,Foxborough Regional Charter School,https://www.schooldigger.com/go/MA/schools/0005201250/school.aspx,Foxborough Regional Charter (District),https://www.schooldigger.com/go/MA/district/00052/search.aspx,131 Central Street,Foxboro,https://www.schooldigger.com/go/MA/city/Foxboro/search.aspx,2035,Norfolk County,(508) 543-2508,KG,12,Yes,Yes,No,No,1689,136,12.4,,54.8%,0.4%,8.9%,6.7%,0.2%,5.1%,24.0%,43.5
205,Leicester High,https://www.schooldigger.com/go/MA/schools/0672000972/school.aspx,Leicester,https://www.schooldigger.com/go/MA/district/06720/search.aspx,174 Paxton Street,Leicester,https://www.schooldigger.com/go/MA/city/Leicester/search.aspx,1524,Worcester County,(508) 892-7030,9,12,No,No,No,No,433,33.2,13,,5.5%,0.0%,3.5%,12.7%,0.0%,3.0%,75.3%,42.9
206,Barnstable High,https://www.schooldigger.com/go/MA/schools/0231000116/school.aspx,Barnstable,https://www.schooldigger.com/go/MA/district/02310/search.aspx,744 West Main Street,Hyannis,https://www.schooldigger.com/go/MA/city/Hyannis/search.aspx,2601,Barnstable County,(508) 790-6445,8,12,No,No,No,No,1762,144.3,12.2,,9.6%,0.5%,2.0%,20.6%,0.2%,5.3%,61.7%,42
207,Excel Academy Charter School,https://www.schooldigger.com/go/MA/schools/0007502084/school.aspx,Excel Academy Charter (District),https://www.schooldigger.com/go/MA/district/00075/search.aspx,58 Moore Street,East Boston,https://www.schooldigger.com/go/MA/city/East+Boston/search.aspx,2128,Suffolk County,(617) 874-4080,5,12,Yes,Yes,No,No,1365,127,10.7,,6.2%,0.6%,1.3%,78.2%,0.5%,0.9%,12.3%,41.9
208,Chicopee Comprehensive High School,https://www.schooldigger.com/go/MA/schools/0366000495/school.aspx,Chicopee,https://www.schooldigger.com/go/MA/district/03660/search.aspx,617 Montgomery Street,Chicopee,https://www.schooldigger.com/go/MA/city/Chicopee/search.aspx,1020,Hampden County,(413) 594-3534,9,12,No,No,No,No,1154,105.7,10.9,,2.6%,0.1%,1.6%,31.9%,0.0%,3.8%,59.9%,41.7
209,Carver Middle/High School,https://www.schooldigger.com/go/MA/schools/0336002662/school.aspx,Carver,https://www.schooldigger.com/go/MA/district/03360/search.aspx,60 South Meadow Road,Carver,https://www.schooldigger.com/go/MA/city/Carver/search.aspx,2330,Plymouth County,(508) 866-6140,6,12,No,No,No,No,720,66.6,10.8,,2.5%,0.8%,0.3%,2.9%,0.0%,1.0%,92.5%,41.7
210,Easthampton High,https://www.schooldigger.com/go/MA/schools/0459000612/school.aspx,Easthampton,https://www.schooldigger.com/go/MA/district/04590/search.aspx,70 Williston Avenue,Easthampton,https://www.schooldigger.com/go/MA/city/Easthampton/search.aspx,1027,Hampshire County,(413) 529-1585,9,12,No,No,No,No,401,33.6,11.9,,1.7%,0.2%,4.0%,12.7%,0.0%,2.0%,78.3%,41.4
211,Holbrook Middle High School,https://www.schooldigger.com/go/MA/schools/0615000878/school.aspx,Holbrook,https://www.schooldigger.com/go/MA/district/06150/search.aspx,245 So. Franklin Street,Holbrook,https://www.schooldigger.com/go/MA/city/Holbrook/search.aspx,2343,Norfolk County,(781) 767-4616,6,12,Yes,No,No,No,612,43.7,14,,25.5%,0.5%,7.4%,13.4%,0.0%,8.2%,44.8%,41.3
212,Bellingham High School,https://www.schooldigger.com/go/MA/schools/0246000139/school.aspx,Bellingham,https://www.schooldigger.com/go/MA/district/02460/search.aspx,60 Blackstone Street,Bellingham,https://www.schooldigger.com/go/MA/city/Bellingham/search.aspx,2019,Norfolk County,(508) 966-3761,8,12,No,No,No,No,744,58.6,12.6,,2.0%,0.0%,3.2%,8.5%,0.0%,3.0%,83.3%,41.1
213,Assabet Valley Vocational High School,https://www.schooldigger.com/go/MA/schools/0211002257/school.aspx,Assabet Valley Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/02110/search.aspx,215 Fitchburg Street,Marlborough,https://www.schooldigger.com/go/MA/city/Marlborough/search.aspx,1752,Middlesex County,(508) 485-9430,9,12,Yes,No,No,No,1139,113,10,,1.9%,0.1%,0.5%,23.0%,0.0%,1.8%,71.6%,41.1
214,Hoosac Valley High School,https://www.schooldigger.com/go/MA/schools/0178000021/school.aspx,Hoosac Valley Regional,https://www.schooldigger.com/go/MA/district/01780/search.aspx,125 Savoy Rd,Cheshire,https://www.schooldigger.com/go/MA/city/Cheshire/search.aspx,1225,Berkshire County,(413) 743-5200,8,12,No,No,No,No,340,34.3,9.9,,4.7%,0.6%,0.0%,2.4%,0.0%,2.1%,90.0%,40.8
215,Center For Technical Education Innovation,https://www.schooldigger.com/go/MA/schools/0678002272/school.aspx,Leominster,https://www.schooldigger.com/go/MA/district/06780/search.aspx,122 Granite Street,Leominster,https://www.schooldigger.com/go/MA/city/Leominster/search.aspx,1453,Worcester County,(978) 534-7735,9,12,Yes,No,No,No,749,33.2,22.5,,8.5%,0.0%,2.9%,39.5%,0.3%,3.2%,45.5%,40.6
216,Malden High,https://www.schooldigger.com/go/MA/schools/0717001106/school.aspx,Malden,https://www.schooldigger.com/go/MA/district/07170/search.aspx,77 Salem Street,Malden,https://www.schooldigger.com/go/MA/city/Malden/search.aspx,2148,Middlesex County,(781) 397-6000,9,12,Yes,No,No,No,1757,125.5,13.9,,21.7%,0.2%,23.2%,28.1%,0.0%,3.1%,23.6%,40.5
217,Cape Cod Region Vocational Technical,https://www.schooldigger.com/go/MA/schools/0331002264/school.aspx,Cape Cod Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/03310/search.aspx,351 Pleasant Lake Avenue,Harwich,https://www.schooldigger.com/go/MA/city/Harwich/search.aspx,2645,Barnstable County,(508) 432-4500,9,12,Yes,No,No,No,654,67.5,9.6,,6.7%,1.2%,1.1%,10.7%,0.2%,4.0%,75.8%,40
218,Bristol-Plymouth Vocational Technical,https://www.schooldigger.com/go/MA/schools/0308002262/school.aspx,Bristol-Plymouth Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/03080/search.aspx,207 Hart Street,Taunton,https://www.schooldigger.com/go/MA/city/Taunton/search.aspx,2780,Bristol County,(508) 823-5151,9,12,Yes,No,No,No,1332,105.2,12.6,,3.7%,0.3%,0.9%,6.2%,0.0%,3.8%,85.1%,39.9
219,South Hadley High,https://www.schooldigger.com/go/MA/schools/1092001754/school.aspx,South Hadley,https://www.schooldigger.com/go/MA/district/10920/search.aspx,153 Newton Street,South Hadley,https://www.schooldigger.com/go/MA/city/South+Hadley/search.aspx,1075,Hampshire County,(413) 538-5063,9,12,No,No,No,No,552,54,10.2,,1.8%,0.0%,2.2%,14.9%,0.0%,2.4%,78.6%,39.6
220,Milford High,https://www.schooldigger.com/go/MA/schools/0786001239/school.aspx,Milford,https://www.schooldigger.com/go/MA/district/07860/search.aspx,31 West Fountain Street,Milford,https://www.schooldigger.com/go/MA/city/Milford/search.aspx,1757,Worcester County,(508) 478-1110,9,12,No,No,No,No,1278,98.3,13,,2.8%,1.7%,1.8%,33.3%,0.0%,3.3%,57.0%,39.6
221,Nashoba Valley Technical High School,https://www.schooldigger.com/go/MA/schools/0832001290/school.aspx,Nashoba Valley Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/08320/search.aspx,100 Littleton Road,Westford,https://www.schooldigger.com/go/MA/city/Westford/search.aspx,1886,Middlesex County,(978) 692-4711,9,12,Yes,No,No,No,736,65.2,11.2,,2.0%,0.4%,1.6%,8.0%,0.1%,3.1%,83.4%,39.2
222,Revere High,https://www.schooldigger.com/go/MA/schools/1005001630/school.aspx,Revere,https://www.schooldigger.com/go/MA/district/10050/search.aspx,101 School Street,Revere,https://www.schooldigger.com/go/MA/city/Revere/search.aspx,2151,Suffolk County,(781) 286-8222,9,12,Yes,No,No,No,1996,150.5,13.2,,4.0%,0.4%,4.8%,60.7%,0.1%,1.6%,28.4%,38.5
223,Waltham Senior High,https://www.schooldigger.com/go/MA/schools/1200001979/school.aspx,Waltham,https://www.schooldigger.com/go/MA/district/12000/search.aspx,617 Lexington Street,Waltham,https://www.schooldigger.com/go/MA/city/Waltham/search.aspx,2452,Middlesex County,(781) 314-5445,9,12,No,No,No,No,1643,161,10.2,,9.7%,0.0%,3.7%,44.6%,0.1%,1.5%,40.4%,38.5
224,Old Colony Regional Vocational Technical,https://www.schooldigger.com/go/MA/schools/0914001471/school.aspx,Old Colony Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/09140/search.aspx,476 North Avenue,Rochester,https://www.schooldigger.com/go/MA/city/Rochester/search.aspx,2770,Plymouth County,(508) 763-8011,9,12,Yes,No,No,No,563,60,9.3,,0.4%,0.2%,1.1%,2.0%,0.0%,3.0%,93.3%,38
225,Methuen High,https://www.schooldigger.com/go/MA/schools/0774001213/school.aspx,Methuen,https://www.schooldigger.com/go/MA/district/07740/search.aspx,1 Ranger Rd,Methuen,https://www.schooldigger.com/go/MA/city/Methuen/search.aspx,1844,Essex County,(978) 722-6040,9,12,Yes,No,No,No,1891,149.9,12.6,,2.9%,0.0%,4.1%,45.1%,0.0%,4.2%,43.7%,37.9
226,Berkshire Arts and Technology Charter Public School,https://www.schooldigger.com/go/MA/schools/0007901842/school.aspx,Berkshire Arts and Technology Charter Public (District),https://www.schooldigger.com/go/MA/district/00079/search.aspx,1 Commercial Place,Adams,https://www.schooldigger.com/go/MA/city/Adams/search.aspx,1220,Berkshire County,(413) 743-7311,6,12,Yes,Yes,No,No,366,38.6,9.4,,10.7%,0.0%,2.2%,14.2%,0.0%,5.5%,64.8%,37.8
227,Prospect Hill Academy Charter School,https://www.schooldigger.com/go/MA/schools/0004600819/school.aspx,Prospect Hill Academy Charter (District),https://www.schooldigger.com/go/MA/district/00046/search.aspx,50 Essex Street,Cambridge,https://www.schooldigger.com/go/MA/city/Cambridge/search.aspx,2139,Middlesex County,(617) 284-7800,PK,12,Yes,Yes,No,No,1096,104.9,10.4,,55.1%,0.0%,7.5%,22.2%,0.2%,4.4%,10.7%,37.4
228,Turners Fall High,https://www.schooldigger.com/go/MA/schools/0527000768/school.aspx,Gill-Montague,https://www.schooldigger.com/go/MA/district/05270/search.aspx,222 Turnpike Rd,Montague,https://www.schooldigger.com/go/MA/city/Montague/search.aspx,1351,Franklin County,(413) 863-7200,9,12,No,No,No,No,184,21.6,8.5,,2.2%,1.1%,0.0%,15.8%,0.0%,9.8%,71.2%,36.7
229,Southeastern Regional Vocational Technical,https://www.schooldigger.com/go/MA/schools/1102002290/school.aspx,Southeastern Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/11020/search.aspx,250 Foundry Street,South Easton,https://www.schooldigger.com/go/MA/city/South+Easton/search.aspx,2375,Bristol County,(508) 230-1200,9,12,Yes,No,No,No,1550,119.9,12.9,,37.4%,0.0%,1.2%,14.3%,0.0%,5.0%,41.8%,36
230,Charles McCann Vocational Technical,https://www.schooldigger.com/go/MA/schools/0895002282/school.aspx,Northern Berkshire Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/08950/search.aspx,70 Hodges Cross Rd,North Adams,https://www.schooldigger.com/go/MA/city/North+Adams/search.aspx,1247,Berkshire County,(413) 663-5383,9,12,Yes,No,No,No,523,45.4,11.5,,0.6%,0.0%,0.6%,1.3%,0.2%,1.5%,95.8%,35.7
231,Lee Middle/High School,https://www.schooldigger.com/go/MA/schools/0669000970/school.aspx,Lee,https://www.schooldigger.com/go/MA/district/06690/search.aspx,300 Greylock Street,Lee,https://www.schooldigger.com/go/MA/city/Lee/search.aspx,1238,Berkshire County,(413) 243-2781,7,12,No,No,No,No,326,36.2,9,,0.6%,0.0%,4.0%,10.1%,0.0%,3.7%,81.6%,35.2
232,Gr Lowell Regional Vocational Technical,https://www.schooldigger.com/go/MA/schools/0548002268/school.aspx,Greater Lowell Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/05480/search.aspx,250 Pawtucket Blvd,Tyngsboro,https://www.schooldigger.com/go/MA/city/Tyngsboro/search.aspx,1879,Middlesex County,(978) 441-4807,9,12,Yes,No,No,No,2300,200.3,11.4,,5.7%,0.3%,17.3%,36.5%,0.0%,3.1%,36.6%,35.1
233,Blackstone Millville Regional High School,https://www.schooldigger.com/go/MA/schools/0271500192/school.aspx,Blackstone-Millville,https://www.schooldigger.com/go/MA/district/02715/search.aspx,175 Lincoln Street,Blackstone,https://www.schooldigger.com/go/MA/city/Blackstone/search.aspx,1504,Worcester County,(508) 876-0117,9,12,No,No,No,No,413,38.3,10.7,,1.9%,0.0%,1.2%,6.8%,0.0%,4.4%,85.0%,34.5
234,Gardner High,https://www.schooldigger.com/go/MA/schools/0513000751/school.aspx,Gardner,https://www.schooldigger.com/go/MA/district/05130/search.aspx,200 Catherine Street,Gardner,https://www.schooldigger.com/go/MA/city/Gardner/search.aspx,1440,Worcester County,(978) 632-1600,8,12,No,No,No,No,740,60.1,12.3,,4.1%,0.1%,2.0%,22.0%,0.0%,8.5%,63.1%,34.3
235,Boston Collegiate Charter School,https://www.schooldigger.com/go/MA/schools/0005301256/school.aspx,Boston Collegiate Charter (District),https://www.schooldigger.com/go/MA/district/00053/search.aspx,11 Mayhew Street,Dorchester,https://www.schooldigger.com/go/MA/city/Dorchester/search.aspx,2125,Suffolk County,(617) 265-1172,5,12,Yes,Yes,No,No,702,75.2,9.3,,33.9%,0.0%,2.4%,18.5%,0.1%,3.3%,41.6%,33.5
236,Gloucester High,https://www.schooldigger.com/go/MA/schools/0528000774/school.aspx,Gloucester,https://www.schooldigger.com/go/MA/district/05280/search.aspx,32 L O Johnson Rd,Gloucester,https://www.schooldigger.com/go/MA/city/Gloucester/search.aspx,1930,Essex County,(978) 281-9870,9,12,No,No,No,No,830,79.1,10.4,,1.4%,0.5%,1.3%,11.7%,0.5%,3.4%,80.4%,33.2
237,Gateway Regional High,https://www.schooldigger.com/go/MA/schools/0516000758/school.aspx,Gateway,https://www.schooldigger.com/go/MA/district/05160/search.aspx,12 Littleville Road,Huntington,https://www.schooldigger.com/go/MA/city/Huntington/search.aspx,1050,Hampshire County,(413) 685-1105,9,12,No,No,No,No,174,26.1,6.6,,0.6%,1.1%,0.0%,5.7%,0.0%,1.7%,90.2%,32.8
238,Granby Junior Senior High School,https://www.schooldigger.com/go/MA/schools/0540000790/school.aspx,Granby,https://www.schooldigger.com/go/MA/district/05400/search.aspx,385 East State Street,Granby,https://www.schooldigger.com/go/MA/city/Granby/search.aspx,1033,Hampshire County,(413) 467-7105,7,12,Yes,No,No,No,303,27,11.2,,0.3%,0.0%,1.0%,7.6%,0.0%,1.7%,88.4%,32.1
239,Saugus High,https://www.schooldigger.com/go/MA/schools/1050001684/school.aspx,Saugus,https://www.schooldigger.com/go/MA/district/10500/search.aspx,1 Pearce Drive,Saugus,https://www.schooldigger.com/go/MA/city/Saugus/search.aspx,1906,Essex County,(781) 231-5027,9,12,Yes,No,No,No,694,44.8,15.4,,5.6%,0.4%,4.6%,24.6%,0.3%,1.7%,62.5%,31.8
240,Palmer High,https://www.schooldigger.com/go/MA/schools/0930001485/school.aspx,Palmer,https://www.schooldigger.com/go/MA/district/09300/search.aspx,4105 Main Street,Palmer,https://www.schooldigger.com/go/MA/city/Palmer/search.aspx,1069,Hampden County,(413) 283-6511,6,12,Yes,No,No,No,565,61.7,9.1,,2.8%,0.2%,3.5%,13.6%,0.0%,5.1%,74.3%,31.4
241,Millbury Junior/Senior High,https://www.schooldigger.com/go/MA/schools/0789001249/school.aspx,Millbury,https://www.schooldigger.com/go/MA/district/07890/search.aspx,12 Martin Street,Millbury,https://www.schooldigger.com/go/MA/city/Millbury/search.aspx,1527,Worcester County,(508) 865-5841,7,12,Yes,No,No,No,736,64.1,11.4,,4.1%,0.0%,4.1%,10.6%,0.1%,5.7%,75.1%,31.4
242,TEC Connections Academy Commonwealth Virtual School,https://www.schooldigger.com/go/MA/schools/0055602817/school.aspx,TEC Connections Academy Commonwealth Virtual School District,https://www.schooldigger.com/go/MA/district/00556/search.aspx,141 Mansion Drive,East Walpole,https://www.schooldigger.com/go/MA/city/East+Walpole/search.aspx,2032,Norfolk County,(774) 315-5123,KG,12,Yes,No,No,Yes,2686,103.8,25.8,,9.2%,0.4%,3.8%,21.0%,0.3%,7.0%,58.2%,31.3
243,Sabis International Charter School,https://www.schooldigger.com/go/MA/schools/0002800537/school.aspx,Springfield International Charter (District),https://www.schooldigger.com/go/MA/district/00028/search.aspx,160 Joan Street,Springfield,https://www.schooldigger.com/go/MA/city/Springfield/search.aspx,1129,Hampden County,(413) 783-2600,KG,12,Yes,Yes,No,No,1519,59.1,25.6,,28.7%,0.0%,3.8%,46.8%,0.0%,6.1%,14.7%,31.2
244,Gr Lawrence Regional Vocational Technical,https://www.schooldigger.com/go/MA/schools/0547002267/school.aspx,Greater Lawrence Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/05470/search.aspx,57 River Rd,Andover,https://www.schooldigger.com/go/MA/city/Andover/search.aspx,1810,Essex County,(978) 686-0194,9,12,Yes,No,No,No,1655,147.4,11.2,,1.4%,0.0%,0.9%,82.1%,0.1%,0.3%,15.0%,30.2
245,Upper Cape Cod Vocational Technical,https://www.schooldigger.com/go/MA/schools/1180002296/school.aspx,Upper Cape Cod Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/11800/search.aspx,220 Sandwich Rd,Bourne,https://www.schooldigger.com/go/MA/city/Bourne/search.aspx,2532,Barnstable County,(508) 759-7711,9,12,Yes,No,No,No,744,76.7,9.6,,3.2%,0.7%,0.8%,5.1%,0.1%,7.4%,82.7%,30
246,Ralph C Mahar Regional,https://www.schooldigger.com/go/MA/schools/0990001587/school.aspx,Ralph C Mahar,https://www.schooldigger.com/go/MA/district/09900/search.aspx,507 South Main Street,Orange,https://www.schooldigger.com/go/MA/city/Orange/search.aspx,1364,Franklin County,(978) 544-2542,7,12,Yes,No,No,No,557,56.9,9.7,,1.6%,0.2%,1.3%,7.0%,0.0%,3.8%,85.8%,29.7
247,Joseph P Keefe Technical High School,https://www.schooldigger.com/go/MA/schools/1106002291/school.aspx,South Middlesex Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/11060/search.aspx,750 Winter Street,Framingham,https://www.schooldigger.com/go/MA/city/Framingham/search.aspx,1702,Middlesex County,(508) 416-2252,9,12,Yes,No,No,No,850,87.8,9.6,,4.7%,2.1%,1.6%,41.4%,0.0%,3.1%,46.4%,29.7
248,Neighborhood House Charter School,https://www.schooldigger.com/go/MA/schools/0002900545/school.aspx,Neighborhood House Charter (District),https://www.schooldigger.com/go/MA/district/00029/search.aspx,21 Queen Street,Dorchester,https://www.schooldigger.com/go/MA/city/Dorchester/search.aspx,2122,Suffolk County,(617) 825-0703,PK,12,Yes,Yes,No,No,764,81.9,9.3,,54.1%,0.8%,2.2%,25.5%,0.0%,6.0%,11.4%,29.4
249,Randolph High,https://www.schooldigger.com/go/MA/schools/0993001596/school.aspx,Randolph,https://www.schooldigger.com/go/MA/district/09930/search.aspx,70 Memorial Pkwy,Randolph,https://www.schooldigger.com/go/MA/city/Randolph/search.aspx,2368,Norfolk County,(781) 961-6220,9,12,No,No,No,No,604,51.9,11.6,,48.3%,0.0%,21.5%,17.2%,0.0%,4.3%,8.6%,28.7
250,Leominster High School,https://www.schooldigger.com/go/MA/schools/0678000987/school.aspx,Leominster,https://www.schooldigger.com/go/MA/district/06780/search.aspx,122 Granite Street,Leominster,https://www.schooldigger.com/go/MA/city/Leominster/search.aspx,1453,Worcester County,(978) 534-7715,9,12,Yes,No,No,No,1082,92.3,11.7,,8.8%,0.2%,4.7%,37.5%,0.0%,3.3%,45.3%,28.4
251,Boston Arts Academy,https://www.schooldigger.com/go/MA/schools/0279001128/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,11 Charles Street,Boston,https://www.schooldigger.com/go/MA/city/Boston/search.aspx,2122,Suffolk County,(617) 635-6470,9,12,Yes,No,No,No,490,46.2,10.6,,40.2%,0.0%,1.4%,44.1%,0.0%,4.1%,9.8%,28.4
252,Oxford High,https://www.schooldigger.com/go/MA/schools/0927001482/school.aspx,Oxford,https://www.schooldigger.com/go/MA/district/09270/search.aspx,100 Carbuncle Drive,Oxford,https://www.schooldigger.com/go/MA/city/Oxford/search.aspx,1540,Worcester County,(508) 987-6081,8,12,No,No,No,No,530,50.2,10.5,,2.6%,0.2%,1.3%,15.1%,0.2%,4.9%,74.7%,28.2
253,Taunton High,https://www.schooldigger.com/go/MA/schools/1152001915/school.aspx,Taunton,https://www.schooldigger.com/go/MA/district/11520/search.aspx,50 Williams Street,Taunton,https://www.schooldigger.com/go/MA/city/Taunton/search.aspx,2780,Bristol County,(508) 821-1101,8,12,No,No,No,No,2720,163.8,16.5,,20.3%,0.5%,1.1%,13.7%,0.3%,4.6%,59.5%,27.9
254,Westfield High,https://www.schooldigger.com/go/MA/schools/1263002073/school.aspx,Westfield,https://www.schooldigger.com/go/MA/district/12630/search.aspx,177 Montgomery Rd,Westfield,https://www.schooldigger.com/go/MA/city/Westfield/search.aspx,1085,Hampden County,(413) 572-6466,9,12,Yes,No,No,No,1100,90.1,12.2,,2.8%,0.0%,2.8%,19.0%,0.0%,3.2%,72.2%,27.5
255,Peabody Veterans Memorial High,https://www.schooldigger.com/go/MA/schools/0936001504/school.aspx,Peabody,https://www.schooldigger.com/go/MA/district/09360/search.aspx,485 Lowell Street,Peabody,https://www.schooldigger.com/go/MA/city/Peabody/search.aspx,1960,Essex County,(978) 536-4500,9,12,Yes,No,No,No,1455,120,12.1,,4.2%,0.3%,2.2%,21.7%,0.0%,1.2%,70.3%,27.4
256,Monson High School,https://www.schooldigger.com/go/MA/schools/0804001269/school.aspx,Monson,https://www.schooldigger.com/go/MA/district/08040/search.aspx,55 Margaret Street,Monson,https://www.schooldigger.com/go/MA/city/Monson/search.aspx,1057,Hampden County,(413) 267-4589,7,12,No,No,No,No,325,32.7,9.9,,0.9%,0.0%,1.2%,5.8%,0.6%,4.0%,86.8%,27.2
257,Lowell High,https://www.schooldigger.com/go/MA/schools/0702001041/school.aspx,Lowell,https://www.schooldigger.com/go/MA/district/07020/search.aspx,50 Father Morrissette Boulevar,Lowell,https://www.schooldigger.com/go/MA/city/Lowell/search.aspx,1852,Middlesex County,(978) 937-8900,9,12,Yes,No,No,No,3056,219.1,13.9,,11.0%,0.0%,29.4%,34.9%,0.0%,3.9%,20.7%,26.9
258,University Pk Campus School,https://www.schooldigger.com/go/MA/schools/1323001076/school.aspx,Worcester,https://www.schooldigger.com/go/MA/district/13230/search.aspx,12 Freeland Street,Worcester,https://www.schooldigger.com/go/MA/city/Worcester/search.aspx,1603,Worcester County,(508) 799-3591,7,12,Yes,No,No,No,233,21.6,10.7,,13.3%,0.9%,15.0%,55.8%,0.0%,5.2%,9.9%,26.3
259,Haverhill High,https://www.schooldigger.com/go/MA/schools/0597000856/school.aspx,Haverhill,https://www.schooldigger.com/go/MA/district/05970/search.aspx,137 Monument Street,Haverhill,https://www.schooldigger.com/go/MA/city/Haverhill/search.aspx,1832,Essex County,(978) 374-5700,9,12,Yes,No,No,No,1931,139.5,13.8,,5.2%,0.3%,1.8%,37.3%,0.3%,1.6%,53.4%,26.1
260,David Prouty High,https://www.schooldigger.com/go/MA/schools/0000201790/school.aspx,Spencer-E Brookfield,https://www.schooldigger.com/go/MA/district/00002/search.aspx,302 Main Street,Spencer,https://www.schooldigger.com/go/MA/city/Spencer/search.aspx,1562,Worcester County,(508) 885-8505,9,12,No,No,No,No,343,24,14.2,,3.8%,0.6%,2.3%,16.3%,0.0%,5.0%,72.0%,26.1
261,Franklin County Technical,https://www.schooldigger.com/go/MA/schools/0502000744/school.aspx,Franklin County Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/05020/search.aspx,82 Industrial Blvd,Turners Falls,https://www.schooldigger.com/go/MA/city/Turners+Falls/search.aspx,1376,Franklin County,(413) 863-9561,9,12,Yes,No,No,No,583,59.3,9.8,,1.2%,0.2%,0.0%,7.4%,0.5%,2.4%,88.3%,26
262,Pittsfield High,https://www.schooldigger.com/go/MA/schools/0963001526/school.aspx,Pittsfield,https://www.schooldigger.com/go/MA/district/09630/search.aspx,300 East Street,Pittsfield,https://www.schooldigger.com/go/MA/city/Pittsfield/search.aspx,1201,Berkshire County,(413) 499-9535,9,12,No,No,No,No,672,68.8,9.7,,10.3%,0.0%,1.5%,15.0%,0.0%,7.1%,65.8%,25.9
263,Global Learning Charter Public School,https://www.schooldigger.com/go/MA/schools/0051902629/school.aspx,Global Learning Charter Public (District),https://www.schooldigger.com/go/MA/district/00519/search.aspx,190 Ashley Boulevard,New Bedford,https://www.schooldigger.com/go/MA/city/New+Bedford/search.aspx,2746,Bristol County,(508) 991-4105,5,12,Yes,Yes,No,No,504,44.6,11.2,,12.7%,0.6%,1.6%,47.4%,0.0%,4.8%,32.9%,25.7
264,Athol High,https://www.schooldigger.com/go/MA/schools/0216000074/school.aspx,Athol-Royalston,https://www.schooldigger.com/go/MA/district/02160/search.aspx,2363 Main Street,Athol,https://www.schooldigger.com/go/MA/city/Athol/search.aspx,1331,Worcester County,(978) 249-2435,9,12,Yes,No,No,No,371,27.9,13.2,,2.7%,0.3%,1.9%,17.0%,0.0%,3.2%,74.9%,25.1
265,Smith Vocational and Agricultural High,https://www.schooldigger.com/go/MA/schools/0886002314/school.aspx,Northampton-Smith Vocational Agricultural,https://www.schooldigger.com/go/MA/district/08860/search.aspx,80 Locust Street,Northampton,https://www.schooldigger.com/go/MA/city/Northampton/search.aspx,1060,Hampshire County,(413) 587-1414,9,12,Yes,No,No,No,547,58,9.4,,1.6%,0.2%,0.5%,12.4%,0.2%,1.5%,83.0%,24.7
266,Greenfield High,https://www.schooldigger.com/go/MA/schools/0549000801/school.aspx,Greenfield,https://www.schooldigger.com/go/MA/district/05490/search.aspx,21 Barr Avenue,Greenfield,https://www.schooldigger.com/go/MA/city/Greenfield/search.aspx,1301,Franklin County,(413) 772-1350,8,12,Yes,No,No,No,509,40.1,12.6,,2.9%,0.4%,2.0%,19.6%,0.0%,6.3%,68.6%,24.6
