School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Cascade View Elementary,https://www.schooldigger.com/go/WA/schools/0813002032/school.aspx,Tukwila School District,https://www.schooldigger.com/go/WA/district/08130/search.aspx,13601 32nd Avenue S,Tukwila,https://www.schooldigger.com/go/WA/city/Tukwila/search.aspx,98168,King County,(206) 901-7700,PK,5,Yes,No,No,No,440,26.3,16.7,78.9,16.1,0.2,37.3,31.6,1.6,3.2,9.8,18.6
Scenic Hill Elementary School,https://www.schooldigger.com/go/WA/schools/0396000631/school.aspx,Kent School District,https://www.schooldigger.com/go/WA/district/03960/search.aspx,26025 Woodland Way S,Kent,https://www.schooldigger.com/go/WA/city/Kent/search.aspx,98030,King County,(253) 373-7479,PK,6,Yes,No,No,No,559,40.5,13.7,77.3,15.2,1.4,11.4,39.4,4.7,8.8,19.1,18.6
Horizon Elementary,https://www.schooldigger.com/go/WA/schools/0543002320/school.aspx,Mukilteo School District,https://www.schooldigger.com/go/WA/district/05430/search.aspx,222 W Casino Rd,Everett,https://www.schooldigger.com/go/WA/city/Everett/search.aspx,98204,Snohomish County,(425) 366-3000,KG,5,Yes,No,No,No,543,42.8,12.6,73.1,6.6,0,1.5,53.2,2.8,9.8,26.2,18.5
Washington Elementary School,https://www.schooldigger.com/go/WA/schools/0114000211/school.aspx,Centralia School District,https://www.schooldigger.com/go/WA/district/01140/search.aspx,800 Field Street,Centralia,https://www.schooldigger.com/go/WA/city/Centralia/search.aspx,98531,Lewis County,(360) 330-7641,KG,6,Yes,No,No,No,298,19.1,15.5,88.3,1,0.7,0,41.3,0,5.4,50.3,18.5
Bryn Mawr Elementary School,https://www.schooldigger.com/go/WA/schools/0723001065/school.aspx,Renton School District,https://www.schooldigger.com/go/WA/district/07230/search.aspx,8212 S 118th St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98178,King County,(425) 204-4150,KG,5,Yes,No,No,No,392,25.3,15.4,54.6,23.5,0.3,23.5,28.3,1.3,13.5,9.2,18.4
Lake Louise Elementary School,https://www.schooldigger.com/go/WA/schools/0141000260/school.aspx,Clover Park School District,https://www.schooldigger.com/go/WA/district/01410/search.aspx,11014 Holden Rd SW,Lakewood,https://www.schooldigger.com/go/WA/city/Lakewood/search.aspx,98498,Pierce County,(253) 583-5310,PK,5,Yes,No,No,No,481,29.4,16.3,62.8,12.1,0.8,2.7,23.3,6.9,21.8,32.4,18.4
Sheridan Elementary,https://www.schooldigger.com/go/WA/schools/0825001409/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,3737 E 5Th Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99202,Spokane County,(509) 353-4538,PK,6,Yes,No,No,No,449,34.1,13.1,83.5,4.9,1.3,4.5,15.6,5.3,15.1,53.2,18.3
Sheridan,https://www.schooldigger.com/go/WA/schools/0870001500/school.aspx,Tacoma School District,https://www.schooldigger.com/go/WA/district/08700/search.aspx,5317 E McKinley Ave,Tacoma,https://www.schooldigger.com/go/WA/city/Tacoma/search.aspx,98404,Pierce County,(253) 571-5900,PK,5,Yes,No,No,No,486,31.5,15.4,73.9,10.5,1.9,14.4,38.7,5.3,13.6,15.6,18.3
Regal Elementary,https://www.schooldigger.com/go/WA/schools/0825001402/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,2707 E Rich Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99207,Spokane County,(509) 354-3900,PK,6,Yes,No,No,No,446,34,13,90.6,3.6,2,0.9,10.1,4.9,16.6,61.9,18.2
Columbia Elementary School,https://www.schooldigger.com/go/WA/schools/0966001630/school.aspx,Wenatchee School District,https://www.schooldigger.com/go/WA/district/09660/search.aspx,600 Alaska St,Wenatchee,https://www.schooldigger.com/go/WA/city/Wenatchee/search.aspx,98801,Chelan County,(509) 662-7256,KG,5,Yes,No,No,No,313,27.8,11.2,63.6,0.3,0,0,73.2,0,1.6,24.9,18.2
Liberty Elementary,https://www.schooldigger.com/go/WA/schools/0486000734/school.aspx,Marysville School District,https://www.schooldigger.com/go/WA/district/04860/search.aspx,1919 10th St,Marysville,https://www.schooldigger.com/go/WA/city/Marysville/search.aspx,98270,Snohomish County,(360) 965-1800,PK,5,Yes,No,No,No,381,30.2,12.5,70.6,1.6,3.4,2.4,36.7,3.4,7.3,43.8,18.2
Gold Bar Elementary,https://www.schooldigger.com/go/WA/schools/0855000541/school.aspx,Sultan School District,https://www.schooldigger.com/go/WA/district/08550/search.aspx,419 Lewis Ave,Gold Bar,https://www.schooldigger.com/go/WA/city/Gold+Bar/search.aspx,98251,Snohomish County,(360) 793-9840,KG,5,Yes,No,No,No,274,21.4,12.7,54,1.8,0,0.7,32.5,0.4,0.7,63.9,18.2
Washington Elementary School,https://www.schooldigger.com/go/WA/schools/0393000610/school.aspx,Kennewick School District,https://www.schooldigger.com/go/WA/district/03930/search.aspx,105 West 21st Avenue,Kennewick,https://www.schooldigger.com/go/WA/city/Kennewick/search.aspx,99337,Benton County,(509) 222-6200,KG,5,Yes,No,No,No,354,28,12.6,71.5,0.8,0,1.7,39,0.3,2.5,55.6,18.1
Grove Elementary,https://www.schooldigger.com/go/WA/schools/0486003235/school.aspx,Marysville School District,https://www.schooldigger.com/go/WA/district/04860/search.aspx,6510 Grove St,Marysville,https://www.schooldigger.com/go/WA/city/Marysville/search.aspx,98270,Snohomish County,(360) 965-1700,KG,5,No,No,No,No,395,27.9,14.1,43,3.8,2,7.8,20.5,0.8,12.2,52.9,18.1
Armin Jahr Elementary,https://www.schooldigger.com/go/WA/schools/0066000135/school.aspx,Bremerton School District,https://www.schooldigger.com/go/WA/district/00660/search.aspx,800 Dibb Street,Bremerton,https://www.schooldigger.com/go/WA/city/Bremerton/search.aspx,98310,Kitsap County,(360) 473-4100,KG,5,Yes,No,No,No,391,29.2,13.3,68.5,3.8,0.3,4.3,44.8,1,12.3,33.5,18
Washington Elementary School,https://www.schooldigger.com/go/WA/schools/0540000814/school.aspx,Mount Vernon School District,https://www.schooldigger.com/go/WA/district/05400/search.aspx,1020 McLean Rd,Mount Vernon,https://www.schooldigger.com/go/WA/city/Mount+Vernon/search.aspx,98273,Skagit County,(360) 428-6122,KG,5,Yes,No,No,No,323,28.4,11.3,74,1.2,0,1.5,60.4,0,1.9,35,18
Sifton Elementary School,https://www.schooldigger.com/go/WA/schools/0270000425/school.aspx,Evergreen School District (Clark),https://www.schooldigger.com/go/WA/district/02700/search.aspx,7301 NE 137th Avenue,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98682,Clark County,(360) 604-6675,PK,5,Yes,No,No,No,450,31.9,14.1,57.3,1.8,0,6.7,28.4,0.9,9.3,52.9,17.9
Lynden Academy,https://www.schooldigger.com/go/WA/schools/0462003022/school.aspx,Lynden School District,https://www.schooldigger.com/go/WA/district/04620/search.aspx,1986 Main St Suite A,Lynden,https://www.schooldigger.com/go/WA/city/Lynden/search.aspx,98264,Whatcom County,(360) 354-6675,KG,12,No,No,No,No,433,13,33.2,8.1,1.4,0.5,1.2,7.9,0,3.7,85.5,17.9
Lake Grove Elementary School,https://www.schooldigger.com/go/WA/schools/0282000440/school.aspx,Federal Way School District,https://www.schooldigger.com/go/WA/district/02820/search.aspx,303 SW 308th St,Federal Way,https://www.schooldigger.com/go/WA/city/Federal+Way/search.aspx,98023,King County,(253) 945-2900,PK,5,Yes,No,No,No,327,25.5,12.8,67.6,12.2,1.5,6.4,42.5,10.1,9.5,17.7,17.8
Edmonds Heights K-12,https://www.schooldigger.com/go/WA/schools/0240003139/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,23200 100th Ave W,Edmonds,https://www.schooldigger.com/go/WA/city/Edmonds/search.aspx,98020,Snohomish County,(425) 431-7840,KG,12,No,No,No,No,663,17.5,37.8,17,0.9,0.8,5.9,11.3,0,13.1,67.7,17.8
Washington Elementary School,https://www.schooldigger.com/go/WA/schools/0030000042/school.aspx,Auburn School District,https://www.schooldigger.com/go/WA/district/00300/search.aspx,20 E St NE,Auburn,https://www.schooldigger.com/go/WA/city/Auburn/search.aspx,98002,King County,(253) 931-4988,PK,5,Yes,No,No,No,553,37.5,14.7,75.2,7.4,0.4,4.9,38.5,11.4,14.1,23.3,17.8
Explorer Academy,https://www.schooldigger.com/go/WA/schools/0816002575/school.aspx,South Kitsap School District,https://www.schooldigger.com/go/WA/district/08160/search.aspx,1723 Wolves Dr,Port Orchard,https://www.schooldigger.com/go/WA/city/Port+Orchard/search.aspx,98366,Kitsap County,(360) 443-3605,KG,12,No,No,No,No,273,9,30.2,24.5,0.4,1.8,1.1,10.6,2.2,12.1,71.4,17.7
Wallace Elementary,https://www.schooldigger.com/go/WA/schools/0000300596/school.aspx,Kelso School District,https://www.schooldigger.com/go/WA/district/00003/search.aspx,1213 S 5th Ave,Kelso,https://www.schooldigger.com/go/WA/city/Kelso/search.aspx,98626,Cowlitz County,(360) 501-1650,KG,5,Yes,No,No,No,295,24.2,12.1,84.7,0.7,1.4,1.7,24.7,6.4,6.4,58.6,17.5
Olivia Park Elementary,https://www.schooldigger.com/go/WA/schools/0543000819/school.aspx,Mukilteo School District,https://www.schooldigger.com/go/WA/district/05430/search.aspx,200 108th St SW,Everett,https://www.schooldigger.com/go/WA/city/Everett/search.aspx,98204,Snohomish County,(425) 366-3300,KG,5,Yes,No,No,No,552,39.9,13.8,61.4,11.4,0.2,13.2,37,2,8,28.3,17.4
Westgate Elementary School,https://www.schooldigger.com/go/WA/schools/0393000611/school.aspx,Kennewick School District,https://www.schooldigger.com/go/WA/district/03930/search.aspx,2514 West 4th Avenue,Kennewick,https://www.schooldigger.com/go/WA/city/Kennewick/search.aspx,99336,Benton County,(509) 222-6300,PK,5,Yes,No,No,No,439,34,12.9,82.5,3.2,0,8.4,33.3,1.4,5.5,48.3,17.4
Mint Valley Elementary,https://www.schooldigger.com/go/WA/schools/0447000704/school.aspx,Longview School District,https://www.schooldigger.com/go/WA/district/04470/search.aspx,2745 38th Avenue,Longview,https://www.schooldigger.com/go/WA/city/Longview/search.aspx,98632,Cowlitz County,(360) 575-7581,KG,5,Yes,No,No,No,378,25.5,14.7,71.4,2.4,1.1,3.2,20.9,0.5,6.9,65.1,17.2
Chinook Elementary School,https://www.schooldigger.com/go/WA/schools/0030000034/school.aspx,Auburn School District,https://www.schooldigger.com/go/WA/district/00300/search.aspx,3502 Auburn Way S,Auburn,https://www.schooldigger.com/go/WA/city/Auburn/search.aspx,98092,King County,(253) 931-4980,PK,5,Yes,No,No,No,525,38.7,13.5,66.5,5.3,9.3,5.3,44.6,8.4,12.6,14.5,17.2
Longview Elementary,https://www.schooldigger.com/go/WA/schools/0522000791/school.aspx,Moses Lake School District,https://www.schooldigger.com/go/WA/district/05220/search.aspx,9783 Apple Road NE,Moses Lake,https://www.schooldigger.com/go/WA/city/Moses+Lake/search.aspx,98837,Grant County,(509) 766-2656,KG,5,Yes,No,No,No,411,29.5,13.8,67.2,0,0,0,53,0.5,1,45.5,17.2
Lidgerwood Elementary,https://www.schooldigger.com/go/WA/schools/0825001390/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,5510 N Lidgerwood,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99208,Spokane County,(509) 354-3225,PK,6,Yes,No,No,No,410,28.2,14.5,90.7,5.9,1.2,4.1,16.3,6.8,18.3,47.3,17.1
Madison Elementary,https://www.schooldigger.com/go/WA/schools/0267000405/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,616 Pecks Dr.,Everett,https://www.schooldigger.com/go/WA/city/Everett/search.aspx,98203,Snohomish County,(425) 385-5900,PK,5,Yes,No,No,No,406,29.1,13.9,61.8,5.4,0,7.6,37.9,2.5,13.5,33,17
Internet Academy,https://www.schooldigger.com/go/WA/schools/0282002638/school.aspx,Federal Way School District,https://www.schooldigger.com/go/WA/district/02820/search.aspx,31455 28th Ave S,Federal Way,https://www.schooldigger.com/go/WA/city/Federal+Way/search.aspx,98003,King County,(253) 945-2230,PK,12,No,No,No,Yes,545,21.2,25.6,30.1,7.3,1.5,7.5,14.1,0.9,18,50.3,16.9
Mirror Lake Elementary School,https://www.schooldigger.com/go/WA/schools/0282000443/school.aspx,Federal Way School District,https://www.schooldigger.com/go/WA/district/02820/search.aspx,625 S 314th St,Federal Way,https://www.schooldigger.com/go/WA/city/Federal+Way/search.aspx,98003,King County,(253) 945-3300,PK,5,Yes,No,No,No,427,27.1,15.7,86.9,25.5,0,10.8,34.9,5.2,10.1,13.6,16.8
Ellsworth Elementary School,https://www.schooldigger.com/go/WA/schools/0270000417/school.aspx,Evergreen School District (Clark),https://www.schooldigger.com/go/WA/district/02700/search.aspx,512 SE Ellsworth Avenue,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98664,Clark County,(360) 604-6950,PK,5,Yes,No,No,No,345,28.4,12.1,58,3.8,0,3.2,34.8,1.2,15.1,42,16.8
Ridgeview Elementary,https://www.schooldigger.com/go/WA/schools/1011001687/school.aspx,Yakima School District,https://www.schooldigger.com/go/WA/district/10110/search.aspx,609 W Washington Ave,Yakima,https://www.schooldigger.com/go/WA/city/Yakima/search.aspx,98903,Yakima County,(509) 573-1800,KG,5,Yes,No,No,No,589,35.2,16.6,83.7,0.8,0.7,0,84.2,0,1.2,13.1,16.7
George T. Daniel Elementary School,https://www.schooldigger.com/go/WA/schools/0396000690/school.aspx,Kent School District,https://www.schooldigger.com/go/WA/district/03960/search.aspx,11310 SE 248th ST,Kent,https://www.schooldigger.com/go/WA/city/Kent/search.aspx,98030,King County,(253) 373-7615,PK,6,Yes,No,No,No,467,29,16,77.7,17.8,0.4,18.2,28.5,3.9,8.1,23.1,16.7
George C Marshall Elementary,https://www.schooldigger.com/go/WA/schools/0927001563/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,6400 MacArthur Blvd,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98661,Clark County,(360) 313-2400,KG,5,Yes,No,No,No,312,26.4,11.7,68.9,1.9,0.3,1.3,39.7,4.5,9,43.3,16.7
Lincoln Elementary,https://www.schooldigger.com/go/WA/schools/0366000566/school.aspx,Hoquiam School District,https://www.schooldigger.com/go/WA/district/03660/search.aspx,700 Wood,Hoquiam,https://www.schooldigger.com/go/WA/city/Hoquiam/search.aspx,98550,Grays Harbor County,(360) 538-8250,PK,3,Yes,No,No,No,235,15,15.5,73.6,0.9,3,1.3,21.7,0,11.5,61.7,16.4
Morgen Owings Elementary School,https://www.schooldigger.com/go/WA/schools/0120000220/school.aspx,Lake Chelan School District,https://www.schooldigger.com/go/WA/district/01200/search.aspx,407 E Woodin,Chelan,https://www.schooldigger.com/go/WA/city/Chelan/search.aspx,98816,Chelan County,(509) 682-4031,KG,5,Yes,No,No,No,517,34.9,14.7,63.4,0.2,0.2,0.6,59.8,0.2,1.2,37.9,16.3
Pacific Northwest Connections Academy,https://www.schooldigger.com/go/WA/schools/0816003672/school.aspx,South Kitsap School District,https://www.schooldigger.com/go/WA/district/08160/search.aspx,111 Tumwater Blvd SE Ste B203,Tumwater,https://www.schooldigger.com/go/WA/city/Tumwater/search.aspx,98501,Kitsap County,(360) 338-6340,KG,12,No,No,No,Yes,1195,,,0.8,3.7,1.4,2.8,10.7,0.6,9.5,71.4,16.3
Lakewood Elementary School,https://www.schooldigger.com/go/WA/schools/0426000685/school.aspx,Lakewood School District,https://www.schooldigger.com/go/WA/district/04260/search.aspx,17000 16th Dr N.E.,Marysville,https://www.schooldigger.com/go/WA/city/Marysville/search.aspx,98223,Snohomish County,(360) 652-4520,PK,5,Yes,No,No,No,395,24.6,15.9,45.8,1.8,0.8,2.3,19.7,2,14.2,59.2,16.3
Abraham Lincoln Elementary,https://www.schooldigger.com/go/WA/schools/0966001632/school.aspx,Wenatchee School District,https://www.schooldigger.com/go/WA/district/09660/search.aspx,1224 Methow St.,Wenatchee,https://www.schooldigger.com/go/WA/city/Wenatchee/search.aspx,98801,Chelan County,(509) 663-5710,KG,5,Yes,No,No,No,476,37.8,12.5,63.9,0,0.2,0.8,76.1,0,0.2,22.7,16
E Omak Elementary,https://www.schooldigger.com/go/WA/schools/0622000938/school.aspx,Omak School District,https://www.schooldigger.com/go/WA/district/06220/search.aspx,715 Omak Ave,Omak,https://www.schooldigger.com/go/WA/city/Omak/search.aspx,98841,Okanogan County,(509) 826-3003,3,5,Yes,No,No,No,352,26.9,13,80.7,0.9,20.2,0.9,29.3,0,7.1,41.8,15.7
Elmhurst Elementary School,https://www.schooldigger.com/go/WA/schools/0294000474/school.aspx,Franklin Pierce School District,https://www.schooldigger.com/go/WA/district/02940/search.aspx,420 133rd ST E,Tacoma,https://www.schooldigger.com/go/WA/city/Tacoma/search.aspx,98445,Pierce County,(253) 298-3505,KG,5,No,No,No,No,360,26,13.8,66.4,12.2,1.4,4.4,25,8.3,22.2,26.4,15.6
Peter S Ogden Elementary,https://www.schooldigger.com/go/WA/schools/0927001580/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,3200 NE 86th Avenue,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98662,Clark County,(360) 313-2550,PK,5,Yes,No,No,No,646,40.4,15.9,66.7,4,0.8,3.3,36.2,5.9,7.4,42.4,15.6
Ancient Lakes Elementary,https://www.schooldigger.com/go/WA/schools/0708003717/school.aspx,Quincy School District,https://www.schooldigger.com/go/WA/district/07080/search.aspx,417 C Street SE,Quincy,https://www.schooldigger.com/go/WA/city/Quincy/search.aspx,98848,Grant County,(509) 787-8950,KG,5,Yes,No,No,No,365,20.1,18.1,73.2,0.3,0,0,86.3,0,0.3,13.2,15.5
Mission View Elementary School,https://www.schooldigger.com/go/WA/schools/0966001633/school.aspx,Wenatchee School District,https://www.schooldigger.com/go/WA/district/09660/search.aspx,60 Terminal Avenue,Wenatchee,https://www.schooldigger.com/go/WA/city/Wenatchee/search.aspx,98801,Chelan County,(509) 663-5851,KG,5,Yes,No,No,No,447,34.1,13,60.6,0.4,0.2,0.2,70.7,0,0,28.4,15.5
Partnership for Excellence in Alternative Remote Learning,https://www.schooldigger.com/go/WA/schools/0699003353/school.aspx,Quilcene School District,https://www.schooldigger.com/go/WA/district/06990/search.aspx,294715 US Highway 101,Quilcene,https://www.schooldigger.com/go/WA/city/Quilcene/search.aspx,98376,Jefferson County,(360) 765-3363,KG,8,No,No,No,No,415,8.2,50.3,20.5,1.2,0.7,0.7,5.3,0.2,6.5,85.3,15.4
Silver Star Elementary School,https://www.schooldigger.com/go/WA/schools/0270000426/school.aspx,Evergreen School District (Clark),https://www.schooldigger.com/go/WA/district/02700/search.aspx,10500 NE 86th Street,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98662,Clark County,(360) 604-6775,PK,5,Yes,No,No,No,412,32,12.8,55.1,2.7,0,2.2,24.3,2.2,10.9,57.5,15.3
Martin Luther King Elementary,https://www.schooldigger.com/go/WA/schools/0927001576/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,8100 NE 28 St,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98662,Clark County,(360) 313-2200,PK,5,Yes,No,No,No,417,28.5,14.6,70.5,5.3,0,1.2,54.4,4.1,7.2,27.8,15.3
Centennial Elementary School,https://www.schooldigger.com/go/WA/schools/0540002262/school.aspx,Mount Vernon School District,https://www.schooldigger.com/go/WA/district/05400/search.aspx,3100 Martin Rd,Mount Vernon,https://www.schooldigger.com/go/WA/city/Mount+Vernon/search.aspx,98273,Skagit County,(360) 428-6138,KG,5,Yes,No,No,No,405,28,14.4,72.8,0.2,0.7,2.5,64,0.2,2.5,29.9,15.2
Saint Helens Elementary,https://www.schooldigger.com/go/WA/schools/0447000711/school.aspx,Longview School District,https://www.schooldigger.com/go/WA/district/04470/search.aspx,431 27th Avenue,Longview,https://www.schooldigger.com/go/WA/city/Longview/search.aspx,98632,Cowlitz County,(360) 575-7362,KG,5,Yes,No,No,No,288,24.4,11.7,85.8,1,1.7,3.1,36.8,2.8,6.6,47.9,15.1
Kelso Virtual Academy,https://www.schooldigger.com/go/WA/schools/0000303314/school.aspx,Kelso School District,https://www.schooldigger.com/go/WA/district/00003/search.aspx,2001 Allen St,Kelso,https://www.schooldigger.com/go/WA/city/Kelso/search.aspx,98626,Cowlitz County,(360) 501-1959,KG,12,No,No,No,Yes,873,,,49.5,0.8,0.9,0.7,10.4,0.2,5.5,81.4,15.1
Sand Hill Elementary,https://www.schooldigger.com/go/WA/schools/0579002220/school.aspx,North Mason School District,https://www.schooldigger.com/go/WA/district/05790/search.aspx,NE 791 Sand Hill Rd.,Belfair,https://www.schooldigger.com/go/WA/city/Belfair/search.aspx,98528,Mason County,(360) 277-2330,KG,5,Yes,No,No,No,458,30.6,14.9,47.4,0,0.4,0.2,29.5,0.4,6.6,62.9,15.1
Winlock Miller Elementary,https://www.schooldigger.com/go/WA/schools/0993001677/school.aspx,Winlock School District,https://www.schooldigger.com/go/WA/district/09930/search.aspx,405 NW Benton,Winlock,https://www.schooldigger.com/go/WA/city/Winlock/search.aspx,98596,Lewis County,(360) 785-3516,PK,5,Yes,No,No,No,333,20.9,15.8,76.6,0,0.6,0,23.7,0,6,69.1,15.1
Paul Rumburg Elementary,https://www.schooldigger.com/go/WA/schools/0255000375/school.aspx,Entiat School District,https://www.schooldigger.com/go/WA/district/02550/search.aspx,2650 Entiat Way,Entiat,https://www.schooldigger.com/go/WA/city/Entiat/search.aspx,98822,Chelan County,(509) 784-1314,PK,5,Yes,No,No,No,171,10.8,15.7,63.2,0.6,0,0,48.5,0,0,50.9,15.1
Sanislo Elementary School,https://www.schooldigger.com/go/WA/schools/0771001244/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1812 SW Myrtle St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98106,King County,(206) 252-8380,KG,5,Yes,No,No,No,195,16.5,11.7,53.8,18.5,0,16.4,23.1,0.5,13.8,26.7,15
Oakville Elementary,https://www.schooldigger.com/go/WA/schools/0600001858/school.aspx,Oakville School District,https://www.schooldigger.com/go/WA/district/06000/search.aspx,103 School St,Oakville,https://www.schooldigger.com/go/WA/city/Oakville/search.aspx,98568,Grays Harbor County,(360) 273-5946,PK,6,Yes,No,No,No,134,8.4,15.8,67.2,0,27.6,0,11.9,0.7,14.2,45.5,14.9
Dunlap Elementary School,https://www.schooldigger.com/go/WA/schools/0771001161/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,4525 S Cloverdale St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98118,King County,(206) 252-7000,PK,5,Yes,No,No,No,301,26.6,11.3,60.1,36.9,0,27.2,21.3,0.3,12.6,1.7,14.9
Frank Wagner Elementary,https://www.schooldigger.com/go/WA/schools/0513000773/school.aspx,Monroe School District,https://www.schooldigger.com/go/WA/district/05130/search.aspx,115 Dickinson Rd.,Monroe,https://www.schooldigger.com/go/WA/city/Monroe/search.aspx,98272,Snohomish County,(360) 804-3200,PK,5,Yes,No,No,No,518,36.9,14,62.9,1.4,0,1.4,60.4,0.2,2.9,33.8,14.9
Pioneer Elementary School,https://www.schooldigger.com/go/WA/schools/0675002457/school.aspx,Pioneer School District,https://www.schooldigger.com/go/WA/district/06750/search.aspx,110 E Spencer Lake Rd.,Shelton,https://www.schooldigger.com/go/WA/city/Shelton/search.aspx,98584,Mason County,(360) 427-2737,PK,5,Yes,No,No,No,432,32.4,13.3,58.8,0.9,1.4,0.5,14.4,0,7.4,75.5,14.8
Lakeridge Elementary School,https://www.schooldigger.com/go/WA/schools/0723001076/school.aspx,Renton School District,https://www.schooldigger.com/go/WA/district/07230/search.aspx,7400 S 115th St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98178,King County,(425) 204-4100,KG,5,Yes,No,No,No,366,25.3,14.4,73.2,54.4,0.5,13.7,12,1.1,6,11.7,14.8
Kessler Elementary School,https://www.schooldigger.com/go/WA/schools/0447000702/school.aspx,Longview School District,https://www.schooldigger.com/go/WA/district/04470/search.aspx,1902 E Kessler Blvd.,Longview,https://www.schooldigger.com/go/WA/city/Longview/search.aspx,98632,Cowlitz County,(360) 575-7580,KG,5,Yes,No,No,No,256,22,11.5,77,1.2,1.6,2,26.2,1.6,5.9,61.7,14.7
Panther Lake Elementary School,https://www.schooldigger.com/go/WA/schools/0282001767/school.aspx,Federal Way School District,https://www.schooldigger.com/go/WA/district/02820/search.aspx,34424 1st Av S,Federal Way,https://www.schooldigger.com/go/WA/city/Federal+Way/search.aspx,98003,King County,(253) 945-3600,PK,5,Yes,No,No,No,370,25.7,14.3,72.4,21.9,0.3,6.5,37.6,13,8.6,12.2,14.7
Orchards Elementary School,https://www.schooldigger.com/go/WA/schools/0270000423/school.aspx,Evergreen School District (Clark),https://www.schooldigger.com/go/WA/district/02700/search.aspx,11405 NE 69th Street,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98662,Clark County,(360) 604-6975,PK,5,Yes,No,No,No,477,35.4,13.4,69.2,3.8,0.4,3.8,33.5,2.7,11.9,43.8,14.6
Marshall Elementary,https://www.schooldigger.com/go/WA/schools/0486001847/school.aspx,Marysville School District,https://www.schooldigger.com/go/WA/district/04860/search.aspx,4407 116th St NE,Marysville,https://www.schooldigger.com/go/WA/city/Marysville/search.aspx,98271,Snohomish County,(360) 965-1600,PK,5,No,No,No,No,330,25.5,12.9,52.4,1.5,6.7,2.4,23.9,0.9,14.2,50.3,14.5
Washington Elementary,https://www.schooldigger.com/go/WA/schools/0927001587/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,2908 S St,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98663,Clark County,(360) 313-3050,KG,5,Yes,No,No,No,293,22.1,13.2,73.7,4.1,0.3,2,47.1,3.1,7.8,35.5,14.2
Progress Elementary School,https://www.schooldigger.com/go/WA/schools/0111000200/school.aspx,Central Valley School District,https://www.schooldigger.com/go/WA/district/01110/search.aspx,710 N Progress Rd,Spokane Valley,https://www.schooldigger.com/go/WA/city/Spokane+Valley/search.aspx,99037,Spokane County,(509) 558-4500,PK,5,Yes,No,No,No,221,18.5,11.9,53.4,4.1,2.7,2.3,7.7,1.8,5,76.5,14.1
Highlands Elementary School,https://www.schooldigger.com/go/WA/schools/0723001072/school.aspx,Renton School District,https://www.schooldigger.com/go/WA/district/07230/search.aspx,2720 NE 7th St,Renton,https://www.schooldigger.com/go/WA/city/Renton/search.aspx,98056,King County,(425) 204-4600,KG,5,Yes,No,No,No,480,29.6,16.1,64.6,9,0.4,13.8,54.2,0.6,10.6,10.6,14.1
Pacific Beach Elementary School,https://www.schooldigger.com/go/WA/schools/0570000845/school.aspx,North Beach School District No. 64,https://www.schooldigger.com/go/WA/district/05700/search.aspx,11 Fourth Street,Pacific Beach,https://www.schooldigger.com/go/WA/city/Pacific+Beach/search.aspx,98571,Grays Harbor County,(360) 276-4512,PK,5,Yes,No,No,No,142,9.3,15.2,61.3,0.7,27.5,0,12.7,0,24.6,34.5,14
