Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2024-25)
190,University Schools,https://www.schooldigger.com/go/CO/schools/0441001696/school.aspx,GreeleySchool District No. 6,https://www.schooldigger.com/go/CO/district/04410/search.aspx,6525 18th Street,Greeley,https://www.schooldigger.com/go/CO/city/Greeley/search.aspx,80634,Weld County,(970) 330-2221,KG,12,No,Yes,No,No,1784,100.2,17.8,40.80%,0.80%,0.20%,0.80%,43.70%,0.10%,2.60%,51.80%,41
191,Clear Creek High School,https://www.schooldigger.com/go/CO/schools/0300000217/school.aspx,Clear Creek School District No. Re-1,https://www.schooldigger.com/go/CO/district/03000/search.aspx,185 Beaver Brook Canyon Road,Evergreen,https://www.schooldigger.com/go/CO/city/Evergreen/search.aspx,80439,Clear Creek County,(303) 679-4600,9,12,Yes,No,No,No,182,13.2,13.6,31.90%,0.00%,2.70%,1.60%,14.80%,0.00%,6.60%,74.20%,41
192,Del Norte High Junior/Senior High School,https://www.schooldigger.com/go/CO/schools/0330000290/school.aspx,Upper Rio Grande School District C-7,https://www.schooldigger.com/go/CO/district/03300/search.aspx,950 French Street,Del Norte,https://www.schooldigger.com/go/CO/city/Del+Norte/search.aspx,81132,Rio Grande County,(719) 657-4050,7,12,No,No,No,No,173,14.6,11.8,51.40%,0.00%,0.60%,0.00%,59.00%,0.00%,2.30%,38.20%,40.8
193,Hoehne Schools,https://www.schooldigger.com/go/CO/schools/0465000680/school.aspx,Hoehne Reorganized School District No. 3,https://www.schooldigger.com/go/CO/district/04650/search.aspx,19851 County Road 75. 1,Trinidad,https://www.schooldigger.com/go/CO/city/Trinidad/search.aspx,81082,Las Animas County,(719) 846-4457,PK,12,Yes,No,No,No,271,16.5,16.4,37.60%,0.00%,0.00%,1.80%,60.10%,0.00%,0.70%,37.30%,40.3
194,Atlas Preparatory High School,https://www.schooldigger.com/go/CO/schools/0453006425/school.aspx,Harrison School District No. 2,https://www.schooldigger.com/go/CO/district/04530/search.aspx,1628 South Murray Blvd,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80916,El Paso County,(719) 358-7196,9,12,Yes,Yes,No,No,499,30.6,16.2,82.60%,4.00%,0.20%,0.40%,88.60%,0.00%,2.40%,4.40%,40.3
195,Las Animas High School,https://www.schooldigger.com/go/CO/schools/0525000868/school.aspx,Las Animas School District No. Re-1,https://www.schooldigger.com/go/CO/district/05250/search.aspx,300 Grove Avenue,Las Animas,https://www.schooldigger.com/go/CO/city/Las+Animas/search.aspx,81054,Bent County,(719) 456-0211,9,12,Yes,No,No,No,132,10.1,12.9,81.10%,1.50%,0.00%,0.00%,47.70%,0.00%,2.30%,48.50%,40.2
196,Animas High School,https://www.schooldigger.com/go/CO/schools/0002006418/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,22 Osprey Way,Durango,https://www.schooldigger.com/go/CO/city/Durango/search.aspx,81301,La Plata County,(970) 247-2474,9,12,No,Yes,No,No,249,22.7,10.9,26.50%,0.80%,0.40%,0.40%,13.30%,0.00%,4.80%,80.30%,40.1
197,DSST: College View High School,https://www.schooldigger.com/go/CO/schools/0336006658/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,3111 West Dartmouth Avenue,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80236,Denver County,(303) 524-6320,9,12,Yes,Yes,No,No,533,47.2,11.2,85.70%,3.20%,0.20%,5.40%,87.40%,0.20%,0.80%,2.40%,39.8
198,Canon City High School,https://www.schooldigger.com/go/CO/schools/0279000172/school.aspx,Fremont Re-1,https://www.schooldigger.com/go/CO/district/02790/search.aspx,1313 College,Canon City,https://www.schooldigger.com/go/CO/city/Canon+City/search.aspx,81212,Fremont County,(719) 276-5870,9,12,No,No,No,No,936,47,19.9,49.60%,0.40%,0.40%,0.40%,16.60%,0.30%,5.00%,76.80%,39.5
199,Glenwood Springs High School,https://www.schooldigger.com/go/CO/schools/0426000588/school.aspx,Roaring Fork School District No. Re-1,https://www.schooldigger.com/go/CO/district/04260/search.aspx,1521 Grand Avenue,Glenwood Springs,https://www.schooldigger.com/go/CO/city/Glenwood+Springs/search.aspx,81601,Garfield County,(970) 384-5555,9,12,No,No,No,No,1032,55.7,18.5,46.60%,0.30%,0.30%,0.80%,57.80%,0.10%,2.70%,38.00%,39.5
200,Strasburg High School,https://www.schooldigger.com/go/CO/schools/0675001161/school.aspx,Strasburg School District 31J,https://www.schooldigger.com/go/CO/district/06750/search.aspx,56729 East Colorado Avenue,Strasburg,https://www.schooldigger.com/go/CO/city/Strasburg/search.aspx,80136,Adams County,(303) 622-9211,9,12,No,No,No,No,364,16.6,21.8,40.10%,2.20%,0.50%,1.10%,38.20%,0.50%,4.10%,53.30%,39.4
201,Colorado Summit Connections Academy,https://www.schooldigger.com/go/CO/schools/0028206838/school.aspx,Education Reenvisioned BOCES,https://www.schooldigger.com/go/CO/district/00282/search.aspx,8 Inverness Drive E #110,Englewood,https://www.schooldigger.com/go/CO/city/Englewood/search.aspx,80112,Arapahoe County,(303) 794-2302,KG,12,No,No,No,Yes,1245,68.5,18.1,,4.70%,1.20%,1.00%,33.70%,0.60%,6.70%,52.20%,39.1
202,Eagle Valley High School,https://www.schooldigger.com/go/CO/schools/0354000463/school.aspx,Eagle County School District No. Re 50,https://www.schooldigger.com/go/CO/district/03540/search.aspx,641 Valley Road,Gypsum,https://www.schooldigger.com/go/CO/city/Gypsum/search.aspx,81637,Eagle County,(970) 328-8960,9,12,No,No,No,No,980,63.7,15.3,35.70%,0.40%,0.40%,0.30%,53.00%,0.00%,2.40%,43.50%,39
203,Falcon High School,https://www.schooldigger.com/go/CO/schools/0387000507/school.aspx,El Paso County Colorado School District 49,https://www.schooldigger.com/go/CO/district/03870/search.aspx,10255 Lambert Road,Peyton,https://www.schooldigger.com/go/CO/city/Peyton/search.aspx,80831,El Paso County,(719) 495-5522,9,12,No,No,No,No,1172,59,19.8,28.80%,4.50%,0.90%,1.10%,21.20%,0.20%,8.70%,63.50%,39
204,Addenbrooke Classical Academy,https://www.schooldigger.com/go/CO/schools/0480006587/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,3605 S Teller Street,Lakewood,https://www.schooldigger.com/go/CO/city/Lakewood/search.aspx,80235,Jefferson County,(303) 989-1336,9,12,No,Yes,No,No,191,15.5,12.2,25.70%,0.50%,1.00%,3.10%,34.00%,0.00%,4.70%,56.50%,38.9
205,George Washington High School,https://www.schooldigger.com/go/CO/schools/0336000352/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,655 South Monaco Pkwy,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80224,Denver County,(720) 423-8600,9,12,No,No,No,No,1326,64.6,20.5,55.20%,22.50%,1.10%,2.70%,41.30%,0.40%,6.70%,24.40%,38.8
206,Rocky Ford Junior/Senior High School,https://www.schooldigger.com/go/CO/schools/0627001103/school.aspx,Rocky Ford School District No. R2,https://www.schooldigger.com/go/CO/district/06270/search.aspx,100 West Washington,Rocky Ford,https://www.schooldigger.com/go/CO/city/Rocky+Ford/search.aspx,81067,Otero County,(719) 254-7431,7,12,Yes,No,No,No,271,24.2,11.1,77.50%,0.70%,0.40%,0.00%,77.50%,0.00%,0.70%,20.70%,38.3
207,Springfield Junior/Senior High School,https://www.schooldigger.com/go/CO/schools/0663001142/school.aspx,Springfield School District No. Re-4,https://www.schooldigger.com/go/CO/district/06630/search.aspx,389 Tipton Street,Springfield,https://www.schooldigger.com/go/CO/city/Springfield/search.aspx,81073,Baca County,(719) 523-6522,6,12,Yes,No,No,No,128,13.5,9.4,58.60%,0.00%,0.00%,0.00%,7.80%,0.00%,12.50%,79.70%,38.1
208,Hanover Junior-Senior High School,https://www.schooldigger.com/go/CO/schools/0450000661/school.aspx,Hanover School District No. 28,https://www.schooldigger.com/go/CO/district/04500/search.aspx,17050 South Peyton Highway,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80928,El Paso County,(719) 683-2247,6,12,Yes,No,No,No,134,11.3,11.8,64.20%,1.50%,0.70%,0.00%,34.30%,1.50%,3.00%,59.00%,38
209,Englewood High School,https://www.schooldigger.com/go/CO/schools/0378000491/school.aspx,Englewood School District No. 1,https://www.schooldigger.com/go/CO/district/03780/search.aspx,3800 S Logan St,Englewood,https://www.schooldigger.com/go/CO/city/Englewood/search.aspx,80113,Arapahoe County,(303) 806-2200,9,12,No,No,No,No,515,34,15.1,68.00%,4.70%,0.40%,1.00%,48.90%,0.40%,3.70%,41.00%,37.7
210,Haxtun Junior/Senior High School,https://www.schooldigger.com/go/CO/schools/0456000674/school.aspx,Haxtun School District No. Re-2J,https://www.schooldigger.com/go/CO/district/04560/search.aspx,201 West Powell Street,Haxtun,https://www.schooldigger.com/go/CO/city/Haxtun/search.aspx,80731,Phillips County,(970) 774-6111,7,12,No,No,No,No,142,11.6,12.1,32.40%,1.40%,0.00%,0.70%,7.70%,1.40%,0.00%,88.70%,36.7
211,Frontier Charter Academy,https://www.schooldigger.com/go/CO/schools/0441001614/school.aspx,GreeleySchool District No. 6,https://www.schooldigger.com/go/CO/district/04410/search.aspx,2560 West 29th Street,Greeley,https://www.schooldigger.com/go/CO/city/Greeley/search.aspx,80631,Weld County,(970) 330-1780,KG,12,No,Yes,No,No,1432,68.7,20.8,41.30%,1.50%,0.20%,1.90%,36.50%,0.30%,3.70%,55.80%,36.6
212,Gunnison High School,https://www.schooldigger.com/go/CO/schools/0447000656/school.aspx,Gunnison Watershed School District Re1J,https://www.schooldigger.com/go/CO/district/04470/search.aspx,800 West Ohio,Gunnison,https://www.schooldigger.com/go/CO/city/Gunnison/search.aspx,81230,Gunnison County,(970) 641-7700,9,12,No,No,No,No,410,22.8,17.9,40.20%,1.00%,1.00%,0.50%,36.10%,0.00%,1.70%,59.80%,36.3
213,Highland High School,https://www.schooldigger.com/go/CO/schools/0231000050/school.aspx,Weld County School District No. Re-9,https://www.schooldigger.com/go/CO/district/02310/search.aspx,208 West 1st,Ault,https://www.schooldigger.com/go/CO/city/Ault/search.aspx,80610,Weld County,(970) 834-2816,9,12,No,No,No,No,299,21.7,13.7,28.80%,0.70%,0.30%,0.30%,33.40%,0.00%,4.00%,61.20%,35.9
214,Bayfield High School,https://www.schooldigger.com/go/CO/schools/0240000090/school.aspx,Bayfield School District No. 10Jt-R,https://www.schooldigger.com/go/CO/district/02400/search.aspx,800 Co Rd 501,Bayfield,https://www.schooldigger.com/go/CO/city/Bayfield/search.aspx,81122,La Plata County,(970) 884-9521,9,12,No,No,No,No,404,33,12.2,34.40%,0.50%,4.50%,0.20%,19.30%,0.00%,4.20%,71.30%,35.8
215,Custer County High School,https://www.schooldigger.com/go/CO/schools/0720001225/school.aspx,Custer County School District Consolidate 1,https://www.schooldigger.com/go/CO/district/07200/search.aspx,709 Main Street,Westcliffe,https://www.schooldigger.com/go/CO/city/Westcliffe/search.aspx,81252,Custer County,(719) 783-2291,9,12,No,No,No,No,98,7.5,12.9,48.00%,2.00%,2.00%,0.00%,9.20%,0.00%,9.20%,77.60%,35.6
216,Collegiate Academy of Colorado,https://www.schooldigger.com/go/CO/schools/0480001036/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,8420 South Sangre De Cristo Rd,Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80127,Jefferson County,(303) 972-7433,PK,12,No,Yes,No,No,245,27.8,8.7,29.80%,2.00%,0.40%,3.30%,20.00%,0.00%,7.30%,66.90%,35.4
217,Colorado Early Colleges Windsor,https://www.schooldigger.com/go/CO/schools/0002006779/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,7640 Westgate Dr,Windsor,https://www.schooldigger.com/go/CO/city/Windsor/search.aspx,80528,Larimer County,(970) 657-2860,6,12,No,Yes,No,No,196,14.8,13.1,26.00%,0.50%,0.00%,2.00%,16.30%,0.00%,3.10%,78.10%,35.2
218,Miami-Yoder Middle/High School,https://www.schooldigger.com/go/CO/schools/0567000972/school.aspx,Miami-Yoder Joint District No. 60,https://www.schooldigger.com/go/CO/district/05670/search.aspx,420 South Rush Road,Rush,https://www.schooldigger.com/go/CO/city/Rush/search.aspx,80833,El Paso County,(719) 478-2186,6,12,Yes,No,No,No,184,11.6,15.8,62.50%,1.10%,0.00%,0.00%,33.20%,0.00%,6.50%,59.20%,34.8
219,Wiley Junior-Senior High School,https://www.schooldigger.com/go/CO/schools/0732001261/school.aspx,Wiley School District No. Re-13 Jt,https://www.schooldigger.com/go/CO/district/07320/search.aspx,510 Ward Street,Wiley,https://www.schooldigger.com/go/CO/city/Wiley/search.aspx,81092,Prowers County,(719) 829-4806,6,12,No,No,No,No,115,10.3,11.1,44.30%,0.00%,0.90%,0.00%,32.20%,0.00%,0.90%,66.10%,34.8
220,Sierra Grande K-12 School,https://www.schooldigger.com/go/CO/schools/0414000572/school.aspx,Sierra Grande School District No. R-30,https://www.schooldigger.com/go/CO/district/04140/search.aspx,17523 East Highway 160,Blanca,https://www.schooldigger.com/go/CO/city/Blanca/search.aspx,81123,Costilla County,(719) 379-3257,PK,12,Yes,No,No,No,307,14.1,21.7,79.20%,0.70%,0.30%,0.00%,79.50%,0.00%,3.90%,15.60%,34.4
221,Denver Online,https://www.schooldigger.com/go/CO/schools/0336001955/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,451 S. Tejon St.,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80223,Denver County,(720) 424-8281,6,12,No,No,No,Yes,611,32.2,18.9,65.60%,14.20%,0.70%,3.60%,45.80%,1.60%,7.50%,24.40%,34.1
222,Widefield High School,https://www.schooldigger.com/go/CO/schools/0648001129/school.aspx,School District No. 3,https://www.schooldigger.com/go/CO/district/06480/search.aspx,615 Widefield Drive,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80911,El Paso County,(719) 391-3200,9,12,No,No,No,No,1193,70.2,16.9,39.20%,10.10%,0.40%,1.80%,34.90%,1.00%,11.10%,40.70%,34
223,Basalt High School,https://www.schooldigger.com/go/CO/schools/0426000584/school.aspx,Roaring Fork School District No. Re-1,https://www.schooldigger.com/go/CO/district/04260/search.aspx,600 Southside Drive,Basalt,https://www.schooldigger.com/go/CO/city/Basalt/search.aspx,81621,Pitkin County,(970) 384-5959,9,12,No,No,No,No,414,25.2,16.3,47.30%,0.00%,0.00%,0.20%,66.20%,0.00%,1.70%,31.90%,33
224,Rangeview High School,https://www.schooldigger.com/go/CO/schools/0234001389/school.aspx,Aurora Joint District No. 28,https://www.schooldigger.com/go/CO/district/02340/search.aspx,17599 East Iliff Ave,Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80013,Arapahoe County,(303) 695-6848,9,12,No,No,No,No,2078,102.4,20.2,69.60%,20.50%,0.40%,4.60%,49.10%,0.90%,7.90%,16.60%,32.1
225,Olathe Middle/High School,https://www.schooldigger.com/go/CO/schools/0579000998/school.aspx,Montrose County School District Re-1J,https://www.schooldigger.com/go/CO/district/05790/search.aspx,410 Highway 50 Business Loop,Olathe,https://www.schooldigger.com/go/CO/city/Olathe/search.aspx,81425,Montrose County,(970) 252-7950,6,12,No,No,No,No,499,36.6,13.6,60.30%,0.20%,1.80%,0.40%,50.30%,0.00%,1.60%,45.70%,32.1
226,Mesa Ridge High School,https://www.schooldigger.com/go/CO/schools/0648001588/school.aspx,School District No. 3,https://www.schooldigger.com/go/CO/district/06480/search.aspx,6070 Mesa Ridge Parkway,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80911,El Paso County,(719) 391-3600,9,12,No,No,No,No,1304,69.1,18.8,35.90%,12.10%,1.20%,1.40%,33.70%,1.50%,11.50%,38.70%,31.7
227,Denver Center for International Studies,https://www.schooldigger.com/go/CO/schools/0336001917/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,574 West 6th Ave,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80204,Denver County,(720) 423-9000,6,12,Yes,No,Yes,No,354,26,13.5,71.50%,3.70%,4.00%,2.30%,72.00%,0.30%,5.60%,11.60%,31.4
228,Battle Mountain High School,https://www.schooldigger.com/go/CO/schools/0354000461/school.aspx,Eagle County School District No. Re 50,https://www.schooldigger.com/go/CO/district/03540/search.aspx,151 Miller Ranch Road,Edwards,https://www.schooldigger.com/go/CO/city/Edwards/search.aspx,81632,Eagle County,(970) 328-2930,9,12,No,No,No,No,916,57.4,15.9,47.20%,0.90%,0.30%,0.80%,59.50%,0.00%,1.30%,37.20%,31.3
229,Moffat County High School,https://www.schooldigger.com/go/CO/schools/0573000981/school.aspx,Moffat County School District RE: No. 1,https://www.schooldigger.com/go/CO/district/05730/search.aspx,900 Finley Lane,Craig,https://www.schooldigger.com/go/CO/city/Craig/search.aspx,81625,Moffat County,(970) 824-7036,9,12,No,No,No,No,481,33.2,14.4,44.90%,1.00%,0.40%,0.40%,29.90%,0.00%,1.90%,66.30%,31.3
230,West Grand High School,https://www.schooldigger.com/go/CO/schools/0507000830/school.aspx,West Grand School District No. 1,https://www.schooldigger.com/go/CO/district/05070/search.aspx,208 12th Street,Kremmling,https://www.schooldigger.com/go/CO/city/Kremmling/search.aspx,80459,Grand County,(970) 724-3425,9,12,No,No,No,No,123,11.7,10.5,41.50%,0.80%,0.80%,0.00%,30.10%,0.00%,3.30%,65.00%,30.5
231,Durango Big Picture High School,https://www.schooldigger.com/go/CO/schools/0348006597/school.aspx,Durango School District No. 9-R,https://www.schooldigger.com/go/CO/district/03480/search.aspx,150 Tech Center Dr,Durango,https://www.schooldigger.com/go/CO/city/Durango/search.aspx,81301,La Plata County,(970) 259-0203,9,12,No,No,No,No,99,11.1,8.9,56.60%,1.00%,8.10%,2.00%,25.30%,0.00%,5.10%,57.60%,30.4
232,Wiggins High School,https://www.schooldigger.com/go/CO/schools/0729001258/school.aspx,School District No. Re-50 Wiggins,https://www.schooldigger.com/go/CO/district/07290/search.aspx,201 Tiger Way,Wiggins,https://www.schooldigger.com/go/CO/city/Wiggins/search.aspx,80654,Morgan County,(970) 483-7761,9,12,No,No,No,No,236,16.7,14.1,39.80%,0.00%,0.00%,0.00%,33.50%,0.00%,4.20%,62.30%,30.2
233,Hayden High School,https://www.schooldigger.com/go/CO/schools/0459001348/school.aspx,Hayden School District No. Re 1,https://www.schooldigger.com/go/CO/district/04590/search.aspx,300 Breeze Basin Blvd,Hayden,https://www.schooldigger.com/go/CO/city/Hayden/search.aspx,81639,Routt County,(970) 276-3761,9,12,No,No,No,No,119,7.9,14.9,38.70%,0.80%,0.00%,0.80%,19.30%,0.80%,0.00%,78.20%,29.9
234,Riverdale Ridge High School,https://www.schooldigger.com/go/CO/schools/0258006738/school.aspx,School District 27J,https://www.schooldigger.com/go/CO/district/02580/search.aspx,13380 Yosemite Street,Thornton,https://www.schooldigger.com/go/CO/city/Thornton/search.aspx,80602,Adams County,(303) 655-6800,9,12,No,No,No,No,1784,82.2,21.7,39.20%,2.00%,0.30%,5.90%,44.50%,0.00%,4.90%,42.40%,29.5
235,Estes Park High School,https://www.schooldigger.com/go/CO/schools/0381000500/school.aspx,Estes Park School District R-3,https://www.schooldigger.com/go/CO/district/03810/search.aspx,1600 Manford Avenue,Estes Park,https://www.schooldigger.com/go/CO/city/Estes+Park/search.aspx,80517,Larimer County,(970) 586-5321,9,12,No,No,No,No,288,17.9,16,39.20%,0.30%,0.30%,1.00%,36.80%,0.00%,1.00%,60.40%,29.4
236,Vista Peak 9-12 Preparatory,https://www.schooldigger.com/go/CO/schools/0234006451/school.aspx,Aurora Joint District No. 28,https://www.schooldigger.com/go/CO/district/02340/search.aspx,24500  East 6th Avenue,Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80018,Arapahoe County,(303) 340-0121,9,12,No,No,No,No,2045,96.5,21.1,62.10%,18.90%,0.30%,5.50%,50.30%,0.70%,6.70%,17.60%,29.1
237,Rocky Mountain Prep SMART,https://www.schooldigger.com/go/CO/schools/0336006543/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,3201 W. Arizona Ave,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80219,Denver County,(303) 962-9880,9,12,Yes,Yes,No,No,604,58.4,10.3,92.20%,1.00%,0.00%,1.70%,93.90%,1.20%,0.30%,2.00%,28.7
238,Sand Creek High School,https://www.schooldigger.com/go/CO/schools/0387001594/school.aspx,El Paso County Colorado School District 49,https://www.schooldigger.com/go/CO/district/03870/search.aspx,7005 North Carefree Circle,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80922,El Paso County,(719) 495-1160,9,12,No,No,No,No,1426,68.2,20.8,50.70%,8.20%,0.60%,2.90%,35.80%,0.50%,13.00%,39.10%,28
239,Mountain Range High School,https://www.schooldigger.com/go/CO/schools/0690001996/school.aspx,Adams 12 Five Star Schools,https://www.schooldigger.com/go/CO/district/06900/search.aspx,12500 Huron Street,Westminster,https://www.schooldigger.com/go/CO/city/Westminster/search.aspx,80234,Adams County,(720) 972-6300,9,12,No,No,No,No,1788,86.2,20.7,53.50%,1.70%,0.60%,5.80%,51.20%,0.10%,5.00%,35.50%,27.9
240,Lone Star Undivided High School,https://www.schooldigger.com/go/CO/schools/0534000895/school.aspx,Lone Star School District No. 101,https://www.schooldigger.com/go/CO/district/05340/search.aspx,44940 County Road 54,Otis,https://www.schooldigger.com/go/CO/city/Otis/search.aspx,80743,Washington County,(970) 848-2778,9,12,No,No,No,No,44,3,14.4,56.80%,0.00%,0.00%,0.00%,27.30%,0.00%,0.00%,72.70%,27.5
241,DSST: Cole High School,https://www.schooldigger.com/go/CO/schools/0336006636/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,3240 Humboldt Street,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80205,Denver County,(720) 524-6354,9,12,Yes,Yes,No,No,287,28.7,9.9,82.20%,14.30%,0.70%,0.30%,79.10%,0.30%,0.70%,3.80%,27.5
242,Yuma High School,https://www.schooldigger.com/go/CO/schools/0001601821/school.aspx,Yuma 1 School District,https://www.schooldigger.com/go/CO/district/00016/search.aspx,1000 South Albany,Yuma,https://www.schooldigger.com/go/CO/city/Yuma/search.aspx,80759,Yuma County,(970) 848-5488,9,12,Yes,No,No,No,228,17.7,12.8,64.00%,0.00%,0.00%,0.00%,62.70%,0.00%,0.00%,37.30%,27.4
243,Doherty High School,https://www.schooldigger.com/go/CO/schools/0306000268/school.aspx,Colorado Springs School District No. 11,https://www.schooldigger.com/go/CO/district/03060/search.aspx,4515 Barnes Road,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80917,El Paso County,(719) 328-6400,9,12,No,No,No,No,1715,83.2,20.6,50.60%,6.10%,0.20%,1.80%,32.40%,0.70%,10.50%,48.20%,27.4
244,Pomona Junior/Senior High School,https://www.schooldigger.com/go/CO/schools/0480000775/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,8101 West Pomona Drive,Arvada,https://www.schooldigger.com/go/CO/city/Arvada/search.aspx,80005,Jefferson County,(303) 982-0710,6,12,No,No,No,No,1252,71.1,17.5,47.40%,1.30%,1.10%,2.40%,41.50%,0.20%,3.90%,49.50%,27.1
245,Colorado's Finest High School of Choice,https://www.schooldigger.com/go/CO/schools/0378001310/school.aspx,Englewood School District No. 1,https://www.schooldigger.com/go/CO/district/03780/search.aspx,300 W Chenango,Englewood,https://www.schooldigger.com/go/CO/city/Englewood/search.aspx,80110,Arapahoe County,(303) 934-5786,9,12,No,No,No,No,216,18.7,11.5,57.40%,3.20%,0.90%,0.50%,35.20%,0.00%,4.60%,55.60%,27
246,Grand Valley High School,https://www.schooldigger.com/go/CO/schools/0438000631/school.aspx,Grand Valley School District No. 16,https://www.schooldigger.com/go/CO/district/04380/search.aspx,800 Cardinal Way,Parachute,https://www.schooldigger.com/go/CO/city/Parachute/search.aspx,81635,Garfield County,(970) 285-5705,9,12,No,No,No,No,293,19.9,14.6,60.80%,0.00%,0.00%,0.30%,46.10%,0.30%,3.40%,49.80%,25.6
247,Colorado Military Academy,https://www.schooldigger.com/go/CO/schools/0002006708/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,360 Command View,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80915,El Paso County,(719) 576-9838,PK,12,Yes,Yes,No,No,618,35.8,17.2,48.10%,10.50%,0.50%,3.40%,41.40%,1.80%,9.20%,33.20%,24.7
248,Brush High School,https://www.schooldigger.com/go/CO/schools/0261000154/school.aspx,School District No. Re-2 Brush,https://www.schooldigger.com/go/CO/district/02610/search.aspx,1600 Mill Street,Brush,https://www.schooldigger.com/go/CO/city/Brush/search.aspx,80723,Morgan County,(970) 842-5171,9,12,No,No,No,No,350,24.8,14,54.90%,0.90%,0.00%,0.30%,51.40%,0.30%,0.60%,46.60%,24.3
249,Skyline High School,https://www.schooldigger.com/go/CO/schools/0537001284/school.aspx,St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,600 East Mountain View,Longmont,https://www.schooldigger.com/go/CO/city/Longmont/search.aspx,80504,Boulder County,(720) 494-3741,9,12,No,No,No,No,1082,58.5,18.4,64.10%,1.20%,0.60%,1.00%,69.00%,0.10%,3.00%,25.10%,24
250,Rocky Mountain Prep RISE,https://www.schooldigger.com/go/CO/schools/0336006689/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,18250 East 51st Avenue,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80249,Denver County,(720) 485-6393,9,12,Yes,Yes,No,No,586,46.2,12.6,77.80%,16.00%,0.50%,5.80%,66.90%,3.20%,2.20%,4.90%,23.9
251,Mancos High School,https://www.schooldigger.com/go/CO/schools/0546000944/school.aspx,Mancos School District Re-6,https://www.schooldigger.com/go/CO/district/05460/search.aspx,355 West Grand Avenue,Mancos,https://www.schooldigger.com/go/CO/city/Mancos/search.aspx,81328,Montezuma County,(970) 533-7746,9,12,No,No,No,No,142,9.4,15,29.60%,0.00%,5.60%,0.70%,16.20%,0.00%,1.40%,76.10%,23.9
252,Rangely Junior/Senior High School,https://www.schooldigger.com/go/CO/schools/0618001088/school.aspx,Rangely School District RE4,https://www.schooldigger.com/go/CO/district/06180/search.aspx,234 Panther Way,Rangely,https://www.schooldigger.com/go/CO/city/Rangely/search.aspx,81648,Rio Blanco County,(970) 675-2253,6,12,No,No,No,No,249,19.3,12.8,42.20%,0.00%,1.20%,0.00%,11.60%,0.00%,3.60%,83.50%,23.6
253,Academy High School,https://www.schooldigger.com/go/CO/schools/0555001872/school.aspx,Mapleton School District No. 1,https://www.schooldigger.com/go/CO/district/05550/search.aspx,8970 York St,Thornton,https://www.schooldigger.com/go/CO/city/Thornton/search.aspx,80229,Adams County,(303) 853-1900,9,12,No,No,No,No,399,22.5,17.7,74.40%,1.50%,0.00%,2.30%,86.00%,0.00%,1.80%,8.50%,23.5
