School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent of  Unemployment,Percent Parents with Masters and above education,Percent parents with less than High School education,Percent Home Incomes with less than Median income,Home Prices Ranking,Community Health Ranking,Standard Score
Kellyville High School,https://www.schooldigger.com/go/OK/schools/1617000754/school.aspx,Kellyville,https://www.schooldigger.com/go/OK/district/16170/search.aspx,14959 Maple Drive,Kellyville,https://www.schooldigger.com/go/OK/city/Kellyville/search.aspx,74039,Creek County,(918) 247-6133,9,12,No,No,(n/a),No,265,14.7,17.9,41.1,0.8,19.2,0,5.7,0,12.5,61.9,32
Salina High School,https://www.schooldigger.com/go/OK/schools/2673002075/school.aspx,Salina,https://www.schooldigger.com/go/OK/district/26730/search.aspx,910 North Saltwell,Salina,https://www.schooldigger.com/go/OK/city/Salina/search.aspx,74365,Mayes County,(918) 434-5347,9,12,No,No,(n/a),No,235,17.9,13,54.5,0.4,58.7,0.4,2.1,0,5.1,33.2,31.9
Empire High School,https://www.schooldigger.com/go/OK/schools/1089029761/school.aspx,Empire,https://www.schooldigger.com/go/OK/district/10890/search.aspx,276803 E  1760 Road,Duncan,https://www.schooldigger.com/go/OK/city/Duncan/search.aspx,73533,Stephens County,(580) 255-7515,9,12,No,No,(n/a),No,148,10,14.7,49.3,0,7.4,0,12.2,0,12.8,67.6,31.8
Chickasha High School,https://www.schooldigger.com/go/OK/schools/0756000301/school.aspx,Chickasha,https://www.schooldigger.com/go/OK/district/07560/search.aspx,101 John P  Cowen,Chickasha,https://www.schooldigger.com/go/OK/city/Chickasha/search.aspx,73018,Grady County,(405) 222-6550,9,12,Yes,No,(n/a),No,624,40.2,15.5,71,12.7,9.6,0.6,14.1,0,6.6,56.4,31.2
Epic Blended Charter Okc High School,https://www.schooldigger.com/go/OK/schools/0080002866/school.aspx,Epic Blended Learning Charter,https://www.schooldigger.com/go/OK/district/00800/search.aspx,1900 NW Expy Floor R3,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73118,Oklahoma County,(405) 749-4550,9,12,Yes,Yes,(n/a),Yes,4086,11.1,365.1,64.2,17.1,2.2,0.6,20.8,0.1,15.8,43.4,30.6
Allen High School,https://www.schooldigger.com/go/OK/schools/0276000025/school.aspx,Allen,https://www.schooldigger.com/go/OK/district/02760/search.aspx,109 N  Denver,Allen,https://www.schooldigger.com/go/OK/city/Allen/search.aspx,74825,Pontotoc County,(580) 857-2417,9,12,No,No,(n/a),No,139,10.2,13.5,77.7,0.7,25.2,0,7.9,0,7.2,59,30.5
Woodward High School,https://www.schooldigger.com/go/OK/schools/3318029838/school.aspx,Woodward,https://www.schooldigger.com/go/OK/district/33180/search.aspx,2406 13th Street,Woodward,https://www.schooldigger.com/go/OK/city/Woodward/search.aspx,73802,Woodward County,(580) 256-5329,9,12,No,No,(n/a),No,689,43,16,39.5,2.2,4.4,1.3,25.4,0.4,1,65.3,30.4
Wynnewood High School,https://www.schooldigger.com/go/OK/schools/3330001834/school.aspx,Wynnewood,https://www.schooldigger.com/go/OK/district/33300/search.aspx,702 E Robert S Kerr Blvd,Wynnewood,https://www.schooldigger.com/go/OK/city/Wynnewood/search.aspx,73098,Garvin County,(405) 665-2045,9,12,No,No,(n/a),No,198,14.3,13.8,48,3,12.6,0,10.1,0,14.6,59.6,29.8
McLoud High School,https://www.schooldigger.com/go/OK/schools/1956000932/school.aspx,McLoud,https://www.schooldigger.com/go/OK/district/19560/search.aspx,1100 Seikel,McLoud,https://www.schooldigger.com/go/OK/city/McLoud/search.aspx,74851,Pottawatomie County,(405) 964-3314,9,12,No,No,(n/a),No,455,31.8,14.3,65.9,2,21.3,0.2,9.5,0,9,58,29.6
Velma-Alma High School,https://www.schooldigger.com/go/OK/schools/3102029760/school.aspx,Velma-Alma,https://www.schooldigger.com/go/OK/district/31020/search.aspx,901 Main Street,Velma,https://www.schooldigger.com/go/OK/city/Velma/search.aspx,73491,Stephens County,(580) 203-3701,9,12,Yes,No,(n/a),No,129,10.5,12.2,44.2,0,0.8,0,7,0,18.6,73.6,29.5
Hinton High School,https://www.schooldigger.com/go/OK/schools/1461000685/school.aspx,Hinton,https://www.schooldigger.com/go/OK/district/14610/search.aspx,708 N  Broadway,Hinton,https://www.schooldigger.com/go/OK/city/Hinton/search.aspx,73047,Caddo County,(405) 542-3235,9,12,No,No,(n/a),No,203,15.7,12.9,61.1,0.5,7.4,0.5,18.7,0,4.9,68,29.4
Wagoner High School,https://www.schooldigger.com/go/OK/schools/3135001737/school.aspx,Wagoner,https://www.schooldigger.com/go/OK/district/31350/search.aspx,300 Bulldog Circle,Wagoner,https://www.schooldigger.com/go/OK/city/Wagoner/search.aspx,74467,Wagoner County,(918) 485-5553,9,12,Yes,No,(n/a),No,602,40.6,14.8,65,3.5,27.7,0.2,6,0,18.3,44.4,29.2
Catoosa High School,https://www.schooldigger.com/go/OK/schools/0687000270/school.aspx,Catoosa,https://www.schooldigger.com/go/OK/district/06870/search.aspx,2000 South Cherokee Street,Catoosa,https://www.schooldigger.com/go/OK/city/Catoosa/search.aspx,74015,Rogers County,(918) 266-8619,9,12,No,No,(n/a),No,543,35.4,15.3,70.2,1.7,19.9,2.6,19.7,0,8.7,47.5,29.1
Keys High School,https://www.schooldigger.com/go/OK/schools/0003302300/school.aspx,Keys,https://www.schooldigger.com/go/OK/district/00033/search.aspx,26622 South 520 Road,Park Hill,https://www.schooldigger.com/go/OK/city/Park+Hill/search.aspx,74451,Cherokee County,(918) 458-1835,9,12,No,No,(n/a),No,262,19.6,13.3,62.2,0.4,44.7,0,5,0,20.2,29.8,29
Chouteau-Mazie High School,https://www.schooldigger.com/go/OK/schools/0767000317/school.aspx,Chouteau-Mazie,https://www.schooldigger.com/go/OK/district/07670/search.aspx,521 North Mccracken,Chouteau,https://www.schooldigger.com/go/OK/city/Chouteau/search.aspx,74337,Mayes County,(918) 476-5912,9,12,Yes,No,(n/a),No,204,19.1,10.6,63.7,0.5,28.4,0.5,2.9,0,21.1,46.6,29
Henryetta High School,https://www.schooldigger.com/go/OK/schools/1437000680/school.aspx,Henryetta,https://www.schooldigger.com/go/OK/district/14370/search.aspx,1801 Troy Aikman Dr,Henryetta,https://www.schooldigger.com/go/OK/city/Henryetta/search.aspx,74437,Okmulgee County,(918) 652-6571,9,12,No,No,(n/a),No,321,21.2,15.1,53,0.6,21.5,0.3,5.3,0,15.3,57,28.2
Caney Valley High School,https://www.schooldigger.com/go/OK/schools/2547001357/school.aspx,Caney Valley,https://www.schooldigger.com/go/OK/district/25470/search.aspx,696 Wyandotte Ave,Ramona,https://www.schooldigger.com/go/OK/city/Ramona/search.aspx,74061,Washington County,(918) 536-3425,9,12,No,No,(n/a),No,222,16.5,13.4,49.1,0.5,35.6,2.3,5,0,5.9,50.9,28.1
Putnam City High School,https://www.schooldigger.com/go/OK/schools/2529001342/school.aspx,Putnam City,https://www.schooldigger.com/go/OK/district/25290/search.aspx,5300 Northwest 50th Street,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73122,Oklahoma County,(405) 789-4350,9,12,Yes,No,(n/a),No,1896,107.3,17.6,68.4,26.7,2.3,4.6,33.3,0.2,8,25,27.7
Wilson High School,https://www.schooldigger.com/go/OK/schools/3294001816/school.aspx,Wilson,https://www.schooldigger.com/go/OK/district/32940/search.aspx,1860 Hewitt Road,Wilson,https://www.schooldigger.com/go/OK/city/Wilson/search.aspx,73463,Carter County,(580) 668-2306,9,12,No,No,(n/a),No,147,11,13.2,56.5,1.4,23.1,0,0,0.7,1.4,73.5,27.6
Sasakwa High School,https://www.schooldigger.com/go/OK/schools/2694001427/school.aspx,Sasakwa,https://www.schooldigger.com/go/OK/district/26940/search.aspx,106 North Olive,Sasakwa,https://www.schooldigger.com/go/OK/city/Sasakwa/search.aspx,74867,Seminole County,(405) 941-3250,9,12,No,No,(n/a),No,75,6.8,10.9,97.3,0,50.7,0,4,0,9.3,36,27.5
Cyril High School,https://www.schooldigger.com/go/OK/schools/0930029624/school.aspx,Cyril,https://www.schooldigger.com/go/OK/district/09300/search.aspx,326 W  Windle Ave,Cyril,https://www.schooldigger.com/go/OK/city/Cyril/search.aspx,73029,Caddo County,(580) 464-2272,9,12,No,No,(n/a),No,94,7.3,12.7,41.5,1.1,23.4,0,4.3,0,4.3,67,27.3
Ripley High School,https://www.schooldigger.com/go/OK/schools/2595001378/school.aspx,Ripley,https://www.schooldigger.com/go/OK/district/25950/search.aspx,403 E  Cook ST,Ripley,https://www.schooldigger.com/go/OK/city/Ripley/search.aspx,74062,Payne County,(918) 372-4245,9,12,Yes,No,(n/a),No,142,9.3,15.2,59.2,0,38.7,0,4.9,0,19.7,36.6,27
Commerce High School,https://www.schooldigger.com/go/OK/schools/0849000359/school.aspx,Commerce,https://www.schooldigger.com/go/OK/district/08490/search.aspx,420 Doug Furnas Blvd,Commerce,https://www.schooldigger.com/go/OK/city/Commerce/search.aspx,74339,Ottawa County,(918) 675-4343,9,12,No,No,(n/a),No,203,15.8,12.7,87.7,0,19.2,0,30.5,0.5,10.3,39.4,27
Muskogee High School,https://www.schooldigger.com/go/OK/schools/2097001032/school.aspx,Muskogee,https://www.schooldigger.com/go/OK/district/20970/search.aspx,3200 East Shawnee Rd,Muskogee,https://www.schooldigger.com/go/OK/city/Muskogee/search.aspx,74403,Muskogee County,(918) 684-3750,10,12,Yes,No,(n/a),No,1362,80.1,16.9,72.8,18.9,15.9,1,17.8,0,19.3,27,27
Colcord High School,https://www.schooldigger.com/go/OK/schools/0825029663/school.aspx,Colcord,https://www.schooldigger.com/go/OK/district/08250/search.aspx,163 South Colcord,Colcord,https://www.schooldigger.com/go/OK/city/Colcord/search.aspx,74338,Delaware County,(918) 326-4107,9,12,No,No,(n/a),No,189,16.3,11.5,69.8,0.5,36,1.6,7.4,0.5,17.5,36.5,26.9
Heavener High School,https://www.schooldigger.com/go/OK/schools/1416000668/school.aspx,Heavener,https://www.schooldigger.com/go/OK/district/14160/search.aspx,East 4th and G Street,Heavener,https://www.schooldigger.com/go/OK/city/Heavener/search.aspx,74937,Le Flore County,(918) 653-4307,9,12,Yes,No,(n/a),No,308,23.3,13.1,66.6,0.6,26.9,0.3,39.3,0,0.6,32.1,26.7
Dove Science Academy Tulsa High School,https://www.schooldigger.com/go/OK/schools/0075302851/school.aspx,Dove Schools Of Tulsa,https://www.schooldigger.com/go/OK/district/00753/search.aspx,4115 S 100th E Ave,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74146,Tulsa County,(918) 576-6719,9,12,Yes,Yes,(n/a),No,289,13,22.2,83,9.7,1.4,1,68.5,0.3,2.8,16.3,26.3
Dickson High School,https://www.schooldigger.com/go/OK/schools/0991000430/school.aspx,Dickson,https://www.schooldigger.com/go/OK/district/09910/search.aspx,4762 State Highway 199,Ardmore,https://www.schooldigger.com/go/OK/city/Ardmore/search.aspx,73401,Carter County,(580) 226-0633,9,12,Yes,No,(n/a),No,363,18,20,46.6,0.6,17.9,0.8,6.9,0,12.9,60.9,26.3
Jay High School,https://www.schooldigger.com/go/OK/schools/1569000736/school.aspx,Jay,https://www.schooldigger.com/go/OK/district/15690/search.aspx,386 East Monroe,Jay,https://www.schooldigger.com/go/OK/city/Jay/search.aspx,74346,Delaware County,(918) 253-4466,9,12,No,No,(n/a),No,378,23.3,16.2,75.9,0,36.2,6.1,11.9,0,14.6,31.2,26.2
Morris High School,https://www.schooldigger.com/go/OK/schools/2031001008/school.aspx,Morris,https://www.schooldigger.com/go/OK/district/20310/search.aspx,307 South 6th Street,Morris,https://www.schooldigger.com/go/OK/city/Morris/search.aspx,74445,Okmulgee County,(918) 733-9072,9,12,No,No,(n/a),No,275,19.7,13.9,51.6,3.3,27.3,0,4.4,0,13.1,52,26.1
Kansas High School,https://www.schooldigger.com/go/OK/schools/1599029662/school.aspx,Kansas,https://www.schooldigger.com/go/OK/district/15990/search.aspx,700 N Wood Ave,Kansas,https://www.schooldigger.com/go/OK/city/Kansas/search.aspx,74347,Delaware County,(918) 868-3308,9,12,No,No,(n/a),No,292,20.4,14.2,84.2,1.4,55.8,2.4,1.7,0,3.8,34.9,26
Miami High School,https://www.schooldigger.com/go/OK/schools/1986000942/school.aspx,Miami,https://www.schooldigger.com/go/OK/district/19860/search.aspx,2000 East Central Avenue,Miami,https://www.schooldigger.com/go/OK/city/Miami/search.aspx,74354,Ottawa County,(918) 542-4421,10,12,No,No,(n/a),No,556,37.1,14.9,70.5,0.9,14.6,1.8,9.9,4.9,23.7,44.2,25.8
Mangum High School,https://www.schooldigger.com/go/OK/schools/1878000890/school.aspx,Mangum,https://www.schooldigger.com/go/OK/district/18780/search.aspx,301 North Oklahoma Avenue,Mangum,https://www.schooldigger.com/go/OK/city/Mangum/search.aspx,73554,Greer County,(580) 782-3343,9,12,Yes,No,(n/a),No,183,17.8,10.2,68.3,4.9,0,0,22.4,0,4.9,67.8,25.7
Locust Grove High School,https://www.schooldigger.com/go/OK/schools/1800000867/school.aspx,Locust Grove,https://www.schooldigger.com/go/OK/district/18000/search.aspx,421 N Broadway,Locust Grove,https://www.schooldigger.com/go/OK/city/Locust+Grove/search.aspx,74352,Mayes County,(918) 803-4303,9,12,Yes,No,(n/a),No,417,30,13.9,68.8,0.5,46.8,0.5,3.1,0,14.6,34.5,25.2
Lindsay High School,https://www.schooldigger.com/go/OK/schools/1785000863/school.aspx,Lindsay,https://www.schooldigger.com/go/OK/district/17850/search.aspx,302 SW 8th,Lindsay,https://www.schooldigger.com/go/OK/city/Lindsay/search.aspx,73052,Garvin County,(405) 756-3132,9,12,No,No,(n/a),No,343,22.2,15.3,51.9,0,19.2,0,8.5,0,2.6,69.7,25
Beggs High School,https://www.schooldigger.com/go/OK/schools/0381000119/school.aspx,Beggs,https://www.schooldigger.com/go/OK/district/03810/search.aspx,1201 West Ninth Street,Beggs,https://www.schooldigger.com/go/OK/city/Beggs/search.aspx,74421,Okmulgee County,(918) 267-3625,9,12,Yes,No,(n/a),No,302,17.3,17.3,60.9,7,17.2,0,5.3,0.3,19.2,51,24.7
Union City High School,https://www.schooldigger.com/go/OK/schools/3063001707/school.aspx,Union City,https://www.schooldigger.com/go/OK/district/30630/search.aspx,105 W  Division,Union City,https://www.schooldigger.com/go/OK/city/Union+City/search.aspx,73090,Canadian County,(405) 483-5326,9,12,No,No,(n/a),No,106,7.1,14.9,38.7,0,2.8,0,8.5,0,7.5,81.1,24.6
Checotah High School,https://www.schooldigger.com/go/OK/schools/0735000290/school.aspx,Checotah,https://www.schooldigger.com/go/OK/district/07350/search.aspx,491 W Paul Carr Drive,Checotah,https://www.schooldigger.com/go/OK/city/Checotah/search.aspx,74426,McIntosh County,(918) 473-2239,9,12,No,No,(n/a),No,365,27.8,13,71,2.7,37.5,0,1.1,0,8.5,50.1,24.6
Gore High School,https://www.schooldigger.com/go/OK/schools/1290002202/school.aspx,Gore,https://www.schooldigger.com/go/OK/district/12900/search.aspx,1200 North Highway 10,Gore,https://www.schooldigger.com/go/OK/city/Gore/search.aspx,74435,Sequoyah County,(918) 489-5587,9,12,No,No,(n/a),No,146,12.2,11.8,56.8,0.7,54.8,0,6.8,1.4,4.1,32.2,24.5
Liberty High School,https://www.schooldigger.com/go/OK/schools/1776000859/school.aspx,Liberty,https://www.schooldigger.com/go/OK/district/17760/search.aspx,2727 East 201st Street South,Mounds,https://www.schooldigger.com/go/OK/city/Mounds/search.aspx,74047,Tulsa County,(918) 366-8784,10,12,No,No,(n/a),No,129,10.6,12.1,78.3,0.8,26.4,0,13.2,0,3.1,56.6,24.3
Bray-Doyle High School,https://www.schooldigger.com/go/OK/schools/0534000190/school.aspx,Bray-Doyle,https://www.schooldigger.com/go/OK/district/05340/search.aspx,1205 South Brooks Road,Marlow,https://www.schooldigger.com/go/OK/city/Marlow/search.aspx,73055,Stephens County,(580) 658-5071,9,12,No,No,(n/a),No,78,9.6,8,47.4,0,5.1,0,9,0,9,76.9,23.2
Hennessey High School,https://www.schooldigger.com/go/OK/schools/1434000678/school.aspx,Hennessey,https://www.schooldigger.com/go/OK/district/14340/search.aspx,707 East Oklahoma Street,Hennessey,https://www.schooldigger.com/go/OK/city/Hennessey/search.aspx,73742,Kingfisher County,(405) 853-4394,9,12,No,No,(n/a),No,230,19.1,12,86.5,0.4,1.3,0,44.8,0,5.2,48.3,23.2
Western Heights High School,https://www.schooldigger.com/go/OK/schools/3237029721/school.aspx,Western Heights,https://www.schooldigger.com/go/OK/district/32370/search.aspx,8201 Southwest 44th Street,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73179,Oklahoma County,(405) 350-3435,10,12,Yes,No,(n/a),No,538,34.1,15.7,80.9,17.3,4.5,0.9,52.2,0.9,10.8,13.4,22.5
Calumet High School,https://www.schooldigger.com/go/OK/schools/0624029629/school.aspx,Calumet,https://www.schooldigger.com/go/OK/district/06240/search.aspx,110 N  Freehome,Calumet,https://www.schooldigger.com/go/OK/city/Calumet/search.aspx,73014,Canadian County,(405) 893-2222,9,12,No,No,(n/a),No,92,6.4,14.2,64.1,0,10.9,0,7.6,0,9.8,71.7,22.3
Madill High School,https://www.schooldigger.com/go/OK/schools/1870000887/school.aspx,Madill,https://www.schooldigger.com/go/OK/district/18700/search.aspx,601 Wildcat Way,Madill,https://www.schooldigger.com/go/OK/city/Madill/search.aspx,73446,Marshall County,(580) 795-3303,9,12,No,No,(n/a),No,482,33.8,14.2,78.2,0.2,8.7,1.2,42.3,0,7.9,39.6,22.2
Quapaw High School,https://www.schooldigger.com/go/OK/schools/2532001351/school.aspx,Quapaw,https://www.schooldigger.com/go/OK/district/25320/search.aspx,305 West First Street,Quapaw,https://www.schooldigger.com/go/OK/city/Quapaw/search.aspx,74363,Ottawa County,(918) 674-2474,9,12,Yes,No,(n/a),No,154,11.9,12.8,65.6,0,44.8,0,3.9,0,3.9,47.4,22.2
Comanche High School,https://www.schooldigger.com/go/OK/schools/0846000354/school.aspx,Comanche,https://www.schooldigger.com/go/OK/district/08460/search.aspx,1030 Ash Avenue,Comanche,https://www.schooldigger.com/go/OK/city/Comanche/search.aspx,73529,Stephens County,(580) 439-2933,9,12,No,No,(n/a),No,324,18.2,17.8,59.6,0,9,0,6.5,0.3,10.5,73.8,22.1
Midwest City High School,https://www.schooldigger.com/go/OK/schools/1995000963/school.aspx,Midwest City-Del City,https://www.schooldigger.com/go/OK/district/19950/search.aspx,213 E Elm Street,Midwest City,https://www.schooldigger.com/go/OK/city/Midwest+City/search.aspx,73110,Oklahoma County,(405) 739-1741,9,12,Yes,No,(n/a),No,1174,86,13.6,65.3,43,4.3,0.7,14.1,0.3,8.5,29,21.6
Colbert High School,https://www.schooldigger.com/go/OK/schools/0822029618/school.aspx,Colbert,https://www.schooldigger.com/go/OK/district/08220/search.aspx,630 Collin St,Colbert,https://www.schooldigger.com/go/OK/city/Colbert/search.aspx,74733,Bryan County,(580) 296-2590,9,12,No,No,(n/a),No,174,16,10.8,58.6,1.1,27.6,0,10.3,0.6,4.6,55.7,21.4
Davenport High School,https://www.schooldigger.com/go/OK/schools/0945000406/school.aspx,Davenport,https://www.schooldigger.com/go/OK/district/09450/search.aspx,417 Broadway,Davenport,https://www.schooldigger.com/go/OK/city/Davenport/search.aspx,74026,Lincoln County,(918) 377-2278,9,12,No,No,(n/a),No,109,8.1,13.3,42.2,1.8,20.2,0,7.3,0,7.3,63.3,20.9
Elk City High School,https://www.schooldigger.com/go/OK/schools/1074000495/school.aspx,Elk City,https://www.schooldigger.com/go/OK/district/10740/search.aspx,1221 N  Pioneer Rd,Elk City,https://www.schooldigger.com/go/OK/city/Elk+City/search.aspx,73644,Beckham County,(580) 225-0105,9,12,No,No,(n/a),No,547,34.4,15.9,45.7,2.4,3.1,1.6,20.1,0.2,6.4,66.2,20.7
Webbers Falls High School,https://www.schooldigger.com/go/OK/schools/3213029707/school.aspx,Webbers Falls,https://www.schooldigger.com/go/OK/district/32130/search.aspx,200 S Stand Waite Blvd,Webbers Falls,https://www.schooldigger.com/go/OK/city/Webbers+Falls/search.aspx,74470,Muskogee County,(918) 464-2334,9,12,No,No,(n/a),No,88,6.9,12.7,68.2,0,48.9,0,2.3,0,9.1,39.8,20.6
Haskell High School,https://www.schooldigger.com/go/OK/schools/1395029705/school.aspx,Haskell,https://www.schooldigger.com/go/OK/district/13950/search.aspx,900 North Ohio,Haskell,https://www.schooldigger.com/go/OK/city/Haskell/search.aspx,74436,Muskogee County,(918) 482-5221,9,12,No,No,(n/a),No,202,14.4,14,55.9,9.9,31.7,1.5,6.9,0,0,50,20.5
Epic One On One Charter High School,https://www.schooldigger.com/go/OK/schools/0077702789/school.aspx,Epic One On One Charter School,https://www.schooldigger.com/go/OK/district/00777/search.aspx,1900 NW Expy Floor R3,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73118,Oklahoma County,(405) 749-4550,9,12,Yes,Yes,(n/a),Yes,11808,3.3,3556.6,62.9,2.8,8.2,0.2,10.5,0.2,18.8,59.4,20.4
El Reno High School,https://www.schooldigger.com/go/OK/schools/1065000484/school.aspx,El Reno,https://www.schooldigger.com/go/OK/district/10650/search.aspx,407 South Choctaw,El Reno,https://www.schooldigger.com/go/OK/city/El+Reno/search.aspx,73036,Canadian County,(405) 262-3254,9,12,Yes,No,(n/a),No,891,54.2,16.4,70.4,2.6,14.9,0,24.9,0,11.6,46,20.4
Inola High School,https://www.schooldigger.com/go/OK/schools/1548029755/school.aspx,Inola,https://www.schooldigger.com/go/OK/district/15480/search.aspx,801 E  Commerical Street,Inola,https://www.schooldigger.com/go/OK/city/Inola/search.aspx,74036,Rogers County,(918) 543-2404,9,12,No,No,(n/a),No,386,24.7,15.5,39.6,0.8,26.9,4.7,4.9,0,7.5,55.2,20.1
Guymon High School,https://www.schooldigger.com/go/OK/schools/1359000639/school.aspx,Guymon,https://www.schooldigger.com/go/OK/district/13590/search.aspx,1900 North James,Guymon,https://www.schooldigger.com/go/OK/city/Guymon/search.aspx,73942,Texas County,(580) 338-4350,9,12,No,No,(n/a),No,796,56.1,14.1,48.4,3.8,0.1,2.1,76.3,0,1.1,16.6,20.1
Hugo High School,https://www.schooldigger.com/go/OK/schools/1521000713/school.aspx,Hugo,https://www.schooldigger.com/go/OK/district/15210/search.aspx,704 North 2nd Street,Hugo,https://www.schooldigger.com/go/OK/city/Hugo/search.aspx,74743,Choctaw County,(580) 326-9648,9,12,Yes,No,(n/a),No,298,22.4,13.2,81.2,27.5,24.5,0.3,5,0.3,6.7,35.6,19.6
Ardmore High School,https://www.schooldigger.com/go/OK/schools/0318029637/school.aspx,Ardmore,https://www.schooldigger.com/go/OK/district/03180/search.aspx,701 Veterans Blvd,Ardmore,https://www.schooldigger.com/go/OK/city/Ardmore/search.aspx,73401,Carter County,(580) 226-7680,9,12,Yes,No,(n/a),No,777,43.6,17.7,87.6,14.9,8,1.4,21.5,0,19.6,34.6,19.3
Putnam City West High School,https://www.schooldigger.com/go/OK/schools/2529001343/school.aspx,Putnam City,https://www.schooldigger.com/go/OK/district/25290/search.aspx,8500 Northwest 23rd Street,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73127,Oklahoma County,(405) 787-1140,9,12,Yes,No,(n/a),No,1616,122.4,13.1,77.3,18.7,3,1.5,48.5,0.3,6.8,21.2,18.8
Texhoma High School,https://www.schooldigger.com/go/OK/schools/2982001563/school.aspx,Texhoma,https://www.schooldigger.com/go/OK/district/29820/search.aspx,418 Elm Street,Texhoma,https://www.schooldigger.com/go/OK/city/Texhoma/search.aspx,73949,Texas County,(580) 423-7433,9,12,Yes,No,(n/a),No,116,10.4,11.1,69.8,0,0,0,52.6,0,3.4,44,18.8
Healdton High School,https://www.schooldigger.com/go/OK/schools/1413000666/school.aspx,Healdton,https://www.schooldigger.com/go/OK/district/14130/search.aspx,2763 Texas Street,Healdton,https://www.schooldigger.com/go/OK/city/Healdton/search.aspx,73438,Carter County,(580) 229-0540,9,12,No,No,(n/a),No,165,12,13.6,63,0,8.5,1.2,13.3,0,18.2,58.8,18
Little Axe High School,https://www.schooldigger.com/go/OK/schools/1788002206/school.aspx,Little Axe,https://www.schooldigger.com/go/OK/district/17880/search.aspx,2000 168th Avenue Northeast,Norman,https://www.schooldigger.com/go/OK/city/Norman/search.aspx,73026,Cleveland County,(405) 329-1612,9,12,Yes,No,(n/a),No,330,23.8,13.8,67.3,0.6,11.2,0.3,12.7,0,13.3,61.8,17.8
Southeast High School,https://www.schooldigger.com/go/OK/schools/2277001895/school.aspx,Oklahoma City,https://www.schooldigger.com/go/OK/district/22770/search.aspx,5401 South Shields Boulevard,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73129,Oklahoma County,(405) 587-9600,9,12,Yes,No,(n/a),No,827,47.6,17.3,89.5,6.5,1.3,2.2,78.4,0.1,2.2,9.3,17.6
Clinton High School,https://www.schooldigger.com/go/OK/schools/0807010335/school.aspx,Clinton,https://www.schooldigger.com/go/OK/district/08070/search.aspx,2130 Gary Blvd,Clinton,https://www.schooldigger.com/go/OK/city/Clinton/search.aspx,73601,Custer County,(580) 323-1230,9,12,Yes,No,(n/a),No,634,35.5,17.8,58.8,4.1,8,1.1,51.4,0,8.2,27.1,17.6
Del City High School,https://www.schooldigger.com/go/OK/schools/1995000957/school.aspx,Midwest City-Del City,https://www.schooldigger.com/go/OK/district/19950/search.aspx,1900 S Sunnylane Road,Del City,https://www.schooldigger.com/go/OK/city/Del+City/search.aspx,73115,Oklahoma County,(405) 677-5777,9,12,Yes,No,(n/a),No,1055,69.2,15.2,70.2,42.1,4.3,2.5,16.7,0.4,8.3,25.8,17.5
Carnegie High School,https://www.schooldigger.com/go/OK/schools/0663000259/school.aspx,Carnegie,https://www.schooldigger.com/go/OK/district/06630/search.aspx,408 West Wildcat Drive,Carnegie,https://www.schooldigger.com/go/OK/city/Carnegie/search.aspx,73015,Caddo County,(580) 654-1266,9,12,Yes,No,(n/a),No,151,13.9,10.8,74.8,2,38.4,0.7,12.6,0,8.6,37.7,17.1
Tushka High School,https://www.schooldigger.com/go/OK/schools/3036029613/school.aspx,Tushka,https://www.schooldigger.com/go/OK/district/30360/search.aspx,2661 W Boggy Depot Road,Atoka,https://www.schooldigger.com/go/OK/city/Atoka/search.aspx,74525,Atoka County,(580) 889-7355,9,12,No,No,(n/a),No,146,11.9,12.2,69.2,0,32.2,0,2.7,0,0.7,64.4,16.6
Anadarko High School,https://www.schooldigger.com/go/OK/schools/0300000050/school.aspx,Anadarko,https://www.schooldigger.com/go/OK/district/03000/search.aspx,1400 Warrior Drive,Anadarko,https://www.schooldigger.com/go/OK/city/Anadarko/search.aspx,73005,Caddo County,(405) 247-2486,9,12,Yes,No,(n/a),No,415,28.5,14.5,59,2.2,57.6,0,20.5,0,0,19.8,16.6
Oktaha High School,https://www.schooldigger.com/go/OK/schools/2283001216/school.aspx,Oktaha,https://www.schooldigger.com/go/OK/district/22830/search.aspx,531 E  Prairie,Oktaha,https://www.schooldigger.com/go/OK/city/Oktaha/search.aspx,74450,Muskogee County,(918) 687-3672,9,12,No,No,(n/a),No,204,13.7,14.8,79.4,3.9,50.5,1,2,0,4.4,38.2,16.6
